Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
If I Ruled the World (Imagine That) (feat. Lauryn Hill),Nas,It Was Written (Expanded Edition),'90s Rap,Playlist,USSM19601375,1411971062
All Eyez On Me,2Pac,All Eyez On Me,'90s Rap,Playlist,USKO10404425,1510293852
Hypnotize (2014 Remaster),The Notorious B.I.G.,Music Inspired By Biggie: I Got A Story To Tell,'90s Rap,Playlist,USAT21402725,1256900892
Still D.R.E.,Dr. Dre,2001,'90s Rap,Playlist,USIR19905031,1579474
Ms. Jackson,Outkast,Stankonia,'90s Rap,Playlist,USLF20000357,963042
Nas Is Like,Nas,I Am...,'90s Rap,Playlist,USSM19804988,15177552
Hard Knock Life (Ghetto Anthem),JAY Z,Vol.2... Hard Knock Life,'90s Rap,Playlist,USRL19800886,377242021
The Next Episode,Dr. Dre,2001,'90s Rap,Playlist,USIR19915078,1579481
It Was A Good Day,Ice Cube,Greatest Hits,'90s Rap,Playlist,USPO19250006,3099876
Do For Love,2Pac,R U Still Down? [Remember Me],'90s Rap,Playlist,USDJ20300663,12901222
Doo Wop (That Thing),Ms. Lauryn Hill,The Miseducation of Lauryn Hill,'90s Rap,Playlist,USSM19802337,2450613
"Nuthin' But A ""G"" Thang",Dr. Dre,The Chronic,'90s Rap,Playlist,USIR19200849,2132919007
Shimmy Shimmy Ya,Ol' Dirty Bastard,Return to the 36 Chambers: The Dirty Version,'90s Rap,Playlist,USEE10901078,4288219
Se Acabo,The Beatnuts,"Classic Shit, vol. 1",'90s Rap,Playlist,FR8GV1839330,571168102
N.Y. State of Mind,Nas,Illmatic,'90s Rap,Playlist,USSM10017351,77096688
Big Pimpin',JAY Z,Vol. 3... Life And Times Of S. Carter,'90s Rap,Playlist,USDJ29905922,2548838
Forgot About Dre,Dr. Dre,2001,'90s Rap,Playlist,USIR19915077,128743593
I'll Be There For You/You're All I Need To Get By (Puff Daddy Mix),Method Man,Tical (Deluxe Edition),'90s Rap,Playlist,USDJ20010174,85274478
Fu-Gee-La,Fugees,The Score,'90s Rap,Playlist,USSM19600054,1016290
Juicy (2005 Remaster),The Notorious B.I.G.,Music Inspired By Biggie: I Got A Story To Tell,'90s Rap,Playlist,USBB40580814,1256900852
Who Am I (What's My Name)?,Snoop Dogg,Doggystyle,'90s Rap,Playlist,USKO10403597,65938186
Dear Mama,2Pac,Me Against The World,'90s Rap,Playlist,USIR19500009,12901264
C.R.E.A.M. (Cash Rules Everything Around Me),Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],'90s Rap,Playlist,USRC19300133,541322
Gangsta's Paradise,Coolio,Gangsta's Paradise,'90s Rap,Playlist,USTB10250016,409963622
Changes,2Pac,The Best of 2Pac,'90s Rap,Playlist,USIR10110269,910693
The Bizness,De La Soul,Stakes Is High,'90s Rap,Playlist,QMMEH2200190,2104708077
Regulate (Album Version Explicit),Warren G,Regulate...G Funk Era,'90s Rap,Playlist,USPR39401366,2463406
Only God Can Judge Me (ft. Rappin' 4-Tay),2Pac,All Eyez On Me,'90s Rap,Playlist,USKO10403622,66027701
Full Clip,Gang Starr,Full Clip: A Decade Of Gang Starr,'90s Rap,Playlist,USVI29900068,3104092
Big Poppa (2005 Remaster),The Notorious B.I.G.,Bad Boy's 10th Anniversary- The Hits,'90s Rap,Playlist,USBB40580817,2794596
Guess Who's Back,Rakim,The 18th Letter / The Book Of Life,'90s Rap,Playlist,USUR19700343,2508419
Ruff Ryders' Anthem,DMX,It's Dark And Hell Is Hot,'90s Rap,Playlist,USRL19800734,1124454
Fuck Wit Dre Day (And Everybody's Celebratin'),Dr. Dre,The Chronic,'90s Rap,Playlist,USIR19200846,2132918977
Still Not a Player (feat. Joe) (Radio Version),Big Pun,Capital Punishment,'90s Rap,Playlist,USLR59900109,13189024
Whoa!,Black Rob,Bad Boy's 10th Anniversary- The Hits,'90s Rap,Playlist,USBB40580215,2794594
Jump Around (LP Version),House of Pain,House Of Pain (US Release),'90s Rap,Playlist,USTB10300119,751867
Killing Me Softly With His Song,Fugees,The Score,'90s Rap,Playlist,USSM19600055,1024973
Insane in the Brain,Cypress Hill,Black Sunday,'90s Rap,Playlist,USSM19303133,1015862
Hip Hop Hooray,Naughty by Nature,19 Naughty III,'90s Rap,Playlist,USTB10250031,409964442
Mo Money Mo Problems (feat. Puff Daddy & Mase) (2014 Remaster),The Notorious B.I.G.,Music Inspired By Biggie: I Got A Story To Tell,'90s Rap,Playlist,USAT21402732,1256900902
"Shook Ones, Pt. II",Mobb Deep,The Infamous,'90s Rap,Playlist,USRC19401295,1044157
What's Love Got To Do With It,Warren G,Take A Look Over Your Shoulder (Reality),'90s Rap,Playlist,USRL19700026,2509581
Put Your Hands Where My Eyes Could See (feat. Jamal),Busta Rhymes,When Disaster Strikes...,'90s Rap,Playlist,USEE19792108,3660310
Get Money (feat. Junior M.A.F.I.A.) (2007 Remaster),The Notorious B.I.G.,Greatest Hits,'90s Rap,Playlist,USBB40706429,3616653
Da Joint,EPMD,Back In Business,'90s Rap,Playlist,USRL19700573,2178632
Got Your Money (feat. Kelis),Ol' Dirty Bastard,Nigga Please,'90s Rap,Playlist,USEE19900510,62034443
You Know My Steez,Gang Starr,Moment Of Truth,'90s Rap,Playlist,USVI29800141,3137055
I Got 5 on It,Luniz,Greatest Hits,'90s Rap,Playlist,USDYP1101151,15139378
Crossroads,Bone Thugs-N-Harmony,Hip Hop Story: Tha Movie (Soundtrack),'90s Rap,Playlist,USI4R0925823,63358057
Gin N Juice (feat. Dat Nigga Daz),Snoop Dogg,Doggystyle,'90s Rap,Playlist,USKO10403590,65938181
