Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Mask Off,Future,FUTURE,100% Future,Playlist,USSM11701444,142337683
TELEKINESIS (feat. SZA & Future),Travis Scott,UTOPIA,100% Future,Playlist,USSM12305019,2386586185
We Still Don't Trust You,Future,WE STILL DON'T TRUST YOU,100% Future,Playlist,USSM12403111,2747874731
Bum Bum Tam Tam,MC Fioti,Bum Bum Tam Tam,100% Future,Playlist,GBUM71706425,438850292
U Are My High,DJ Snake,U Are My High,100% Future,Playlist,USUG12103124,1573555592
Low Life (feat. The Weeknd),Future,EVOL,100% Future,Playlist,USSM11600557,122703266
Type Shit,Future,WE DON'T TRUST YOU,100% Future,Playlist,USSM12402033,2715581042
Solo,Future,HNDRXX,100% Future,Playlist,USSM11701733,380537271
Like That,Future,WE DON'T TRUST YOU,100% Future,Playlist,USSM12402041,2715581062
Life Is Good (feat. Drake),Future,Life Is Good (feat. Drake),100% Future,Playlist,USSM11914962,847699482
WAIT FOR U (feat. Drake & Tems),Future,I NEVER LIKED YOU,100% Future,Playlist,USSM12203789,1733245187
"Dum, Dumb, and Dumber",Lil Baby,"Dum, Dumb, and Dumber",100% Future,Playlist,USUG12500001,3160589381
Cinderella,Future,WE DON'T TRUST YOU,100% Future,Playlist,USSM12402037,2715581092
LIL DEMON,Future,MIXTAPE PLUTO,100% Future,Playlist,USSM12406727,2999595561
TOO FAST,Future,MIXTAPE PLUTO,100% Future,Playlist,USSM12406731,2999595601
Codeine Crazy,Future,Monster,100% Future,Playlist,USSM11913494,784393732
King's Dead,Jay Rock,Black Panther The Album Music From And Inspired By,100% Future,Playlist,USUM71714093,456965102
Turn Yo Clic Up,Quavo,Turn Yo Clic Up,100% Future,Playlist,USUG12300051,2366175665
Same Damn Time,Future,Pluto,100% Future,Playlist,USSM11201182,17994673
The Percocet & Stripper Joint,Future,DS2 (Deluxe),100% Future,Playlist,USSM11505589,104088798
Flex Up,Lil Yachty,Lil Boat 3.5,100% Future,Playlist,USUG12001712,1148427422
All to Myself,Future,WE STILL DON'T TRUST YOU,100% Future,Playlist,USSM12403099,2747874801
Fuck Up Some Commas,Future,DS2 (Deluxe),100% Future,Playlist,USSM11500953,104088804
PUFFIN ON ZOOTIEZ,Future,I NEVER LIKED YOU,100% Future,Playlist,USSM12203787,1736557557
Red Leather,Future,WE STILL DON'T TRUST YOU,100% Future,Playlist,USSM12403108,2747874901
PLUTOSKI,Future,MIXTAPE PLUTO,100% Future,Playlist,USSM12406730,2999595591
SOUTH OF FRANCE (REMIX),Future,SOUTH OF FRANCE (REMIX),100% Future,Playlist,USSM12408345,3067476781
Too Comfortable,Future,High Off Life,100% Future,Playlist,USSM12002497,960396402
Turn On The Lights,Future,Pluto,100% Future,Playlist,USSM11201733,17994676
March Madness,Future,56 Nights,100% Future,Playlist,USSM11507194,921235822
Wicked,Future,EVOL,100% Future,Playlist,USSM11601584,122703270
Hold That Heat (feat. Travis Scott),Southside,Hold That Heat (feat. Travis Scott),100% Future,Playlist,USSM12108696,1727654977
Drankin N Smokin,Future,Pluto x Baby Pluto,100% Future,Playlist,USAT22007323,1141065582
I Serve the Base,Future,DS2 (Deluxe),100% Future,Playlist,USSM11505576,104088772
Solitaires (feat. Travis Scott),Future,High Off Life,100% Future,Playlist,USSM12002496,960396312
"FRANCHISE (feat. Future, Young Thug & M.I.A.) (REMIX)",Travis Scott,"FRANCHISE (feat. Future, Young Thug & M.I.A.) (REMIX)",100% Future,Playlist,USSM12006051,1102034702
Comin Out Strong (feat. The Weeknd),Future,HNDRXX,100% Future,Playlist,USSM11701719,142835512
Married To The Game,Future,Project E.T.,100% Future,Playlist,USAE81600527,134079740
