Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Calm Down,Rema,Calm Down,100% Rema,Playlist,NGA3B2214021,1873297197
Soundgasm,Rema,Soundgasm,100% Rema,Playlist,NGA3B2114003,1394098232
Charm,Rema,Rave & Roses Ultra,100% Rema,Playlist,NGA3B2314006,2248578427
Baby (Is it a Crime),Rema,Baby (Is it a Crime),100% Rema,Playlist,NGUM72400100,3210661231
Dumebi,Rema,Rema,100% Rema,Playlist,NGA3B1914003,752760792
BUBALU,Feid,BUBALU,100% Rema,Playlist,USUM72312321,2454704515
AZAMAN,Rema,HEIS,100% Rema,Playlist,NGUM72400017,2876974962
Bounce,Rema,Bounce,100% Rema,Playlist,NGA3B2114001,1249315702
Soweto,Victony,Soweto,100% Rema,Playlist,QZWA32200112,3279575181
Bout U,Rema,Bout U,100% Rema,Playlist,NGUM72500065,3298382731
Corny,Rema,Rema,100% Rema,Playlist,NGA3B1914004,752760802
Fi Kan We Kan,BNXN,Fi Kan We Kan,100% Rema,Playlist,USUYG1574830,3003736131
BENIN BOYS,Rema,BENIN BOYS,100% Rema,Playlist,NGUM72400001,2846357952
YAYO,Rema,HEIS,100% Rema,Playlist,NGUM72400024,2876974982
Wine,Rema,Rave & Roses,100% Rema,Playlist,NGA3B2214013,1689965247
Woman,Rema,Rema Compilation,100% Rema,Playlist,NGA3B2014011,1012488632
OZEBA,Rema,HEIS,100% Rema,Playlist,NGUM72400019,2876975012
Beamer (Bad Boys),Rema,Beamer (Bad Boys),100% Rema,Playlist,NGA3B2014001,889481982
Ginger Me,Rema,Ginger Me,100% Rema,Playlist,NGA3B2014009,991306972
Only You,STANY,Only You,100% Rema,Playlist,FRPZ92218140,1958726157
Iron Man,Rema,Rema,100% Rema,Playlist,NGA3B1914001,752760772
DND,Rema,RAVAGE,100% Rema,Playlist,NGA3B2314020,2506587861
Holiday,Rema,Holiday / Reason You,100% Rema,Playlist,NGA3B2314001,2144377857
Bad Commando,Rema,Bad Commando,100% Rema,Playlist,NGA3B1914009,765817572
Dirty,Rema,Rave & Roses,100% Rema,Playlist,NGA3B2214003,1689965127
Love,Rema,Rave & Roses,100% Rema,Playlist,NGA3B2214007,1689965187
Trouble Maker,Rema,RAVAGE,100% Rema,Playlist,NGA3B2314019,2506587851
FYN,AJ Tracey,FYN,100% Rema,Playlist,NGA3B2214010,1678713947
Pretty Girl,Ice Spice,Pretty Girl,100% Rema,Playlist,USUG12308050,2486148031
Red Potion,Rema,RAVAGE,100% Rema,Playlist,NGA3B2314022,2506587891
Lady,Rema,Bad Commando,100% Rema,Playlist,NGA3B1914010,765817582
