Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Anybody,Burna Boy,Anybody,AFRO BEATS FACTORY,Playlist,USAT21903378,694685862
LoLo,Eugy Official,LoLo,AFRO BEATS FACTORY,Playlist,GB7TP1900192,648972942
Fall,Davido,Fall,AFRO BEATS FACTORY,Playlist,GBARL1700777,368671201
Tattoo,Del B,Afrodisiac: The Mixtape,AFRO BEATS FACTORY,Playlist,GBKPL1939045,632549592
Akwaaba Ayiti,Michael Brun,Akwaaba Ayiti,AFRO BEATS FACTORY,Playlist,GBKPL1952476,687082192
Ye,Burna Boy,Outside,AFRO BEATS FACTORY,Playlist,USAT21800327,452794492
Consider,Del B,Afrodisiac: The Mixtape,AFRO BEATS FACTORY,Playlist,GBKPL1939039,632549632
À Kinshasa (feat. Fally Ipupa),Ninho,Destin,AFRO BEATS FACTORY,Playlist,FR9W11903548,652380302
Bang bang bang,Naza,Bénef,AFRO BEATS FACTORY,Playlist,FRU781905060,648021052
What Do You See? (feat. Kojo Funds),Spinall,What Do You See? (feat. Kojo Funds),AFRO BEATS FACTORY,Playlist,GBAHS1900270,638896102
Never Give Up,Harmonize,Never Give Up,AFRO BEATS FACTORY,Playlist,TCAEG1923352,684722932
The One,Diamond Platnumz,The One,AFRO BEATS FACTORY,Playlist,ZAEI71900236,669634662
Eazy,Bebe Cool,Eazy,AFRO BEATS FACTORY,Playlist,TCAEC1915770,631454172
Hodari,Mbosso,Hodari,AFRO BEATS FACTORY,Playlist,TCADW1815457,556052402
Bounce,Yemi Alade,Bounce,AFRO BEATS FACTORY,Playlist,GBZB51900031,692966552
Mad over You,Runtown,Soundgod Fest Vol.1,AFRO BEATS FACTORY,Playlist,GBMA21910897,617958922
Zulu Screams (feat. Maleek Berry & Bibi Bourelly),GoldLink,Zulu Screams (feat. Maleek Berry & Bibi Bourelly),AFRO BEATS FACTORY,Playlist,USRC11901073,673498892
Dumebi,Rema,Rema,AFRO BEATS FACTORY,Playlist,NGA3B1914003,647012442
Bad Boy (feat. Aya Nakamura),Fally Ipupa,Tokooos,AFRO BEATS FACTORY,Playlist,FR8GU1700056,372552531
Djandjou,Amy,Djandjou,AFRO BEATS FACTORY,Playlist,FR9W11709287,362288241
Na Lingui Yé (feat. MHD),Fally Ipupa,Tokooos,AFRO BEATS FACTORY,Playlist,FR8GU1700028,372552261
Odoo,Masterkraft,Odoo,AFRO BEATS FACTORY,Playlist,QMEZE1732284,391054041
If,Davido,If,AFRO BEATS FACTORY,Playlist,GBARL1700229,142337581
Dance,Bobby Maris,Dance,AFRO BEATS FACTORY,Playlist,UK3AZ1716154,379266861
M.S.T.,Elams,Réussir et mourir,AFRO BEATS FACTORY,Playlist,FRZ041601701,345857521
Leg Over,Mr Eazi,N.W.E (Niggaz with enjaillement),AFRO BEATS FACTORY,Playlist,US23A1500352,430951812
Abidjan est doux,Fababy,Abidjan est doux,AFRO BEATS FACTORY,Playlist,FR0U11700021,144091426
B.O.C,Niska,Commando,AFRO BEATS FACTORY,Playlist,FR9W11703910,408868892
Afro Trap Pt. 8 (Never),MHD,Afro Trap Part. 8 (Never),AFRO BEATS FACTORY,Playlist,FR3IV1600230,143302928
Kontrol (Extended),Maleek Berry,Last Daze Of Summer,AFRO BEATS FACTORY,Playlist,GBUS91200021,484119442
N'essaie pas (feat. The Shin Sekaï),Sianna,Diamant noir,AFRO BEATS FACTORY,Playlist,FRZ041601750,140861177
Do Like That,Korede Bello,Do like That,AFRO BEATS FACTORY,Playlist,ZZA131608004,131998704
DKR,Booba,DKR,AFRO BEATS FACTORY,Playlist,FR8R61600004,133165774
Koffi Anan,Yemi Alade,Koffi Anan,AFRO BEATS FACTORY,Playlist,GBZB51600000,118077768
Tilapia,Mr Eazi,"Life Is Eazi, Vol. 1 - Accra To Lagos",AFRO BEATS FACTORY,Playlist,US23A1500400,484110022
Hallelujah,Burna Boy,Hallelujah,AFRO BEATS FACTORY,Playlist,TCACX1740387,141530177
Jubilation,Eddy Kenzo,Jubilation,AFRO BEATS FACTORY,Playlist,TCACY1784579,144010678
Nyataquance,Koffi Olomide,Nyataquance,AFRO BEATS FACTORY,Playlist,FRYAS1007393,374279821
Etat major,Extra Musica,Etat-Major,AFRO BEATS FACTORY,Playlist,FR6V80194175,55223281
Shitor,Mr Eazi,Shitor,AFRO BEATS FACTORY,Playlist,TCACM1616426,119421056
Zoné (feat. Dr. Beriz),Barack Adama,La propagande (saison 1),AFRO BEATS FACTORY,Playlist,FR7U61401052,138626973
I Love You,Bibinho De Gaucho,I Love You,AFRO BEATS FACTORY,Playlist,SE3OH1622469,404356682
Anointing (feat. Sarkodie),Mr Eazi,Anointing (feat. Sarkodie),AFRO BEATS FACTORY,Playlist,TCACO1693895,125916831
Enfumé,Dj Leska,Enfumé,AFRO BEATS FACTORY,Playlist,FR10S1792738,143606890
Fais-les danser,Mac Tyer,Fais-les danser,AFRO BEATS FACTORY,Playlist,FR9W11704607,144390752
Comme dab,Section Pull Up,Comme dab,AFRO BEATS FACTORY,Playlist,TCACS1698257,140225667
Feu d'artifice,Alonzo,100 %,AFRO BEATS FACTORY,Playlist,FRUM71700301,395865152
Malembe,BGMFK,Malembe,AFRO BEATS FACTORY,Playlist,GAA011600003,140111059
