Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
2:25,Whoisakin,Full Moon Weekends,AFROBEST CHILL,Playlist,NL2KH2000011,951807082
Confession,Omah lay,What Have We Done,AFROBEST CHILL,Playlist,USWB12004437,1145137182
FEEL A WAY,amaarae,THE ANGEL YOU DON'T KNOW,AFROBEST CHILL,Playlist,US23A1512496,1099993442
All My Ladies,Wani,All My Ladies,AFROBEST CHILL,Playlist,UK43Q2010161,1078885862
Playlist,M.I Abaga,Rendezvous,AFROBEST CHILL,Playlist,ZA56E1800112,453333342
Stay (feat. Gabzy),Melvitto,soon.,AFROBEST CHILL,Playlist,TCADG1764415,1390205822
Coco,Gabzy,Coco (feat. BOJ),AFROBEST CHILL,Playlist,USUYG1147423,376643261
Focus,Joeboy,Somewhere Between Beauty & Magic,AFROBEST CHILL,Playlist,QMGR32185905,1209927842
Feeling,LADIPOE,Feeling,AFROBEST CHILL,Playlist,NGA3B2112002,1346689002
Show Me,Joeboy,Somewhere Between Beauty & Magic,AFROBEST CHILL,Playlist,QMGR32185906,1204292972
Fendi (feat. Joeboy),Blaqbonez,Sex Over Love,AFROBEST CHILL,Playlist,QMEU32028443,1335848602
Sinner,Adekunle Gold,Sinner,AFROBEST CHILL,Playlist,US23A1536467,1413432052
