Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
LA JANAZA D'UN FRÈRE,Dinos,KINTSUGI,Actu Rap,Playlist,FR9EI2500400,3385275191
TENUE DE MOTARD 5,Djadja & Dinaz,TENUE DE MOTARD 5,Actu Rap,Playlist,FRX282595965,3397717311
Fais pas ça,Alonzo,Fais pas ça,Actu Rap,Playlist,FR2MX2500270,3350036091
Bonne Mentale,Chaax,Bonne Mentale,Actu Rap,Playlist,FRPZ92523490,3395731041
27.06.25 (Magie),La Mano 1.9,27.06.25 (Magie),Actu Rap,Playlist,FR9W12530717,3390699371
Bad Bad,Ziak,Bad Bad,Actu Rap,Playlist,FR9W12523890,3385136161
GUWOP FREESTYLE,Dosseh,GUWOP FREESTYLE,Actu Rap,Playlist,FR9EI2500410,3391299961
Tous les jours,Mig,Tout ou Rien,Actu Rap,Playlist,FRUM72500603,3391299681
Drôle d'oiseau,ISHA,Drôle d'oiseau,Actu Rap,Playlist,FXR142500016,3392518371
RR Trap #2,Alpha,RR Trap #2,Actu Rap,Playlist,QM7282583305,3385186951
Génération Foirée (Episode 2),JKSN,Génération Foirée (Episode 2),Actu Rap,Playlist,FRUM72500726,3387538781
SUNSEX,HOUDI,SUNSEX,Actu Rap,Playlist,FREN02500030,3388489011
Solo,Yamê,ÉBĒM,Actu Rap,Playlist,FREN42500020,3328749731
GOÛT AMER,Leto,LIFE (RÉÉDITION AVANT L’ALBUM),Actu Rap,Playlist,FR9W12528154,3395545891
SIGNAL #3,Larry,SIGNAL #3,Actu Rap,Playlist,FR9W12526446,3392108531
CHERRY WOOD,Yorssy,CHERRY WOOD,Actu Rap,Playlist,QM7282587047,3388338291
TIMINIK (feat. Yorssy),R2,TIMINIK (feat. Yorssy),Actu Rap,Playlist,FR9W12529885,3381226681
Freestyle Signature,Zé,Freestyle Signature,Actu Rap,Playlist,FRX282570131,3386607771
Ça fait mal,Sopico,Ça fait mal,Actu Rap,Playlist,FR9W12529077,3391299801
Fleurs,Georgio,Fleurs,Actu Rap,Playlist,FRPZ92521020,3370175761
Puzzle,Lujipeka,PAULISE + PUZZLE,Actu Rap,Playlist,FRENA2500080,3377870301
Dress2Impress,BabySolo33,Life Of Giulietta,Actu Rap,Playlist,FR9NG2400036,3370197071
3x filtré,Mig,Tout ou Rien,Actu Rap,Playlist,FRUM72500005,3391299651
Les Mains Sales,Fresh laDouille,Les mains sales,Actu Rap,Playlist,FR9W12526368,3391927401
SEVEN 2,Digy 7,SEVEN 2,Actu Rap,Playlist,FR9W12530573,3380338901
UNDER THE SUN,Jeune Lion,UNDER THE SUN,Actu Rap,Playlist,FR9W12531047,3385748381
CRÉSILLE,8ruki,PoweredByRuki FREE I.A,Actu Rap,Playlist,FRX282566743,3386508741
ruiné,63OG,6TR9C9,Actu Rap,Playlist,FRX282542012,3377613671
DALSHA,Saf,DALSHA,Actu Rap,Playlist,FRX282576491,3389253221
TENERIFE (feat. Keeqaid),PRINC€,SOUSCALCUL MIXTAPE VOL.1,Actu Rap,Playlist,FR9W12516799,3388896331
KU$H,BRUNI,TOUT CE QUI BRILLE,Actu Rap,Playlist,FR9W12527906,3368877501
LA VIE C'EST UN CHOIX.,EL'NOUR,LA VIE C'EST UN CHOIX.,Actu Rap,Playlist,FRX282562924,3385181181
Elle 2.0,Mig,Tout ou Rien,Actu Rap,Playlist,FRUM72500006,3391299721
Tango & Cash,The Free,Tango & Cash,Actu Rap,Playlist,FXR142500035,3363095681
Chef de Guerre,Benash,Chef de Guerre,Actu Rap,Playlist,FR8FB2510000,3388770391
Papi Chulo,Bilouki,Papi Chulo,Actu Rap,Playlist,FRDQP2500001,3388464581
BASTARD ANTHEM,Coyote Jo Bastard,BASTARD ANTHEM,Actu Rap,Playlist,FR9NS2500110,3391300131
LONELY,Eniah,PK T TRISTE ? (TKT),Actu Rap,Playlist,FRX282565353,3384676911
MASTER P,HD La Relève,MASTER P,Actu Rap,Playlist,BEGL52500001,3379559211
PERSONNE M'ATTENDAIT,KT Gorique,PERSONNE M'ATTENDAIT,Actu Rap,Playlist,CH8352506810,3374241101
Terter,Moubarak,Terter,Actu Rap,Playlist,FRX282565154,3385004051
Ghetto,Ramos.,Ghetto,Actu Rap,Playlist,FRX202588344,3349376601
Sensuelle Cindy,Zonmai,Sensuelle Cindy,Actu Rap,Playlist,FRR642500753,3362874511
FLOWER SELLER,Metah,ILL’ DEUX,Actu Rap,Playlist,FR9W12530955,3387301681
J'ATTENDS QU'ELLE MONTE,Linton,J'ATTENDS QU'ELLE MONTE,Actu Rap,Playlist,US38Y2542909,3368917581
ROCKY & NAST,BABY NEELOU,LA COULEUR DE LA TOILE,Actu Rap,Playlist,FR9W12530099,3375886751
DESCHAMPS,Raplume,DESCHAMPS,Actu Rap,Playlist,FR9W12526856,3385238651
T'as tout gâché,YNV,T'as tout gâché,Actu Rap,Playlist,FREVH2500180,3380023421
Isack Hadjar,VEN1,Nichen,Actu Rap,Playlist,FR9W12524110,3388697111
LDC,No Limit,LDC,Actu Rap,Playlist,FR9W12528547,3379310261
Impardonnable,Damso,BĒYĀH,Actu Rap,Playlist,BE6JP2500003,3381260801
IMAGINE,Genezio,BOUNCE MUSIC: SAISON 3,Actu Rap,Playlist,FR9IX2500620,3388959041
Jump,L2B ,Jump,Actu Rap,Playlist,FRDJ72500490,3377836451
C'est incroyable,Naza,C'est incroyable,Actu Rap,Playlist,FRX282592420,3395891391
Tout donner,Naza,Tout donner,Actu Rap,Playlist,FRX282553152,3378366631
La course,Bouss,Et si j'échoue ??,Actu Rap,Playlist,FRX282573093,3388290741
Nichen,VEN1,Nichen,Actu Rap,Playlist,FR9W12524111,3388697121
JCVDEMS,Damso,BĒYĀH,Actu Rap,Playlist,BE6JP2500006,3381260811
GTALG,VEN1,Nichen,Actu Rap,Playlist,FR9W12524112,3388697131
CRAMÉ,Dika,CRAMÉ,Actu Rap,Playlist,FRPZ92521380,3381805221
La Japonaise Bleue vers 19h19,Zuukou mayzie,La Japonaise Bleue vers 19h19,Actu Rap,Playlist,FRR642500890,3362821111
CLIENTÈLE,H.LA DROGUE,CLIENTÈLE,Actu Rap,Playlist,FREZE2500010,3356630601
SCARLAZNAVOUR,Beeby,LA BOHEME,Actu Rap,Playlist,TCAJA2420497,3117818951
Love is blind,Damso,BĒYĀH,Actu Rap,Playlist,BE6JP2500007,3381260821
Rupture,Ziak,Rupture,Actu Rap,Playlist,FR9W12523891,3374178851
Andale,Di-Meh,Nanana,Actu Rap,Playlist,FR9W12523812,3373608931
L'étouffement,KLS,L'étouffement,Actu Rap,Playlist,FR6P12500310,3368781721
ANTI-JEU,BABY NEELOU,ANTI-JEU,Actu Rap,Playlist,FR9W12522848,3366540851
Obsédé,Kima,Obsédé,Actu Rap,Playlist,FREML2400300,3373840921
GO!,Theodora,MEGA BBL,Actu Rap,Playlist,FR9W12522907,3380338461
Nuit,Kekra,Vréel 4 (Bonus Edition),Actu Rap,Playlist,FR9W12510208,3376262591
Attack,Saamou,Attack,Actu Rap,Playlist,FRX282527900,3368435491
C'EST NOUS LES YAYA,Kaaris,C'EST NOUS LES YAYA,Actu Rap,Playlist,FR9W12525941,3358911441
SANGOTE,Guy2bezbar,SANGOTE,Actu Rap,Playlist,FR9W12528789,3368540521
Cantona,Landy,Cantona,Actu Rap,Playlist,FRX202589266,3370176861
ACT 7,Lacrim,RIPRO,Actu Rap,Playlist,FR9W12528936,3368874651
Le poison,Zamdane,RAHMA,Actu Rap,Playlist,FR9W12516639,3373466571
Game boy,Guezess,Game boy,Actu Rap,Playlist,TCAJQ2556511,3379444811
LA MEILLEURE,Genezio,LA MEILLEURE,Actu Rap,Playlist,FR9IX2500500,3362762811
CHIFFRES ROMAINS,Pit Baccardi,CHIFFRES ROMAINS,Actu Rap,Playlist,FRX282526486,3366843281
