Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
P A S C O M M E Ç A,Tayc,Fleur froide - Second état : la cristallisation,Afro Beats ,Playlist,FR8FB2123560,1555331602
Shumaya,Dbn Nyts,Believe,Afro Beats ,Playlist,ZAA641500062,104553856
Indaba Zabantu,Gaba Cannal,Agape,Afro Beats ,Playlist,ZAC012200746,1671417742
Phunyuka Bamphethe,Mandoza,Phunyuka Bamphethe,Afro Beats ,Playlist,ZAA020500293,3118359
Aye,Davido,Aye,Afro Beats ,Playlist,UK3AZ1809790,996794762
Brown Eyes (feat. Coi Leray),Essii,Brown Eyes (feat. Coi Leray),Afro Beats ,Playlist,QZNWS2140428,1515240202
N'y pense plus,Tayc,N'y pense plus,Afro Beats ,Playlist,FR8FB2002810,986869352
Shippūden,Blanco,Shippūden,Afro Beats ,Playlist,GBUM72000707,903729662
Ancestors (feat. NSG),BackRoad Gee,Ancestors (feat. NSG),Afro Beats ,Playlist,QMFME2176453,1494954702
Nyege Lewa (feat. Ms Banks),BackRoad Gee,Reporting Live (From the Back of the Roads),Afro Beats ,Playlist,QMFME2102248,1497459552
Mina Nawe,Soa mattrix,Mina Nawe,Afro Beats ,Playlist,ZAC012201134,1867813137
Oofeets,Sarkodie,Oofeets,Afro Beats ,Playlist,GBMA21873051,818749102
Confession,Babyboy AV,Confession,Afro Beats ,Playlist,QZNJW2160350,1499324522
Holy Ground (feat. Nicki Minaj),Davido,A Better Time,Afro Beats ,Playlist,GBARL2001232,1136913502
Ginger Me,Rema,Ginger Me,Afro Beats ,Playlist,NGA3B2014009,991306972
Holiday,Rema,Holiday / Reason You,Afro Beats ,Playlist,NGA3B2314001,2144377857
Target,Shenseea,ALPHA,Afro Beats ,Playlist,USUM72202337,1675115687
Foreplay,Shenseea,Foreplay,Afro Beats ,Playlist,QMBZ91961071,784460782
Shake Body,Skales,Man Of The Year,Afro Beats ,Playlist,TCACF1586386,1021846582
Stand Strong (feat. Sunday Service Choir),Davido,Stand Strong (feat. Sunday Service Choir),Afro Beats ,Playlist,GBARL2200476,1726178277
Skeleton Move,Master KG,Skeleton Move,Afro Beats ,Playlist,ZA82Y1800005,515351112
Mad Over You,Runtown,Mad Over You,Afro Beats ,Playlist,TCACT1628959,1351012702
When You Feel Lonely,Mavado,The Biggest Ragga Dancehall Anthems 2011,Afro Beats ,Playlist,USVPR1100374,13544748
Juice,Ycee,Juice,Afro Beats ,Playlist,NGA2M1700006,858950052
Your Love,Azana,Your Love,Afro Beats ,Playlist,ZACVN2000013,947580472
YARD,Poco Lee,"YARD (feat. Black Sherif, Bella Shmurda & Alpha P)",Afro Beats ,Playlist,USUYG1415117,1660061532
23,Burna Boy,Twice As Tall,Afro Beats ,Playlist,USAT22005332,1049856402
Love Don't Change,K5ive,Love Don't Change,Afro Beats ,Playlist,QZRP42172250,1579575822
More,Troniq Music,Eclipse,Afro Beats ,Playlist,QZAKB2131433,1509000272
Drive and Disconnect,Nao,Drive and Disconnect,Afro Beats ,Playlist,GBARL1801061,553577322
