Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Normally,Joeboy,Body & Soul,Afro Chill,Playlist,QZTL92356913,2213695517
Pheelz Like Summer,Pheelz,Pheelz Good EP,Afro Chill,Playlist,USWB12207945,2094530317
23,Burna Boy,Twice As Tall,Afro Chill,Playlist,USAT22005332,1049856402
LV N ATTN feat. Wizkid,Lojay,LV N ATTN,Afro Chill,Playlist,QM6N22136332,1368296872
Pim Pim,Brymo,Theta,Afro Chill,Playlist,QZHZ62276775,1768615137
How Many Times,DJ Big N,How Many Times,Afro Chill,Playlist,NGA3B2309001,2151781477
wo wo (remix),MINZ,wo wo (remix),Afro Chill,Playlist,QZSYP2333507,2107796817
Odeshi,Idahams,"Truth, Love & Confessions (TLC)",Afro Chill,Playlist,QZQ4X2200161,1894528927
Many Man - A COLORS SHOW,Victony,Many Man - A COLORS SHOW,Afro Chill,Playlist,DEXC82200036,1797102827
SETE (feat. Young Stunna & Blxckie),K.O,SETE (feat. Young Stunna & Blxckie),Afro Chill,Playlist,ZAMIV2200006,1868780957
you,CKay,Sad Romance,Afro Chill,Playlist,ZA34K2200912,1871895377
10 Toes (feat. Omah Lay),King Promise,5 Star,Afro Chill,Playlist,GBARL2201023,1818652587
Your Love,Azana,Your Love,Afro Chill,Playlist,ZACVN2000013,947580472
Spiritual Gbedu - A COLORS SHOW,Joeboy,Spiritual Gbedu - A COLORS SHOW,Afro Chill,Playlist,DEXC82200039,1793322347
Balance,Simi,TBH (To Be Honest),Afro Chill,Playlist,QZQ4X2200066,1744045437
My Size,Juls,Sounds of My World,Afro Chill,Playlist,QMFME2182521,1462261372
Godly,Omah lay,What Have We Done,Afro Chill,Playlist,USWB12004436,1145137172
PonPon,Olamide,UY Scuti,Afro Chill,Playlist,USUYG1367430,1356555212
Commando,King Promise,As Promised,Afro Chill,Playlist,GBKPL1953865,934042092
History,Cheque,History,Afro Chill,Playlist,USUYG1363175,1302323432
Fashion Killer,Ayra Starr,19 & Dangerous,Afro Chill,Playlist,NGA3B2016007,1440578982
24 Hours,Kaylow,24 Hours,Afro Chill,Playlist,ZACRO2100001,1216616462
Infinity,Olamide,Carpe Diem,Afro Chill,Playlist,USUYG1330802,1068382592
Borjor,Shatta Wale,Borjor,Afro Chill,Playlist,FRX201900024,782753452
nwayi,CKay,nwayi,Afro Chill,Playlist,ZA34K2301259,2256070757
PAMI,DJ Tunez,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",Afro Chill,Playlist,USUYG1327943,1047833402
Bounce,Ruger,PANDEMIC,Afro Chill,Playlist,GBARL2100161,1252646052
Oh Oh Oh,Bella Shmurda,Hypertension,Afro Chill,Playlist,QZTPX2297850,1937244327
Sharpally,Young Jonn,Sharpally,Afro Chill,Playlist,US39N2308465,2340088345
Sondela,TRESOR,Nostalgia,Afro Chill,Playlist,ZAX771800011,620264882
Reckless & Sweet,amaarae,Reckless & Sweet,Afro Chill,Playlist,USUG12301790,2185137987
Higher,Tems,For Broken Ears,Afro Chill,Playlist,QMBZ92014857,1083700472
Spaceman,Jujuboy,Spaceman,Afro Chill,Playlist,NGAOP2300005,2348770345
I No Go Give Up On You,Mr Eazi,I No Go Give Up On You,Afro Chill,Playlist,QMGR32010305,963458472
Alone,Jimmygid,Alone,Afro Chill,Playlist,QZNWQ2413460,2826300102
MAD,Sarz,MAD,Afro Chill,Playlist,US23A1501552,795283952
Ça bouge pas (Bonus Track),Fally Ipupa,Ça bouge pas (Bonus Track),Afro Chill,Playlist,FRZ041902073,828795522
Lockdown,Original Koffee,Lockdown,Afro Chill,Playlist,GBARL2000776,1016146752
letterman,Ayotemi,letterman,Afro Chill,Playlist,QZAKB2160333,1679703777
Attention,Tiwa Savage,Attention,Afro Chill,Playlist,ZAUM71901371,811108682
Tender (265),George Kalukusha,Tender (265),Afro Chill,Playlist,QMGR32092452,912085462
Yawa No Dey,Kelvyn Boy,Yawa No Dey,Afro Chill,Playlist,GBX721900638,802958722
Try Me,Tems,Try Me,Afro Chill,Playlist,QMEZE1968075,723834332
Napona,Nandy,Napona,Afro Chill,Playlist,QZQAY2203891,1773564257
Essence (feat. Tems),Wizkid,Made In Lagos,Afro Chill,Playlist,USRC12003059,1102672222
Your Body,Basketmouth,Your Body (feat. Bnxn),Afro Chill,Playlist,USUYG1389571,1492292892
Nirvana,Kwesi Arthur,Nirvana,Afro Chill,Playlist,US23A1550346,1806612807
Ngeke Balunge,Mafikizolo,Ngeke Balunge,Afro Chill,Playlist,ZAUM71901308,780611472
Sweet Adetola,Falana,Rising,Afro Chill,Playlist,GBKPL2164469,1489402202
bend you,Omah lay,Boy Alone,Afro Chill,Playlist,USWB12201873,1807497947
Man Not God,Chike,Man Not God,Afro Chill,Playlist,QZNJX2423743,2843632942
Cutie,SMPLY T,Cutie,Afro Chill,Playlist,QZES92195754,1347152462
Jam,Starboy,SoundMan Vol. 1,Afro Chill,Playlist,USUYG1286547,824565532
Flashy,Maleek Berry,Flashy,Afro Chill,Playlist,QM6N21929126,688257412
Vibration,Fireboy Dml,"Laughter, Tears & Goosebumps",Afro Chill,Playlist,USUYG1281971,797948692
Bad Influence,Omah lay,Bad Influence,Afro Chill,Playlist,QZFYY2021310,855590722
king,Fireboy Dml,King,Afro Chill,Playlist,USUYG1266555,724088372
FOR MY BABY,Gyakie,FOR MY BABY,Afro Chill,Playlist,UK43Q2115077,1804771847
In My Dreams Last Night,Ogranya,In My Dreams Last Night,Afro Chill,Playlist,QZQAY2158010,1368248882
Cocaine,Dai Verse,Cocaine,Afro Chill,Playlist,UK43Q2012307,1218211652
Certified Loner (No Competition) ,Mayorkun,Certified Loner (No Competition) ,Afro Chill,Playlist,UK43Q2114449,1782048207
Doyin (feat. Simi),Mr Eazi,Doyin (feat. Simi),Afro Chill,Playlist,QMGR32026360,737247522
40%,Aya Nakamura,NAKAMURA (Deluxe Edition),Afro Chill,Playlist,FRZ041901844,781478122
Kanyanga,Diamond Platnumz,Kanyanga,Afro Chill,Playlist,ZAEI71900544,702098212
Risky,Davido,Risky,Afro Chill,Playlist,GBARL1901193,776120992
Snakes N Ladders,One Acen,Snakes N Ladders,Afro Chill,Playlist,GBLFP2294731,1821266597
Penzi,Ya Levis,El mayalove,Afro Chill,Playlist,FR2X41993034,687427312
Love in the Morning,Thutmose,Don't Wake Me - EP,Afro Chill,Playlist,USUYG1280228,784316612
Hamba,Q Twins,Hamba,Afro Chill,Playlist,ZAY361900570,819462292
Selense,Simi,Selense,Afro Chill,Playlist,QMGR32048149,791250052
