Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Jump,L2B ,Jump,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRDJ72500490,3377836451
Location,Pekace,Location,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRPZ92519230,3376058871
C'EST NOUS LES YAYA,Kaaris,C'EST NOUS LES YAYA,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12525941,3358911441
OKAY BET,Cinco,OKAY BET,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12521944,3368422131
Businessman,La Mano 1.9,BUSINESSMAN,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12458140,3348431401
PAY!,Theodora,PAY!,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12522285,3329681251
Pas Jalouse,Bamby,Pas Jalouse,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72500743,3369333941
C'est Quoi Ton Délire,L2B ,Nés Pour Briller : Book II,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRDJ72500360,3319650071
Génération Foirée (Episode 1),JKSN,Génération Foirée (Episode 1),Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72500652,3345530601
R.10,AMK,R.10,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12520720,3330328111
GANGSTA,Bamby,GANGSTA,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRUM72500528,3310206991
Hello,Dertay,Hello,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FRPZ92519280,3369326061
Musala,Teevii,Musala,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FXR872500039,3326517861
Bambara Boy,Kaaris,Bambara Boy,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,FR9W12521966,3327715041
FAKE - A COLORS SHOW,La Mano 1.9,FAKE - A COLORS SHOW,Afro Drill | Afro Trap 2025 | Rap FR | Afrobeats |,Playlist,DEXC82500038,3293344581
