Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
With You (feat. Omah Lay),Davido,5ive,Afro Hits,Playlist,GBARL2401834,3324595541
Laho II,Shallipopi,Laho II,Afro Hits,Playlist,GBARL2500563,3338313601
Baby (Is it a Crime),Rema,Baby (Is it a Crime),Afro Hits,Playlist,NGUM72400100,3210661231
Gimme Dat,Ayra Starr,Gimme Dat,Afro Hits,Playlist,USUG12503277,3329774051
Fi Kan We Kan,BNXN,Fi Kan We Kan,Afro Hits,Playlist,USUYG1574830,3003736131
Moving,Omah lay,Moving,Afro Hits,Playlist,USWB12402960,2931048221
Kese (Dance),Wizkid,Kese (Dance),Afro Hits,Playlist,USRC12403413,3089028461
yawa,Fireboy Dml,yawa,Afro Hits,Playlist,USUYG1492806,2331313555
Lomo Lomo,KiDi,Lomo Lomo,Afro Hits,Playlist,USUYG1562918,2885636572
Asiwaju,Ruger,Asiwaju,Afro Hits,Playlist,GBARL2202349,2005128927
4 Kampé II,Joé Dwet Filé,4 Kampé II,Afro Hits,Playlist,FR8FB2504800,3293158481
MMS,Asake,Lungu Boy,Afro Hits,Playlist,USUYG1566014,2931011351
Commas,Ayra Starr,Commas,Afro Hits,Playlist,USUG12400783,2636043362
Komasava (Comment Ça Va),Diamond Platnumz,Komasava (Comment Ça Va),Afro Hits,Playlist,ZA40S2400914,2773464321
Holy Ghost,Omah lay,Holy Ghost,Afro Hits,Playlist,USWB12306574,2517734421
"Tested, Approved & Trusted",Burna Boy,I Told Them...,Afro Hits,Playlist,USAT22307524,2424008565
Funds (feat. ODUMODUBLVCK & Chike),Davido,Funds (feat. ODUMODUBLVCK & Chike),Afro Hits,Playlist,GBARL2401811,3094149671
KANTE (feat. Fave),Davido,Timeless,Afro Hits,Playlist,GBARL2300327,2182407377
"Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)",Mr Pilato,"Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)",Afro Hits,Playlist,ZB1OS2400418,3079165061
Bad Girl (feat. Asake),Wizkid,Morayo,Afro Hits,Playlist,USRC12403414,3099157081
One Call,Spinall,One Call,Afro Hits,Playlist,USSM12404612,2881160912
Tshwala Bam (feat. S.N.E),Titom,Tshwala Bam (feat. S.N.E),Afro Hits,Playlist,ZA56E2416068,2792090862
Wave,Asake,Wave,Afro Hits,Playlist,USUYG1557088,2855021582
UNAVAILABLE (feat. Musa Keys),Davido,Timeless,Afro Hits,Playlist,GBARL2300322,2182407327
Charm,Rema,Rave & Roses Ultra,Afro Hits,Playlist,NGA3B2314006,2248578427
everyday,Fireboy Dml,everyday,Afro Hits,Playlist,USUYG1543196,2763862241
Update,Burna Boy,Update,Afro Hits,Playlist,USAT22500047,3240149711
YAYO,Rema,HEIS,Afro Hits,Playlist,NGUM72400024,2876974982
Bad Vibes,Ayra Starr,Bad Vibes,Afro Hits,Playlist,USUG12402798,2786166742
Bundle By Bundle,Burna Boy,Bundle By Bundle,Afro Hits,Playlist,USAT22411677,3145460321
City Boys,Burna Boy,I Told Them...,Afro Hits,Playlist,USAT22307528,2424008615
soso (with Ozuna),Omah lay,soso (with Ozuna),Afro Hits,Playlist,USWB12302355,2280580597
Lonely At The Top (Remix),Asake,Lonely At The Top (Remix),Afro Hits,Playlist,USUYG1518142,2542389661
Romeo Must Die (RMD),Ruger,Romeo Must Die (RMD),Afro Hits,Playlist,USUYG1536613,2674873122
Who Is Your Guy? (Remix),Spyro,Who Is Your Guy? (Remix),Afro Hits,Playlist,QZ5AB2388250,2159620477
Higher,Burna Boy,Higher,Afro Hits,Playlist,USAT22404336,2865631792
"Soweto (with Don Toliver, Rema and Tempoe)",Victony,"Soweto (with Don Toliver, Rema and Tempoe)",Afro Hits,Playlist,QZWA32200112,2189763947
BLOOD ON THE DANCE FLOOR,Odumodublvck,EZIOKWU,Afro Hits,Playlist,USUM72313637,2477146881
Stubborn,Victony,Stubborn (with Asake),Afro Hits,Playlist,QZWA32200550,2782548422
Party No Dey Stop,Adekunle Gold,Tequila Ever After,Afro Hits,Playlist,USUM72302190,2376901235
Soh-Soh,Odeal,Sunday At Zuri's,Afro Hits,Playlist,GBMA22406214,2861454502
BENIN BOYS,Rema,BENIN BOYS,Afro Hits,Playlist,NGUM72400001,2846357952
Terminator (Remix),King Promise,Terminator (Remix),Afro Hits,Playlist,GBARL2301751,2563619272
FEEL,Davido,Timeless,Afro Hits,Playlist,GBARL2300319,2182407297
Egwu,Chike,Egwu,Afro Hits,Playlist,QZW9L2379698,2578230902
Stamina,Tiwa Savage,Stamina,Afro Hits,Playlist,USUYG1471758,2184828657
Monalisa,Lojay,Monalisa,Afro Hits,Playlist,QM6MZ2204522,1744005537
Bandana,Fireboy Dml,Bandana,Afro Hits,Playlist,USUYG1433884,1808570517
Dey Play,Burna Boy,I Told Them...,Afro Hits,Playlist,USAT22307527,2424008605
Cough (Odo),Kizz Daniel,Cough (Odo),Afro Hits,Playlist,USUYG1448153,1952760717
