Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Location,Zerb,Location,Afro House,Playlist,NL3M12406570,3140488501
Think Of Me,HUGEL,Think Of Me,Afro House,Playlist,DECE72501168,3342944421
Mussulo (feat. Doddy),Dj Malvado,Mussulo (feat. Doddy),Afro House,Playlist,PT7EX2400240,3252801361
Je t'attends,Charles Aznavour,Je t'attends,Afro House,Playlist,FRUM72500099,3243760171
Life Is Simple (Move Your Body),Maesic,Life Is Simple (Move Your Body),Afro House,Playlist,QZUCN2202170,3249093041
Birthday Sex (feat. Jeremih) (Levi Mix),LÉVI,Birthday Sex (feat. Jeremih) (Levi Mix),Afro House,Playlist,UKRPL1900849,3223641151
Baille,ERIICE,Baille,Afro House,Playlist,BE8LH2400610,3074537121
Closer To The Floor,Jazzy,Closer To The Floor,Afro House,Playlist,GBUM72501654,3320184761
"Let’s Go (feat. Tom Enzy, Juany Bravo & Sami Brielle) [HUGEL Remix]",Jaden Bojsen,"Let’s Go (feat. Tom Enzy, Juany Bravo & Sami Brielle) [HUGEL Remix]",Afro House,Playlist,NLZ542500039,3207449071
Hit My Heart,KVSH,Hit My Heart,Afro House,Playlist,FR9W12504673,3250936751
Your Body,Marten Lou,Your Body,Afro House,Playlist,DEA622500509,3230816611
una noche con hugel,HUGEL,una noche con hugel,Afro House,Playlist,CH7812530335,3244352251
Lifeline,Jonas Blue,Lifeline,Afro House,Playlist,GBUM72500169,3243765251
Bolide allemand (Jaykill & Sublife Remix),SDM,Bolide allemand,Afro House,Playlist,FRUM72500357,3268307281
Come With Me (feat. Jorja Smith),Major League Djz,Come With Me (feat. Jorja Smith),Afro House,Playlist,GBARL2500228,3248399321
I Started A Fire,Tinlicker,I Started A Fire,Afro House,Playlist,GBENL2504290,3282619351
All The Love,Everything is Art,All The Love,Afro House,Playlist,QM4TX2517190,3228646001
In Love Today,Zerb,In Love Today,Afro House,Playlist,NL3M12406666,3248702781
How You Feelin',Mont Rouge,How You Feelin',Afro House,Playlist,USUS12500136,3259410571
Feel The Love,Andhim,Feel The Love,Afro House,Playlist,NL8RL2514182,3302812091
Back To Life,Adriatique,Back To Life,Afro House,Playlist,NLZ542500089,3234099221
Alicante,HUGEL,Alicante,Afro House,Playlist,CH7812528065,3199374551
Belsunce,Mont Rouge,Belsunce,Afro House,Playlist,USUS12500188,3311117271
Morar No Mar,Antdot,Morar No Mar,Afro House,Playlist,BX0BA2500028,3266920271
Mamacita,Yung Omz,Mamacita,Afro House,Playlist,GXABC2500018,3336612481
Buschtaxi,DJ Koze,Music Can Hear Us,Afro House,Playlist,DGA0S2477631,3140997321
Found Love,Francis Mercier,Found Love,Afro House,Playlist,USQX92502037,3317256121
Apocalypse,Pete Tong,Apocalypse,Afro House,Playlist,DETO32400363,3253822481
Like Dat (Ape Drums Remix),Danidane,Like Dat (Ape Drums Remix),Afro House,Playlist,QM4TX2588429,3255748841
How I Feel (Am I Wrong),Faul & Wad,How I Feel (Am I Wrong),Afro House,Playlist,NLZ542500223,3318372751
Hold Me (HUGEL Remix),Hannah Wants,Hold Me (HUGEL Remix),Afro House,Playlist,GBCPZ2524277,3284098001
Dopamine - HUGEL Rework,HUGEL,Dopamine - HUGEL Rework,Afro House,Playlist,CH7812530648,3255646491
Skill Of Love,Alex Wann,Skill Of Love,Afro House,Playlist,QZUCN2202227,3311366441
Bloom,Lazare,Bloom,Afro House,Playlist,NLZ542500124,3261924371
Away,Topic,Away,Afro House,Playlist,DECE72501409,3359506371
Sabu,Ginton,Sabu,Afro House,Playlist,NL9YF2400020,3186752701
Lost In Loving You,Arty,Lost In Loving You,Afro House,Playlist,NLF712500029,3149056341
1807,Shima,1807,Afro House,Playlist,FRIDO2510732,3234987311
Western World (feat. Tally Maz),Sasson (FR),Western World (feat. Tally Maz),Afro House,Playlist,USUS12500116,3243409961
Powerful Play (andhim Remix),Monolink,Powerful Play,Afro House,Playlist,DETO32500344,3334808851
Mind,Anton Khabbaz,Mind,Afro House,Playlist,NLZ542500073,3228732071
Smoke (feat. Clubhouse),Imad,Smoke (feat. Clubhouse),Afro House,Playlist,USZ4V2500099,3250932181
SXY,HUGEL,SXY,Afro House,Playlist,BE5KW2500657,3189331401
Contigo Yo Me Pierdo,Ema Feud,Contigo Yo Me Pierdo,Afro House,Playlist,ITIO32500055,3275190271
I Can Get High,Autograf,I Can Get High,Afro House,Playlist,NLF712502421,3318698471
With You,Nico de Andrea,With You,Afro House,Playlist,NLF712501206,3239278661
Miami Giddha,Malone,Miami Giddha,Afro House,Playlist,CH7812533171,3303597631
Thong Song (with Sisqo),Joezi,Thong Song (with Sisqo),Afro House,Playlist,USUS12500161,3276089931
EYES WIDE OPEN,LE YORA,EYES WIDE OPEN,Afro House,Playlist,US23A1592367,3179651871
With You,Trybe,With You,Afro House,Playlist,CA5KR2519376,3275970861
SO GOOD,HMWME,SO GOOD,Afro House,Playlist,QZHN82508540,3257665971
Ahora,Shadu,Ahora,Afro House,Playlist,GXBNP2503695,3286928251
Rest Of Your Life,Moguai,Rest Of Your Life,Afro House,Playlist,CH7812531041,3263928101
O Cajado,MoBlack,O Cajado,Afro House,Playlist,ITFGO2500016,3232459471
Never Walk Alone,ChopLife SoundSystem,Never Walk Alone,Afro House,Playlist,QZTLA2547361,3182790401
What You Thinking Of,Nico de Andrea,What You Thinking Of,Afro House,Playlist,NLF712502414,3315451001
The One (with Daddy Yankee),Robert Falcon,The One (with Daddy Yankee),Afro House,Playlist,NL1DT2500600,3232995431
Daybreak (Let It Play),Badbwoy,Daybreak (Let It Play),Afro House,Playlist,NL4SF2500207,3295103651
Matilda,Lima Riff,Matilda,Afro House,Playlist,NLT2H2500212,3261829951
Change This Pain for Ecstasy (Lazare & ADDAM Remix),Rex the Dog,Change This Pain for Ecstasy (Lazare & ADDAM Remix),Afro House,Playlist,GX8XE2500003,3324045901
Kama,El Khatib,Kama,Afro House,Playlist,NL5L52500003,3200636671
Give It Up,The Good Men,Give It Up,Afro House,Playlist,NLF712502514,3327649021
Our Future,MAXI MERAKI,Our Future,Afro House,Playlist,USUS12500114,3243414161
Coisinha Do Pai (feat. Sued Nunes),John Elle,Coisinha Do Pai (feat. Sued Nunes),Afro House,Playlist,NLZ542500087,3232908591
I Am Free,CARTFISH,CARTFISH,Afro House,Playlist,GBKQU2527816,3304912491
Bonita,Sllash & Doppe,Bonita,Afro House,Playlist,GBKQU2535923,3325017121
Pull Up,Danidane,Pull Up,Afro House,Playlist,QM6N22520796,3304673991
One One Time,Idris,One One Time,Afro House,Playlist,GXABC2500016,3289047131
Alegria,Themba,Alegria,Afro House,Playlist,NLF712501827,3267759341
Anything (Ya Ya),Ginton,Anything (Ya Ya),Afro House,Playlist,NL9YF2500054,3289186711
Valodja (Liva K Remix),Steve Angello,Valodja (Liva K Remix),Afro House,Playlist,USA2P2518131,3326354081
Que Pasa,Tr3nacria,Que Pasa,Afro House,Playlist,IT00D2501201,3245032981
Tatf,Ahoona,Tatf,Afro House,Playlist,GXBNP2501755,3234424511
Cherry Coco,Badbwoy,Cherry Coco EP,Afro House,Playlist,NL4SF2500136,3240331261
The Stockholm Syndrome (Kiko Franco Remix),Clmd,The Stockholm Syndrome (Kiko Franco Remix),Afro House,Playlist,NOGTA2596010,3304894321
Change,arodes,Game Changers,Afro House,Playlist,NLF712501153,3249922241
Replay,Joezi,Replay,Afro House,Playlist,GBJX32005201,3271033541
The Black Dream,Kitty Amor,The Black Dream,Afro House,Playlist,US38Y2526243,3294253271
Blessed Generation,Coco & Breezy,Blessed Generation,Afro House,Playlist,GXABC2500013,3282408071
Kuya,Tabu,Kuya,Afro House,Playlist,QM6N22591295,3324638081
Remedy,Damon DeGraff,Remedy,Afro House,Playlist,QZZ8A2459524,3036195621
In Your Eyes (feat. Maejor),JK,In Your Eyes (feat. Maejor),Afro House,Playlist,US38Y2507476,3248598471
Burn The Night,Sunnery James & Ryan Marciano,Burn The Night,Afro House,Playlist,NLF712500332,3186786291
Mi Pena (AMÉMÉ Remix),Birds of Mind,Mi Pena (AMÉMÉ Remix),Afro House,Playlist,DEBE72500171,3251484121
The Underground,Alan Dixon,The Underground,Afro House,Playlist,GBCPZ2524400,3344981931
Biscotte,Yass,Biscotte,Afro House,Playlist,FXR752412747,3230282861
Not Enough,Marco Generani,Not Enough,Afro House,Playlist,GBHAD2500023,3284600141
Sunny,Luca Schreiner,Sunny,Afro House,Playlist,DEPI82504273,3243191631
Going Fast,Tobehonest,Going Fast,Afro House,Playlist,QM6N22570764,3316656901
Close,ELEVEN (FR),Close,Afro House,Playlist,GBKQU2526448,3295097601
Fool for love,Ateph Elidja,Fool for love (Single),Afro House,Playlist,FR9W12523607,3335074871
Get Loose,Roy Rosenfeld,Da Vision / Get Loose,Afro House,Playlist,DEY032402841,3206513681
Funnyman,Da Mike,Funnyman,Afro House,Playlist,GBKQU2517892,3245553531
Never Leave You,Dhali,Never Leave You,Afro House,Playlist,CH7812528528,3208236511
Fired Up,Hoax (BE),Fired Up,Afro House,Playlist,FRUM72500604,3359018851
Desejo,Felipe Allenn,Desejo,Afro House,Playlist,NLT2H2500267,3279145831
Beverly Hills (Radio Edit),Wann,Beverly Hills,Afro House,Playlist,GBKQU2521967,3263867661
Jaded,Dario Di Bona,Jaded,Afro House,Playlist,ITQ002500674,3266589641
Holy Water,China Charmeleon,Holy Water,Afro House,Playlist,NLF712500814,3271664261
Lost In Space,Cubfonic,Lost In Space,Afro House,Playlist,GX89G2507210,3190713181
