Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Johnny,Yemi Alade,King Of Queens,Afro Party,Playlist,TCACA1432560,1083311712
Joro,Wizkid,Joro,Afro Party,Playlist,USRC11901068,705337482
Calm Down,Rema,Calm Down,Afro Party,Playlist,NGA3B2214004,1644464022
Scatter,Fireboy Dml,"Laughter, Tears & Goosebumps",Afro Party,Playlist,USUYG1281972,797948702
understand,Omah lay,understand,Afro Party,Playlist,USWB12101758,1403269252
On the Low,Burna Boy,African Giant,Afro Party,Playlist,USAT21812249,717237132
Champion Sound,Davido,Champion Sound,Afro Party,Playlist,GBARL2101690,1529543822
Maserati (Remix),Olakira,Maserati (Remix),Afro Party,Playlist,QZAKB2006307,1075708382
Kilofeshe,Zinoleesky,Chrome,Afro Party,Playlist,QMFME2065691,1166235792
Anajikosha,Harmonize,Anajikosha,Afro Party,Playlist,FR10S2103254,1199287462
KPK (Remix) [feat. Sho Madjozi & MohBad],Rexxie,A True Champion,Afro Party,Playlist,ZA56E2100805,1402619612
B. D’OR (feat. Wizkid),Burna Boy,B. D’OR (feat. Wizkid),Afro Party,Playlist,USAT22108192,1586959672
Soco,Starboy,"Soco (feat. Wizkid, Ceeza Milli, Spotless & Terri)",Afro Party,Playlist,USUYG1184573,464037062
Sip (Alcohol),Joeboy,Sip (Alcohol),Afro Party,Playlist,QZS7J2197906,1475329352
Mood (feat. BNXN),Wizkid,Made In Lagos: Deluxe Edition,Afro Party,Playlist,USRC12102465,1474353002
Nesesari,Kizz Daniel,No Bad Songz,Afro Party,Playlist,GBZB51800121,583280942
Don't Call Me (feat. Zinoleesky),Lil Kesh,Don't Call Me (feat. Zinoleesky),Afro Party,Playlist,ZA41S2102487,1572211212
Enjoy (Remix),Tekno,Enjoy (Remix),Afro Party,Playlist,GBUM72102366,1357225322
Sere,Spinall,Sere,Afro Party,Playlist,US23A1515379,1157397142
Music Messiah,DJ Neptune,Music Messiah,Afro Party,Playlist,QZQAY2193623,1365594872
KANA,Olamide,KANA,Afro Party,Playlist,USUYG1195871,494488282
Dumebi,Rema,Rema,Afro Party,Playlist,NGA3B1914003,752760792
Fall for Me,Laycon,Fall for Me,Afro Party,Playlist,US7VG2187263,1252723472
love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix],CKay,love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix],Afro Party,Playlist,QMEU31915738,873962132
Leg Over,Mr Eazi,Leg Over,Afro Party,Playlist,US23A1500352,484115542
Girlfriend,Ruger,The Second Wave Deluxe,Afro Party,Playlist,GBARL2201233,1772861237
Set Awon (Amapiano Version),Headgurl,Set Awon (Amapiano Version),Afro Party,Playlist,QZNJY2031088,1190822182
Last Last,Burna Boy,Last Last,Afro Party,Playlist,USAT22204901,1748190317
Infinity,Olamide,Carpe Diem,Afro Party,Playlist,USUYG1330802,1068382592
Today,DopeNation,Today,Afro Party,Playlist,GBLFP2041995,1224456712
Fall,Davido,Fall,Afro Party,Playlist,GBARL1700777,368671201
Soweto,Victony,Outlaw,Afro Party,Playlist,QZAKB2164097,1713054187
Daddy Yo,Wizkid,Daddy Yo,Afro Party,Playlist,USRC11602780,138739433
Warisi Cruise Beat,DJ Yk Mule,Warisi Cruise Beat,Afro Party,Playlist,NLRD52045993,1626055022
Bado Sana,Lava Lava,Bado Sana,Afro Party,Playlist,TCAFH2092352,1187897592
Peru,Fireboy Dml,Peru,Afro Party,Playlist,USUYG1403104,1592733101
Dance For Me (Eugy X Mr Eazi),Eugy Official,Dance For Me (Eugy X Mr Eazi),Afro Party,Playlist,TCACN1663283,129636210
Adiwele (feat. Kabza De Small & DJ Maphorisa),Young Stunna,Notumato,Afro Party,Playlist,ZB88P2100010,1524918852
Bounce,Rema,Bounce,Afro Party,Playlist,NGA3B2114001,1249315702
Sheege,D-Black,Sheege,Afro Party,Playlist,QMDA62119066,1495547822
Elamont,Babes Wodumo,Idando Kazi,Afro Party,Playlist,ZA75S2000020,1032664042
Ameno Amapiano (Remix),Goya Menor,Ameno Amapiano (Remix),Afro Party,Playlist,GX3Q92055886,1402662802
High Way,DJ Kaywise,High Way,Afro Party,Playlist,QZAKB2008573,1171651712
Terminator,Asake,Mr. Money With The Vibe,Afro Party,Playlist,USUYG1437793,1841734987
Cho Cho,Zlatan,Cho Cho,Afro Party,Playlist,QZAKB2104571,1325271592
Ke Star (Remix),Focalistic,Ke Star (Remix),Afro Party,Playlist,ZA56E2100199,1246004612
ZaZoo Zehh,Poco Lee,ZaZoo Zehh,Afro Party,Playlist,NLRD52045971,1589962942
Pronto,Ajebo Hustlers,Pronto,Afro Party,Playlist,QZAKB2011563,1224092882
Levels,Flavour,Levels,Afro Party,Playlist,QZNJX2145766,1517762242
Coming,Naira Marley,Coming,Afro Party,Playlist,QM4TX2144211,1260747462
