Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Sensational (feat. Davido & Lojay),Chris Brown,Sensational (feat. Davido & Lojay),Afro Summer,Playlist,USRC12302777,2504834531
Soh-Soh,Odeal,Sunday At Zuri's,Afro Summer,Playlist,GBMA22406214,2861454502
Sere (Remix),Spinall,TOP BOY,Afro Summer,Playlist,US23A1534100,2110904307
WAHALA (feat. Olamide),CKay,WAHALA (FEAT. OLAMIDE),Afro Summer,Playlist,ZA34K2401962,2713866652
yawa,Fireboy Dml,yawa,Afro Summer,Playlist,USUYG1492806,2331313555
Tshwala Bam (feat. S.N.E),Titom,Tshwala Bam (feat. S.N.E),Afro Summer,Playlist,ZA56E2416068,2792090862
Asiwaju,Ruger,Asiwaju,Afro Summer,Playlist,GBARL2202349,2005128927
Komasava (Comment Ça Va),Diamond Platnumz,Komasava (Comment Ça Va),Afro Summer,Playlist,ZA40S2400914,2773464321
Likor,KiDi,Likor (feat. Stonebwoy),Afro Summer,Playlist,USUYG1496353,2346820285
Commas,Ayra Starr,The Year I Turned 21,Afro Summer,Playlist,USUG12400783,2816368232
Monalisa,Lojay,Monalisa,Afro Summer,Playlist,QM6MZ2204522,1744005537
Who Is Your Guy?,Spyro,Who Is Your Guy?,Afro Summer,Playlist,QZW9L2260049,2191819067
UNAVAILABLE (feat. Musa Keys),Davido,Timeless,Afro Summer,Playlist,GBARL2300322,2182407327
Charm,Rema,Rave & Roses Ultra,Afro Summer,Playlist,NGA3B2314006,2248578427
Aquafina,Young Jonn,Aquafina,Afro Summer,Playlist,QMEU32207124,2234285877
Nesesari,Kizz Daniel,No Bad Songz,Afro Summer,Playlist,GBZB51800121,583280942
Holy Ghost,Omah lay,Holy Ghost,Afro Summer,Playlist,USWB12306574,2517734421
Double,Kizz Daniel,Double,Afro Summer,Playlist,USUYG1552099,2822999612
Who Told You (feat. Drake),J Hus,Who Told You (feat. Drake),Afro Summer,Playlist,GBARL2300716,2313639475
Pronto,Ajebo Hustlers,Pronto,Afro Summer,Playlist,QZAKB2011563,1224092882
Hustler,Cheque,Chequemate,Afro Summer,Playlist,USUYG1496275,2345204715
Bahamas,Young Jonn,Jiggy Forever,Afro Summer,Playlist,US38Y2408252,2734306941
soso,Omah lay,Boy Alone,Afro Summer,Playlist,USWB12201878,1807498027
Falling Up,Adekunle Gold,Tequila Ever After,Afro Summer,Playlist,USUM72309918,2376901375
Love Me JeJe,Tems,Love Me JeJe,Afro Summer,Playlist,USRC12400907,2762250081
GWAGWALADA,BNXN,GWAGWALADA,Afro Summer,Playlist,USUYG1467824,2133390187
Trumpet,Olamide,Trumpet,Afro Summer,Playlist,USUYG1471511,2243240687
Lonely At The Top,Asake,Work Of Art,Afro Summer,Playlist,USUYG1490059,2324457305
OCEAN,B Young,OCEAN,Afro Summer,Playlist,QM6N22251610,1795356417
Terminator (feat. Young Jonn),King Promise,Terminator (feat. Young Jonn),Afro Summer,Playlist,GBARL2300820,2339872875
Calm Down,Rema,Calm Down,Afro Summer,Playlist,NGA3B2214004,1644464022
Banyana,DJ Maphorisa,Banyana,Afro Summer,Playlist,ZAC012100146,1352491172
KU LO SA - A COLORS SHOW,Oxlade,KU LO SA - A COLORS SHOW,Afro Summer,Playlist,QMEU32209358,1780496117
Sip (Alcohol),Joeboy,Sip (Alcohol),Afro Summer,Playlist,QZS7J2197906,1475329352
MAD,Sarz,MAD,Afro Summer,Playlist,US23A1501552,795283952
Jealous,YBNL MaFia Family,YBNL MaFia Family,Afro Summer,Playlist,USUYG1232224,604538202
High,Adekunle Gold,High,Afro Summer,Playlist,US23A1539386,1462439832
Big 7,Burna Boy,Big 7,Afro Summer,Playlist,USAT22306272,2374739005
Last Last,Burna Boy,Last Last,Afro Summer,Playlist,USAT22204901,1748190317
Bounce,Ruger,PANDEMIC,Afro Summer,Playlist,GBARL2100161,1252646052
Coming,Naira Marley,Coming,Afro Summer,Playlist,QM4TX2144211,1260747462
Abule,Patoranking,Abule,Afro Summer,Playlist,USUYG1322875,1015130292
Summer YoMuthi,Blaq Diamond,Summer Yomuthi,Afro Summer,Playlist,ZAB7A2000490,1452749272
Focus,Joeboy,Somewhere Between Beauty & Magic,Afro Summer,Playlist,QMGR32185905,1204292932
Lo Lo,Omah lay,Get Layd,Afro Summer,Playlist,UK43Q2008511,1060647562
Enjoyment,KiDi,Enjoyment,Afro Summer,Playlist,GB2DY2000009,861844582
Maserati (Remix),Olakira,Maserati (Remix),Afro Summer,Playlist,QZAKB2006307,1075708382
Kilometre,Burna Boy,Kilometre,Afro Summer,Playlist,USAT22101813,1353162152
No Wahala,1da Banton,Original Vibe Machine,Afro Summer,Playlist,QZHZ52129395,1388514752
Bandana,Fireboy Dml,Bandana,Afro Summer,Playlist,USUYG1433884,1808570517
