Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Joro,Wizkid,Joro,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USRC11901068,705337482
G Love,Krept & Konan,G Love,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,GBUM71905237,775971442
Wetin Dey,Odunsi (The Engine),Better Days / Wetin Dey,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,US23A1501450,723170542
More Paper (feat. Eight9FLY),Pa Salieu,Send Them To Coventry,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,GBAHT2001016,1137252432
Enjoy Yourself (Remix),Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe),"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USUM72014308,1025944612
Gangsta (Remix),Darkoo,Gangsta (Remix),"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,GBMA21873522,834752712
Zulu Screams (feat. Maleek Berry & Bibi Bourelly),GoldLink,Zulu Screams (feat. Maleek Berry & Bibi Bourelly),"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USRC11901073,673498892
Airplane Mode (feat. NSG),Nines,Airplane Mode (feat. NSG),"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,GBAHT2000546,1053120922
Vudu,Majay,Vudu,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,TCAER2059573,892761692
Dumebi,Rema,Rema,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,NGA3B1914003,752760792
Passionfruit,Drake,More Life,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USCM51700072,144572210
Dream Girl (Global Remix),Ir Sais,Dream Girl (Global Remix),"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USSD12000397,1100067392
Djadja (feat. Afro B) (Remix),Aya Nakamura,Djadja (feat. Afro B) (Remix),"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,FRZ041800909,565589292
TWIST & TURN (feat. Drake & PARTYNEXTDOOR),Popcaan,FIXTAPE,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USWB12002918,1043679312
Ojuelegba (Remix),Starboy,Star Boy Classics,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,GBLFP1926668,745478882
Rapture (feat. Govana) (Remix),Original Koffee,Rapture (feat. Govana) (Remix),"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,GBARL1900522,671123992
Energy (Stay Far Away),Skepta,Energy (Stay Far Away),"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,QM4TX1885995,515509302
Ginger (feat. Burna Boy),Wizkid,Made In Lagos,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USRC12003053,1102672132
W (feat. Gunna),Original Koffee,W (feat. Gunna),"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,GBARL1901308,811115712
Longtime (feat. Skepta),Wizkid,Made In Lagos,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USRC12003054,1102672142
On the Low,Burna Boy,On the Low,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USAT21812249,585584062
One Dance,Drake,Views,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USCM51600028,124603270
Blessed (feat. Damian Marley),Wizkid,Made In Lagos,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USRC12003055,1102672162
Onyeka (Baby),Burna Boy,Twice As Tall,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USAT22005328,1049856362
Be Honest (feat. Burna Boy),Jorja Smith,Be Honest (feat. Burna Boy),"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,QM6P41954566,715385822
Won't Be Late,Swae Lee,Won't Be Late,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USUM71916703,731783532
Sit Back Down (feat. Maleek Berry),Not3s,Sit Back Down (feat. Maleek Berry),"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,GBARL1800018,450173682
Reckless,Wizkid,Made In Lagos,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USRC12003052,1102672122
Your Man,NEVRMIND,Your Man,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,TCAEM1999395,799492402
Come Over [Missing You],Busy Signal,REGGAE Music Again,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USVPR1200026,17546441
Rapid Fire,Cruel Santino,Rapid Fire,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,US23A1501048,577171832
Our Time,Lil Tecca,Virgo World,"AfroBeats & Dancehall & Reggae  (WIZKID, BURNA BOY, KOFFEE, J HUS, GANGSTA, DJADJA, CHRONIXX, DRAKE, OJUELEGBA, DAMIAN MARLEY, DRAKE, AFRO B & GOLDLINK)",Playlist,USUM72017151,1084417902
