Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Gimme Dat,Ayra Starr,Gimme Dat,AfroPop,Playlist,USUG12503277,3329774051
Mwah!,Lojay,Mwah!,AfroPop,Playlist,QM6MZ2546891,3313791211
Bout U,Rema,Bout U,AfroPop,Playlist,NGUM72500065,3298382731
SAY WETIN,Bad Boy Timz,SAY WETIN,AfroPop,Playlist,QZTGW2404171,3293207331
You4Me,Tiwa Savage,You4Me,AfroPop,Playlist,USUYG1711853,3333725831
All The Love,Ayra Starr,All The Love,AfroPop,Playlist,USUG12501240,3215968721
Princess Treatment,Bayanni,Love & Hustle,AfroPop,Playlist,NGUM72500056,3285244581
Bodycon,Crayon,Bodycon,AfroPop,Playlist,NGUM72500058,3288123061
Piece of My Heart (feat. Brent Faiyaz),Wizkid,Piece of My Heart (feat. Brent Faiyaz),AfroPop,Playlist,USRC12403045,3048394281
Dealer,Ayo Maff,Dealer,AfroPop,Playlist,USUYG1544095,2742551411
DORIME (feat. Ty Dolla $ign),CKay,EMOTIONS,AfroPop,Playlist,ZA34K2402294,3039081281
Make It Up To You (feat. Ayra Starr),Khalid,Sincere (Deluxe),AfroPop,Playlist,USRC12403660,3122725591
PUSH 2 START,Tyla,TYLA +,AfroPop,Playlist,USSM12407085,3034835481
Likor,KiDi,Likor (feat. Stonebwoy),AfroPop,Playlist,USUYG1496353,2346820285
Kilofe,Phaemous,Kilofe,AfroPop,Playlist,USUYG1567528,2937888761
META (Edit),Nomcebo Zikode,META (feat. Fireboy DML),AfroPop,Playlist,USUYG1565006,2907701871
Soh-Soh,Odeal,Sunday At Zuri's,AfroPop,Playlist,GBMA22406214,2861454502
Commas,Ayra Starr,Commas,AfroPop,Playlist,USUG12400783,2636043362
Run Away (OMALICHA),KHAID,Run Away (OMALICHA),AfroPop,Playlist,US23A1577780,2641530942
Perfect Combi,King Promise,Perfect Combi & Naana,AfroPop,Playlist,GBARL2300591,2474017241
Lately,Maleek Berry,Lately,AfroPop,Playlist,NL8RL2431749,2947929911
Count On Me,PJ MORTON,Cape Town to Cairo,AfroPop,Playlist,USUYG1544267,2762414731
Rhythm & Blues,Ayra Starr,Rhythm & Blues,AfroPop,Playlist,USUG12306815,2449302175
Get it Right (feat. Asake),Tems,Born in the Wild,AfroPop,Playlist,USRC12401741,2832495622
Anita,Victony,Stubborn,AfroPop,Playlist,QZWA32200681,2851281192
ARABAMBI (Acoustic),Oxlade,ARABAMBI (Acoustic),AfroPop,Playlist,QZWDG2400006,2903838961
EGWU EJI,CKay,EGWU EJI,AfroPop,Playlist,ZA34K2402201,2947480131
WAHALA (feat. Olamide),CKay,WAHALA (FEAT. OLAMIDE),AfroPop,Playlist,ZA34K2401962,2713866652
Palava,Johnny Drille,Palava,AfroPop,Playlist,NGA3B2413002,2772982981
4 Days,Magixx,4 Days,AfroPop,Playlist,NGA3B2417002,2691416872
Last Heartbreak Song,Ayra Starr,The Year I Turned 21,AfroPop,Playlist,USUG12402960,2816368302
Adenuga (feat. Qing Madi),Joeboy,Adenuga x Concerning,AfroPop,Playlist,ZA34K2401960,2724698191
Danger,KiDi,Danger,AfroPop,Playlist,USUYG1532497,2644021972
Dey Your Dey,Timaya,Dey Your Dey,AfroPop,Playlist,USUYG1528893,2626123012
X,Gabzy,X,AfroPop,Playlist,USUYG1547017,2763623591
IS IT YOU?,CKay,IS IT YOU? / MYSTERIOUS LOVE,AfroPop,Playlist,ZA34K2401841,2615393092
I Don't Care,Boy Spyce,I Don't Care,AfroPop,Playlist,NGA3B2318016,2543241911
Asiwaju,Ruger,Asiwaju,AfroPop,Playlist,GBARL2202349,2005128927
KATIGORI,Oxlade,KATIGORI/PIANO,AfroPop,Playlist,QZWDG2300084,2534722301
Cape Town,Eight9FLY,Cape Town,AfroPop,Playlist,GX3Q92420544,2715651292
Hold Me,KHAID,Emotions,AfroPop,Playlist,US23A1569091,2427285875
LIKE THAT (feat. Oxlade),ElGrandeToto,27,AfroPop,Playlist,BEIY42300012,2522418531
Fire 4 Fire,Remy Baggins,Fire 4 Fire,AfroPop,Playlist,NGB132300032,2384143595
Cheat On Me,Burna Boy,I Told Them...,AfroPop,Playlist,USAT22307525,2421104155
Ngozi,Crayon,Trench to Triumph,AfroPop,Playlist,US23A1567556,2361863185
Jaga Jaga,Victony,Jaga Jaga,AfroPop,Playlist,QZWA32200368,2452775325
Jah,Libianca,Jah,AfroPop,Playlist,GBARL2300723,2308797485
KANTE (feat. Fave),Davido,Timeless,AfroPop,Playlist,GBARL2300327,2182407377
Toxic,Gabzy,Malone,AfroPop,Playlist,GBLFP2133114,1165473812
In My Bed,Remy Baggins,In My Bed,AfroPop,Playlist,UK43Q2114916,2152999967
