Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Ne m'en veux pas,KeBlack,Ne m'en veux pas,Amour,Playlist,FR0A21901000,630321772
HRTBRK #2,Kaza,HRTBRK #2,Amour,Playlist,FRZ041900124,631701382
Dis Moi,Irvin,Dis Moi,Amour,Playlist,TCADO1856810,481581262
Boulé,Fally Ipupa,Tokooos,Amour,Playlist,FR8GU1700057,372552361
Belle-fille,Fally Ipupa,Tokooos,Amour,Playlist,FR8GU1700058,372552371
Ε. Signaler,Damso,Ipséité,Amour,Playlist,FRUM71700377,354918011
Reine,Dadju,Gentleman 2.0,Amour,Playlist,TCADB1727917,429974992
Par amour,Dadju,Gentleman 2.0,Amour,Playlist,FR9W11721941,429975052
Oublie-le,Dadju,Gentleman 2.0,Amour,Playlist,FR9W11721913,429974972
Intuition,Dadju,Gentleman 2.0,Amour,Playlist,FR9W11721937,429975092
Ma fierté,Dadju,Gentleman 2.0,Amour,Playlist,FR9W11719709,429975102
Comme si de rien n'était,Dadju,Gentleman 2.0,Amour,Playlist,FR9W11721936,429975112
Trouvez-la moi,Dadju,Gentleman 2.0,Amour,Playlist,FR9W11721914,429974982
Mannequin (feat. Keblack & Naza),Fally Ipupa,Tokooos,Amour,Playlist,FR8GU1700049,372552281
Ma jolie,Jul,Je ne me vois pas briller,Amour,Playlist,FR0U91700595,378114151
Tomber love,BRVMSOO,Tomber love,Amour,Playlist,FR10S1833719,457490952
Tu me l'avais promis,GIMS,Ceinture noire,Amour,Playlist,FR9W11803186,475164422
Tu m'as dit (feat. Bedjik),GIMS,Ceinture noire,Amour,Playlist,FR8FB1801401,475164312
Toto et Ninetta,Jul,Inspi d'ailleurs,Amour,Playlist,FR0U91800184,519797812
Mafuzzy Style,Dadju,Gentleman 2.0 (Réédition),Amour,Playlist,FR9DZ1700443,561855632
Jaloux,Dadju,Gentleman 2.0 (Réédition),Amour,Playlist,FR9W11817112,561855642
Bella,MHD,19,Amour,Playlist,FR3IV1800190,555913112
Motema,Gradur,ShegueyVara 2,Amour,Playlist,FR9W11516239,113989184
Loka,T2R,Loka,Amour,Playlist,FR96X1868037,570454072
TATAMI,Roissy,TATAMI,Amour,Playlist,TCADI1781695,426917432
Ma che beauté,Jul,La zone en personne,Amour,Playlist,FR0U91800476,600107922
Ma chérie,Jul,La zone en personne,Amour,Playlist,FR0U91800490,600108062
Siamois,Fally Ipupa,Tokooos,Amour,Playlist,FR8GU1700052,372552311
Juste une danse,Fally Ipupa,Tokooos,Amour,Playlist,FR8GU1700061,372552401
Tu ne le vois pas (feat. Dadju),GIMS,Ceinture noire,Amour,Playlist,FR9W11803172,475164282
Qu'est ce que je t'ai fait ?,Jul,La zone en personne,Amour,Playlist,FR0U91800484,600108002
Canne à sucre,Fally Ipupa,Control,Amour,Playlist,FRY681800023,576839342
Aime-moi,Fally Ipupa,Control,Amour,Playlist,FRY681800026,576839352
Validé,Wilson,Validé,Amour,Playlist,TCADX1837492,570848442
Muerte,Landy,Assa Baing,Amour,Playlist,FR10S1945431,642991312
Allez (feat. Leto),Mel,Allez (feat. Leto),Amour,Playlist,FRZ041900502,643704802
Médicament,Niska,Médicament,Amour,Playlist,FR9W11907270,658757872
Plus rien,Franglish,Monsieur,Amour,Playlist,FR9W11815960,644895222
