Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Psycannalise,Venom Hardtek,Venom EP,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,FR0U91700105,143148302
Les Démons de Minuit (Version Rock),Romain Ughetto,Les Démons de Minuit (Version Rock),BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,FR9W12143391,1584913902
Cocaine,Venom Hardtek,Venom EP,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,FR0U91700100,143148292
El Dicktator,Venom Hardtek,Venom EP,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,FR0U91700099,143148290
Malsain,Dragonoïde,Audio Experience AB112,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,SE5BU1927570,849742512
Le sol commence à bouger,Vortek's,Spiral,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,FR9W11811353,514901452
Machinatek,Vortek's,Spiral,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,FR9W11811355,514901552
Machinacore,Vortek's,Spiral,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,FR9W11811354,514901562
Feel It,Mr. Ivex,Creme de la Core Album,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,NLS161801345,529843531
Cauchemar,Le Wanski,Cauchemar,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,QZMHP2035282,1352527022
Bella Ciao,Le Wanski,Bella Ciao,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,QZNWT2019494,1144868862
Plus de basses (Hopital Mix),V-beatz,Furious Bass 2010,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,BE31O1003150,6667723
Love,Subsonic,Love,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,FR2X41960020,673866662
La Couleur Du Son,Le Wanski,La Couleur Du Son,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,QZMHM2012238,1345193952
Smash,Billx,Eclipse,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,FR0U91601052,131418712
303 Magnum,Protokseed,Styx Avenue,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,CH6541819231,490030822
Storm,UNLOGIX,Storm,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,QZ8LD1947587,619508862
Tarte à la myrtille,Le Wanski,Tarte à la myrtille,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,QZMHN2073516,1345685772
Du Sale,Le Wanski,Du Sale,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,UST8K1805775,559316052
M.U.S.H.,Le Wanski,M.U.S.H.,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,QZNWT2017612,1148708672
She Babao,Le Wanski,She Babao,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,QZMHK2012052,1353800382
Maman va gueuler,Le Wanski,Maman va gueuler,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,QZMHK2026586,1345193592
Stay Safe & Drink Water,VCL,Stay Safe & Drink Water,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,QZK6N1900738,836453052
Le Temps,Le Wanski,Le Temps,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,QZMHN2093277,1352291582
Hardcoriste,Le Bask,Hardcoriste,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,FR2W00700053,996060882
Viens,Von Bikräv,100% Bibi,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,GBKQU1956060,691254602
Jägermeister,Da Tweekaz,Jägermeister,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,BEB681800232,528422161
L'enculeur d'arbre,Darktek,Suce ma Beat,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,FR0U91204865,73706048
Gangbang,Darktek,Suce ma Beat,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,FR0U91204868,73706051
Atlantide,Le Wanski,Atlantide,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,QZMHN2062608,1342780772
La Pantera,Roland Cristal,Roland Cristal,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,CH6541960341,750545342
Vendetta,Roland Cristal,Roland Cristal,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,CH6541960335,750545282
Bout de bois,Salut C'est Cool,Maison,BASSE POUR FAIRE CHIER LES VOISINS 🔈,Playlist,FRIDO1910832,676405782
