Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Fake,2Scratch,Fake,Bass Boosted,Playlist,TCAEE1946424,662743162
My Zone,2Scratch,My Zone,Bass Boosted,Playlist,TCAEC1988887,643458532
Myself Again,Rune,Myself Again,Bass Boosted,Playlist,TCAEE1942262,662217042
Zeus,No ExpressioN,Zeus,Bass Boosted,Playlist,TCAEC1985910,644053172
The Wheels 10,Xent,The Wheels 10,Bass Boosted,Playlist,QZES91837428,604693302
Superlife,2Scratch,Superlife,Bass Boosted,Playlist,TCADZ1837874,600411912
Moonlight,Gaullin,Moonlight,Bass Boosted,Playlist,USHM21844771,518911542
Disobedient,Besomorph,Disobedient,Bass Boosted,Playlist,TCAEC1988220,643396152
Never Slow Down,Skan,Never Slow Down,Bass Boosted,Playlist,TCAEE1990095,668101362
Thinking About You,GLDN,Thinking About You,Bass Boosted,Playlist,GBSMU5905743,611483542
All Night,2Scratch,All Night,Bass Boosted,Playlist,TCADW1888484,563800882
Darkness,Hopex,Darkness,Bass Boosted,Playlist,TCAED1995944,656103852
Sekhmet,No ExpressioN,Sekhmet,Bass Boosted,Playlist,TCAEE1946479,662780902
Moonlight,Gaullin,Moonlight,Bass Boosted,Playlist,USHM21844771,547159922
Bass Boosted (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812677,560204492
Kings (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812673,560204452
Rescue (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812671,560204432
Vertigo (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812672,560204442
Make Money (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812676,560204482
Notorious (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812675,560204472
Bang Bang (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812674,560204462
Step Back (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812678,560204502
Criminal (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812690,560204622
Magical (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812681,560204532
Yeah Squad (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812680,560204522
Monsters (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812679,560204512
New World Order (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812693,560204652
Never Give Up (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812687,560204592
Bel Air (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812683,560204552
Knockin (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812694,560204662
Go Crazy (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812692,560204642
Yo! (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812682,560204542
Bitches (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812689,560204612
Jump (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812684,560204562
Hands Up (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812686,560204582
Turn It Up (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812688,560204602
Dreamers Highway (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812691,560204632
Dagger (Original Mix),Trap City (US),Bass Boosted,Bass Boosted,Playlist,RUA491812685,560204572
