Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Changes,2Pac,The Best of 2Pac,Black History Month,Playlist,USIR10110269,910693
The Bigger Picture,Lil Baby,The Bigger Picture,Black History Month,Playlist,USUG12001660,989008322
Inner City Blues (Make Me Wanna Holler),Marvin Gaye,The 50 Greatest Songs,Black History Month,Playlist,USMO17100049,1101733
"Young, Gifted and Black",Aretha Franklin,"Young, Gifted and Black",Black History Month,Playlist,USAT20801197,904817
50 Niggaz,Nipsey Hussle,Mailbox Money,Black History Month,Playlist,TCACC1483869,93688486
The Heart Part 5,Kendrick Lamar,The Heart Part 5,Black History Month,Playlist,USUM72208318,1744890307
DOWN BY LAW,Killer Mike,MICHAEL (Deluxe),Black History Month,Playlist,USC4R2332919,2444546925
We the People Who Are Darker Than Blue,Curtis Mayfield,Curtis (Expanded Edition),Black History Month,Playlist,USRH10450689,903465
Snow On Tha Bluff,J. Cole,Snow On Tha Bluff,Black History Month,Playlist,QMJMT2003024,994361532
Strange Friut,Billie Holiday,Billie's Blues,Black History Month,Playlist,ZAC481600298,135261628
State Of The Union (STFU) (Main),Public Enemy,State Of The Union (STFU) (Main),Black History Month,Playlist,USA2P2023196,992936002
Ultra Black,Nas,King's Disease,Black History Month,Playlist,QM8RL2001075,1053677592
I Wish I Knew How It Would Feel to Be Free,Nina Simone,The Greatest Hits,Black History Month,Playlist,USRC16707699,632335
Picture Me Rollin',Nipsey Hussle,Slauson Boy 2,Black History Month,Playlist,TCADK1716368,442160752
Strange Fruit,Billie Holiday,Billie Holliday (unique Series),Black History Month,Playlist,GBPPW0810296,10865786
The Revolution Will Not Be Televised,Gil Scott-Heron,Pieces of a Man,Black History Month,Playlist,USBB17101029,75412621
Don't Touch My Hair (feat. Sampha),Solange,A Seat at the Table,Black History Month,Playlist,USSM11607812,133103646
"Don't Call Me Nigger, Whitey",Sly & The Family Stone,Stand,Black History Month,Playlist,USSM16901081,534504
Entrepreneur (feat. JAY-Z),Pharrell Williams,Entrepreneur (feat. JAY-Z),Black History Month,Playlist,USSM12004893,1054254452
A Change Is Gonna Come,Sam Cooke,A Change Is Gonna Come,Black History Month,Playlist,USA176420220,9938661
Get Up,T-Pain,Get Up,Black History Month,Playlist,USUYG1317511,986117212
Chocolate City,Parliament,Chocolate City,Black History Month,Playlist,USPR37504001,1563493
Brotha,Jill Scott,"Who Is Jill Scott? - Words and Sounds, Vol. 1",Black History Month,Playlist,USSM10008641,15235630
JU$T (feat. Pharrell Williams & Zack de la Rocha),Run The Jewels,RTJ4,Black History Month,Playlist,QMRSZ2001024,977688912
MY POWER,Beyoncé,The Lion King: The Gift,Black History Month,Playlist,USSM11904706,715555852
Black Gold,Flying Lotus,Yasuke,Black History Month,Playlist,GBBPW2100099,1354671282
Meanwhile Back At Home,Moodymann,Forevernevermore,Black History Month,Playlist,GBEWK0000001,12756234
"Mighty Mighty (Spade and Whitey) (Live at The Bitter End, NYC)",Curtis Mayfield,Curtis Live! (US Release),Black History Month,Playlist,USRH10200158,903486
RASCAL (feat. Young Thug),RMR,DRUG DEALING IS A LOST ART,Black History Month,Playlist,USWB12001940,991055602
Captured On A iPhone,Dre,Captured On A iPhone,Black History Month,Playlist,USUYG1316339,975981952
Reality Check,Swae Lee,Reality Check,Black History Month,Playlist,USUM72011604,990937112
Black 2,Buddy,Black 2,Black History Month,Playlist,USRC12002020,987049182
Freedom (feat. Kendrick Lamar),Beyoncé,Lemonade,Black History Month,Playlist,USSM11603184,669486712
Stay Woke (feat. Miguel),Meek Mill,Stay Woke (feat. Miguel),Black History Month,Playlist,USAT21802888,515921892
MOVIN' DIFFERENT (feat. McClenney),Wale,The Imperfect Storm,Black History Month,Playlist,USWB12001959,996367712
Front Lines,Conway the Machine,From King To A GOD,Black History Month,Playlist,USUYG1332342,1074500172
Otherside of America,Meek Mill,Otherside Of America,Black History Month,Playlist,USAT22003778,983352002
No Justice (feat. Big TC),Ty Dolla $ign,No Justice (feat. Big TC),Black History Month,Playlist,USAT21602120,129009472
Pig Feet,Terrace Martin,"Pig Feet (feat. Kamasi Washington, G Perico & Daylyt)",Black History Month,Playlist,USUYG1316370,976952052
Black Habits II,D Smoke,Black Habits,Black History Month,Playlist,USUYG1294264,862323612
Time's A Wastin,Erykah Badu,Mama's Gun,Black History Month,Playlist,USMO10001030,2122751
God in the Building,Killer Mike,Killer Mike Chronicles,Black History Month,Playlist,NLRD51404057,97789806
The Blacker The Berry,Kendrick Lamar,To Pimp A Butterfly,Black History Month,Playlist,USUM71501985,97206080
Wildfires,Sault,Untitled (Black Is),Black History Month,Playlist,UKMEH2000068,993641082
Fight The Power: Remix 2020,Public Enemy,Fight The Power: Remix 2020,Black History Month,Playlist,USUG12003233,1059210022
Fuck Tha Police,N.W.A,Straight Outta Compton,Black History Month,Playlist,USPO10000873,105364502
Cold Blood (feat. J. Cole & Canei Finch),Yo Gotti,I Am,Black History Month,Playlist,USSM11306468,72398866
2020 Riots: How Many Times,Trey Songz,2020 Riots: How Many Times,Black History Month,Playlist,USAT22003785,983350932
Alabama,John Coltrane,Chasing Trane: The John Coltrane Documentary (Original Soundtrack),Black History Month,Playlist,USWWW0202685,427219572
Say It Loud - I'm Black And I'm Proud (Pts.1 & 2),James Brown,Gold,Black History Month,Playlist,USPR36809005,613092252
