Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Believe (Shooting Stars),R3HAB,Believe (Shooting Stars),Car Music Hits 2024,Playlist,AEA2D2400433,3050727361
Road Runs Out,Sonny Wern,Road Runs Out,Car Music Hits 2024,Playlist,NL1DT2400348,2786126372
Kickin' You Out,Mohtiv,Kickin' You Out,Car Music Hits 2024,Playlist,NL6WK2400245,3019730011
Don't Kill My Vibe,Öwnboss,Don't Kill My Vibe,Car Music Hits 2024,Playlist,NL9KQ2390513,2997243521
No Heroes,LUNAX,No Heroes,Car Music Hits 2024,Playlist,DEPI82422931,2842281992
Ocean,dj tani,Ocean,Car Music Hits 2024,Playlist,GX5MY2455323,3045249211
Overdrive (feat. Norma Jean Martine),Ofenbach,Overdrive (feat. Norma Jean Martine),Car Music Hits 2024,Playlist,FR9W12347222,2472322121
Need Your Lovin',Daescco,Need Your Lovin',Car Music Hits 2024,Playlist,QZFP52455379,2860569312
Intoxicated (Hypertechno),Sunlike Brothers,Intoxicated (Hypertechno),Car Music Hits 2024,Playlist,DEPI82321550,2499350811
What If We Let Go (feat. Sam Welch),LEDUC,What If We Let Go (feat. Sam Welch),Car Music Hits 2024,Playlist,US38Y2417624,2898655851
Lose Myself Tonight,TØRISMAD,Lose Myself Tonight,Car Music Hits 2024,Playlist,GBKQU2483362,2989268561
Forever (feat. Malou & Yuna),HUGEL,Forever (feat. Malou & Yuna),Car Music Hits 2024,Playlist,DEA622403098,2965418671
Kisses (feat. bbyclose),Bl3ss,Kisses (feat. bbyclose),Car Music Hits 2024,Playlist,GBAHS2400105,2702569332
Stuck On You,Wankelmut,Stuck On You,Car Music Hits 2024,Playlist,GBKQU2493536,3016356171
Mirror On The Wall,Sonny Wern,Mirror On The Wall,Car Music Hits 2024,Playlist,NL1DT2400495,3035738361
T.N.T. (Techno Remix),Nic Johnston,T.N.T. (Techno Remix),Car Music Hits 2024,Playlist,DEPI82412004,2752300311
why so scared to fall?,Martin Trevy,why so scared to fall?,Car Music Hits 2024,Playlist,NLXV51300978,3014782771
Francesco,Blaze U,Francesco,Car Music Hits 2024,Playlist,DEPI82414486,2775300901
A Bar Song (Tipsy),THNDERZ,A Bar Song (Tipsy),Car Music Hits 2024,Playlist,QMDA62442498,3020449701
Breathe Again,Danimal,Breathe Again,Car Music Hits 2024,Playlist,NL1DT2400409,2887107142
Without You,Julian,Without You,Car Music Hits 2024,Playlist,NL1DT2400475,2980977821
Prada,cassö,Prada,Car Music Hits 2024,Playlist,GBCEN2300147,2403785095
One in a Million,MITCH DB,One in a Million,Car Music Hits 2024,Playlist,CAQOI2413281,2958798101
Praise You (Shackles),Ann Stable,Praise You (Shackles),Car Music Hits 2024,Playlist,NL1DT2400468,3028477481
4 o'Clock (In The Morning),HUTS,4 o'Clock (In The Morning),Car Music Hits 2024,Playlist,NL1DT2400404,2896914621
"1, 2 Step",Ellister,"1, 2 Step",Car Music Hits 2024,Playlist,GBKQU2485646,3014926491
I Only Smoke When I Drink,nimino,I Only Smoke When I Drink,Car Music Hits 2024,Playlist,GBCFB2400907,2930393391
"World, Hold On (FISHER Rework)",Bob Sinclar,"World, Hold On (FISHER Rework)",Car Music Hits 2024,Playlist,FR4E42227000,1892838227
Dance With You,JuSSa,Dance With You,Car Music Hits 2024,Playlist,QZES72430606,2676237272
