Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,Chill Hits,Playlist,USJ5G2335007,2365569495
Stick Season,Noah Kahan,Stick Season (We'll All Be Here Forever),Chill Hits,Playlist,USUM72212470,2310201655
Snooze,SZA,SOS,Chill Hits,Playlist,USRC12204591,2055292087
Popular (From The Idol Vol. 1 Music from the HBO Original Series),The Weeknd,Popular (Music from the HBO Original Series),Chill Hits,Playlist,USUG12303876,2321977215
Little Life,Cordelia,Caramel,Chill Hits,Playlist,QZTB32354348,2582468282
Igual Que Un Ángel,Kali Uchis,ORQUÍDEAS,Chill Hits,Playlist,USUM72315072,2609095072
Satellite,Harry Styles,Harry's House,Chill Hits,Playlist,USSM12200619,1756569667
Lavender Haze,Taylor Swift,Midnights,Chill Hits,Playlist,USUG12205734,1976903137
Water,Tyla,Water,Chill Hits,Playlist,USSM12305126,2381294455
How to Save a Life - InVersions 2000s,jxdn,How to Save a Life - InVersions 2000s,Chill Hits,Playlist,USAT22406350,2888965792
Nonsense,Sabrina Carpenter,emails i can't send,Chill Hits,Playlist,USUM72210708,1817599637
ceilings,Lizzy McAlpine,five seconds flat,Chill Hits,Playlist,GBKPL2280163,1875447247
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,Ivory,Chill Hits,Playlist,USWB12200423,1690707237
Paint The Town Red,Doja Cat,Paint The Town Red,Chill Hits,Playlist,USRC12300907,2387373015
Kill Bill,SZA,SOS,Chill Hits,Playlist,USRC12204584,2058562847
Super Shy,NewJeans,NewJeans 'Super Shy',Chill Hits,Playlist,USA2P2330068,2354707745
SNAP,Rosa Linn,SNAP PACK,Chill Hits,Playlist,USSM12207342,1844840187
Anti-Hero,Taylor Swift,Midnights,Chill Hits,Playlist,USUG12205736,1976903157
Poison Poison,Reneé Rapp,Snow Angel,Chill Hits,Playlist,USUM72308741,2407557445
Murder On The Dancefloor (InVersions 2000s),Blu DeTiger,Murder On The Dancefloor (InVersions 2000s),Chill Hits,Playlist,USUG12403955,2894786671
Love Me Again,V,Layover,Chill Hits,Playlist,USA2P2339030,2402913845
Bad Habit,Steve Lacy,Gemini Rights,Chill Hits,Playlist,USRC12201440,1817216187
go (feat. Sam Smith),Cat Burns,Go (Remixes),Chill Hits,Playlist,GBARL2201252,1860044337
Moonlight,Kali Uchis,Red Moon In Venus,Chill Hits,Playlist,USUM72219486,2166050207
One Of Your Girls,Troye Sivan,Something To Give Each Other,Chill Hits,Playlist,AUUM72300179,2347250785
Glimpse of Us,Joji,Glimpse of Us,Chill Hits,Playlist,USWB12201789,1759539837
From The Start,Laufey,From The Start,Chill Hits,Playlist,QM6N22309399,2238153377
Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,Chill Hits,Playlist,GBUM72206756,2058413787
Another Love,Tom Odell,Long Way Down (Deluxe),Chill Hits,Playlist,GBARL1300107,65723649
Umbrella - InVersions 2000s,No Guidnce,Umbrella - InVersions 2000s,Chill Hits,Playlist,QM7282422113,2888409682
Pointless,Lewis Capaldi,Pointless,Chill Hits,Playlist,DEUM72203211,2036124277
All For You,Dean Lewis,The Hardest Love,Chill Hits,Playlist,AUUM72100594,1988499887
Satellite,Khalid,Satellite,Chill Hits,Playlist,USRC12203278,1914660757
uh oh,Tate McRae,uh oh,Chill Hits,Playlist,USRC12203443,1928131257
A Year Ago,James Arthur,A Year Ago,Chill Hits,Playlist,DEE862300511,2248444887
Calm Down,Rema,Calm Down,Chill Hits,Playlist,NGA3B2214021,1873297197
My Mind & Me,Selena Gomez,My Mind & Me,Chill Hits,Playlist,USUM72219591,1998292697
Forget Me,Lewis Capaldi,Forget Me,Chill Hits,Playlist,DEUM72204717,1896602817
Looking For Somebody (To Love),The 1975,Being Funny In A Foreign Language,Chill Hits,Playlist,GBK3W2202314,1809784247
If I Ain't Got You - InVersions 2000s,Poppy Ajudha,If I Ain't Got You - InVersions 2000s,Chill Hits,Playlist,USZXT2454922,2883036052
14,Clinton Kane,14,Chill Hits,Playlist,USSM12102906,1763762437
I Wanna Be Yours,Arctic Monkeys,AM,Chill Hits,Playlist,GBCEL1300373,70322142
Heather,Conan Gray,Kid Krow,Chill Hits,Playlist,USUM71924264,903771442
Atlantis,Seafret,Tell Me It's Real (Expanded Edition),Chill Hits,Playlist,GBARL1500316,118183736
I Went Hunting,George Ezra,I Went Hunting,Chill Hits,Playlist,GBARL2200014,1769065537
killer,FKA twigs,killer,Chill Hits,Playlist,USAT22205706,1778068787
Come Back Home,Sofia Carson,Purple Hearts (Original Soundtrack),Chill Hits,Playlist,USHR12243604,1834537307
Daylight,Harry Styles,Harry's House,Chill Hits,Playlist,USSM12200613,1756569607
Love Me More,Sam Smith,Love Me More,Chill Hits,Playlist,GBUM72202088,1727969367
Potion,Calvin Harris,Potion,Chill Hits,Playlist,GBARL2201128,1765270907
