Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
PORQUE TE VAS,Audioiko,PORQUE TE VAS,Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,DEE862200073,1665436102
For Life (feat. Nile Rodgers),Kygo,For Life (feat. Nile Rodgers),Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,USRC12400376,2742713321
Another Love (Zwette Edit),Tom Odell,Another Love (Zwette Edit),Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,GBARL1301232,71247303
Home,Zwette,Home,Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,DEE862201333,1874275687
Dance In The Sunlight,Lost Frequencies,Dance In The Sunlight,Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,BEHP42500003,3261725951
Stars Will Align,Kygo,Stars Will Align,Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,SEBGA2401211,3000946421
Love Is The Only Thing,Lost Frequencies,Love Is The Only Thing,Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,BEHP42400042,3041767501
Can We Kiss Forever? (feat. Adriana Proenza),Kina,Can We Kiss Forever? (feat. Adriana Proenza),Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,USSM11914456,819905832
Where Are You Now,Lost Frequencies,Where Are You Now,Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,BEHP42100067,1432930542
Fio Maravilha,Bon Entendeur,Fio Maravilha,Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,FRUM72400020,2621081272
Something On My Mind,Purple Disco Machine,Something On My Mind,Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,DEE862301229,2414651095
Hold On Me,Kygo,Hold On Me,Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,SEBGA2401541,3074072601
Messy,REWIND BE KIND,Messy,Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,QM6MZ2590489,3287386491
Because You Move Me,Tinlicker,Because You Move Me,Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,NLF711706976,378940811
Whatever,Kygo,Whatever,Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,USRC12302637,2615621912
"Sweet Disposition (a moment, a love)",Lost Frequencies,"Sweet Disposition (a moment, a love)",Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,BEHP42500007,3344814521
You,BUNT.,You,Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,USAR12400155,3027096841
Instant Crush (feat. Julian Casablancas),Daft Punk,Random Access Memories,Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,USQX91300105,67238732
Miracle,Calvin Harris,Miracle,Chill Relax ☀️ Printemps Ete Lounge Electro Apéro,Playlist,GBARL2300300,2182322087
