Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Climax,USHER,Looking 4 Myself (Expanded Edition),Cool,Playlist,USRC11200142,612067792
If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys,Cool,Playlist,USJAY0300452,629466
Dance Like We're Making Love,Ciara,Jackie (Deluxe),Cool,Playlist,USSM11502977,99408328
Fallin',Alicia Keys,Songs In A Minor (Expanded Edition),Cool,Playlist,USJAY0100057,12343214
Adorn,Miguel,Kaleidoscope Dream: The Water Preview,Cool,Playlist,USRC11200647,51867991
Yeah! (feat. Lil Jon & Ludacris),USHER,Confessions (Expanded Edition),Cool,Playlist,USAR10301423,13783449
Lay It Down,Lloyd,King Of Hearts,Cool,Playlist,USUM71021687,12452074
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,Versus,Cool,Playlist,USLF21000041,15597245
Dance for You,Beyoncé,4,Cool,Playlist,USSM11102795,66190260
Numb (Bonus Track),August Alsina,Testimony (Deluxe),Cool,Playlist,USUM71318582,76737286
It Won't Stop (feat. Chris Brown) (EP Version),Sevyn Streeter,It Won't Stop (feat. Chris Brown),Cool,Playlist,USAT21302744,70266522
No Love,August Alsina,No Love (Remix),Cool,Playlist,USUM71411314,82337926
Lazy Love,Ne-Yo,R.E.D. (Deluxe Edition),Cool,Playlist,USUM71204905,61793544
Pimp In Me,J Holiday,Back Of My Lac' (Deluxe),Cool,Playlist,USCA20704894,3146999
Take You Down,Chris Brown,Exclusive (Expanded Edition),Cool,Playlist,USJI10700710,15589991
Bed,J Holiday,Back Of My Lac' (Deluxe),Cool,Playlist,USCA20703432,3146991
Simply Amazing,Trey Songz,Simply Amazing,Cool,Playlist,USAT21202940,50331811
Motivation,Kelly Rowland,Here I Am (Deluxe Version),Cool,Playlist,USUM71103562,12818629
Grind With Me,Pretty Ricky,Bluestars,Cool,Playlist,USAT20502447,662685
Un-thinkable (I'm Ready) (feat. Drake) (Remix),Alicia Keys,Un-thinkable (I'm Ready) (feat. Drake) (Remix),Cool,Playlist,USJAY1000062,6270376
Body on Me (feat. Chris Brown),Rita Ora,Body on Me (feat. Chris Brown),Cool,Playlist,USQX91501237,105332258
You Changed Me (feat. Chris Brown),Jamie Foxx,You Changed Me (feat. Chris Brown),Cool,Playlist,USRC11402846,96818486
You (feat. Remy Ma & French Montana),Keyshia Cole,11:11 Reset,Cool,Playlist,USSM11700419,418337802
Wetter,Twista,Category F5,Cool,Playlist,USNPD0900183,402122572
Lost Without U,Robin Thicke,The Evolution of Robin Thicke,Cool,Playlist,USUM70507488,1173720
One Wish,Ray J,Raydiation,Cool,Playlist,USUYG1160553,409607052
Lotus Flower Bomb (feat. Miguel),Wale,Lotus Flower Bomb (feat. Miguel),Cool,Playlist,USWB11102913,14172387
Good Enough (feat. Jussie Smollett),Empire Cast,Original Soundtrack from Season 1 of Empire (Deluxe),Cool,Playlist,USQX91402687,113424356
Boo'd Up,Ella Mai,READY,Cool,Playlist,USUM71700987,142915972
Must Be Love (feat. Puff Daddy),Cassie,Must Be Love (feat. Puff Daddy),Cool,Playlist,USAT20900695,6640114
I'm Tryna,Omarion,O,Cool,Playlist,USSM10412689,595726
#Beautiful,Mariah Carey,Me. I Am Mariah…The Elusive Chanteuse (Deluxe),Cool,Playlist,USUM71306669,78562066
Superhuman,Lo Mejor del Rap y del Hip Hop,"Lo Mejor del Rap y del Hip Hop, Vol.3",Cool,Playlist,ARJ271601687,124133162
Without Me (feat. Kelly Rowland & Missy Elliott),Fantasia,Side Effects Of You (Deluxe Version),Cool,Playlist,GBCTA1300001,66505841
Cookie,R. Kelly,Cookie,Cool,Playlist,USRC11301700,72545404
Part II (On The Run),JAY Z,Magna Carta... Holy Grail,Cool,Playlist,QMJMT1300052,68861137
Music For Love,Mario,Go,Cool,Playlist,USJAY0700193,577185382
My Love,The-Dream,Love Vs. Money,Cool,Playlist,USUM70901275,872371252
Dangerously In Love,Destiny's Child,Survivor,Cool,Playlist,USSM10102785,5817100
Streets Is Callin' (Album Version),B2K,"B2K Presents ""You Got Served"" Soundtrack",Cool,Playlist,USSM10314034,582195
Energy,Keri Hilson,In A Perfect World...,Cool,Playlist,USUM70818261,4123053
The Business (feat. Casha) (Explicit Version),Yung Berg,Look What You Made Me,Cool,Playlist,USSM10801195,5430513
Mr. M.I.A.,CD,Mr. M.I.A.,Cool,Playlist,AUMEV2016249,954365662
Put It Down (feat. Chris Brown),Brandy,Two Eleven (Deluxe Version),Cool,Playlist,USRC11200364,61170971
Think Like A Man (feat. Rick Ross),Jennifer Hudson,Think Like A Man (feat. Rick Ross),Cool,Playlist,USRC11200095,16404005
"Put It Down (feat. Raymond Fein, Teddy Penderazdoun & Teddy Verseti)",T-Pain,Epiphany (Expanded Edition),Cool,Playlist,USJI10700381,1264689832
Dumb (feat. Meek Mill),Jazmine Sullivan,Dumb (feat. Meek Mill),Cool,Playlist,USRC11400541,77834443
Do It,Toni Braxton,Spell My Name,Cool,Playlist,USUM72012718,1059214062
