Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Sexy Gal,Kreesha Turner,Sexy Gal,Dancehall & Afro beats ,Playlist,USUM71503519,97853298
We Can (feat. Tory Lanez),Kranium,We Can (feat. Tory Lanez),Dancehall & Afro beats ,Playlist,USAT21602647,132635290
Back It Up,Cardi B,Gangsta Bitch Music Vol. 2,Dancehall & Afro beats ,Playlist,USUYG1127118,140249297
Take Control,Destorm,Take Control,Dancehall & Afro beats ,Playlist,TCACY1788890,144019550
DJ Put It On,Destorm,DJ Put It On,Dancehall & Afro beats ,Playlist,TCACX1798418,142593532
Tsunami,Destorm,Tsunami,Dancehall & Afro beats ,Playlist,TCACW1747612,353327051
Hoist & Wine,Charly Black,Hoist & Wine,Dancehall & Afro beats ,Playlist,USQY51712142,141706283
The Vibe,Ayo Jay,The Vibe,Dancehall & Afro beats ,Playlist,USUYG1127053,140285695
Yo Darlin (feat. Geko),NSG,Yo Darlin (feat. Geko),Dancehall & Afro beats ,Playlist,TCADD1703358,375262281
Naughty Ride (feat. Major Lazer),Wizkid,Naughty Ride (feat. Major Lazer),Dancehall & Afro beats ,Playlist,USRC11700910,375196321
One Wine,Machel Montano,One Wine,Dancehall & Afro beats ,Playlist,USZ4V1500137,111603012
Break It Off (feat. Rihanna),Sean Paul,The Trinity,Dancehall & Afro beats ,Playlist,USAT20611288,6611872
Whine up Song,Elephant Man,Elephant Man: Special Edition (Deluxe Version),Dancehall & Afro beats ,Playlist,USUEM1118565,122732272
Nuh Boring Gal (Remix),Aidonia,Nuh Boring Gal (Remix) - Single,Dancehall & Afro beats ,Playlist,USA2P1616331,119338824
Show Me,Charly Black,Show Me (Happy Juk Riddim),Dancehall & Afro beats ,Playlist,USQY51725230,144016666
Lean Back,Slim Kofi,Lean Back,Dancehall & Afro beats ,Playlist,NLG661700432,359438021
No Don,LottoBoyzz,No Don,Dancehall & Afro beats ,Playlist,TCACX1740534,141528781
Kontrol,Maleek Berry,Kontrol,Dancehall & Afro beats ,Playlist,GBUS91200018,124349472
Just Do It,Charly Black,Sexy Ting Riddim,Dancehall & Afro beats ,Playlist,USQY51618443,137887541
Gal Tan Up,Konshens,Gal Tan Up - Single (Produced by Rvssian),Dancehall & Afro beats ,Playlist,USA2P1699688,133767736
Fine Wine,Yxng Bane,Fine Wine,Dancehall & Afro beats ,Playlist,GB2E81600004,130778850
Nobody Has to Know,Kranium,Nobody Has to Know,Dancehall & Afro beats ,Playlist,USAT21501415,100084050
Never Believe You,Mavado,Never Believe You,Dancehall & Afro beats ,Playlist,USLQ20902928,6318887
Naughty Gyal (Original Mix),Undercontrol,Naughty Gyal,Dancehall & Afro beats ,Playlist,NLMT41300346,67514091
Wild in here (feat. Leftside),Dyna,Wild in here (feat. Leftside),Dancehall & Afro beats ,Playlist,NLP6D1600001,132198368
Tek Weh Yuh Heart,Sean Paul,Tek Weh Yuh Heart,Dancehall & Afro beats ,Playlist,GBUM71606089,136341312
Whine Up,Starface,Whine Up,Dancehall & Afro beats ,Playlist,USDXS1600267,132913848
