Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
You're Makin' Me High,DJ Katch,You're Makin' Me High,Deep House Summer 2025,Playlist,DES232400240,2820637142
Blessings,Calvin Harris,Blessings,Deep House Summer 2025,Playlist,GBARL2500591,3344642921
Let It Go,NOTSOBAD,Let It Go,Deep House Summer 2025,Playlist,DES232400150,2717530362
Wacuka,AVAION,Wacuka,Deep House Summer 2025,Playlist,DEE862402296,3130053941
Nobody Knows (Belters Only Remix),Ape Drums,Nobody Knows (Belters Only Remix),Deep House Summer 2025,Playlist,DES232400480,3089861571
That's Where I Should Be,MA:RK,That's Where I Should Be,Deep House Summer 2025,Playlist,DES232500090,3228821641
I Adore You,HUGEL,I Adore You,Deep House Summer 2025,Playlist,DECE72401347,2887264442
Daylight,TCTS,Daylight,Deep House Summer 2025,Playlist,DES232500140,3292498101
No Good,DJ Katch,No Good,Deep House Summer 2025,Playlist,DES232500130,3282656791
Forever,ZULAN,Forever,Deep House Summer 2025,Playlist,USA2P2516737,3314977971
Watching over You,Nu Aspect,Watching over You,Deep House Summer 2025,Playlist,DES232500180,3326227391
Restart My Heart,Astrality,Restart My Heart,Deep House Summer 2025,Playlist,DES232500100,3250831251
Get Close,Bolier,Get Close,Deep House Summer 2025,Playlist,DES232500150,3295851291
Secrets,Tudor,Secrets,Deep House Summer 2025,Playlist,DES232400280,2861522932
Say It Right (Rinzen Remix),Nelly Furtado,Say It Right (Rinzen Remix),Deep House Summer 2025,Playlist,USUM72501750,3266859711
Deep of You,Astrality,Deep of You,Deep House Summer 2025,Playlist,DES232500040,3175839971
Pool (Gravagerz Version),Gravagerz,Pool (Gravagerz Version),Deep House Summer 2025,Playlist,GBARL2500462,3316801281
Heaven,Palastic,Heaven,Deep House Summer 2025,Playlist,DES232500060,3205423421
Blindspot,GOODBOYS,Blindspot,Deep House Summer 2025,Playlist,DES232500110,3252149501
Where Nobody Knows,Hyzteria,Where Nobody Knows,Deep House Summer 2025,Playlist,DES232500080,3218555551
You Save My Life,HRRTZ,You Save My Life,Deep House Summer 2025,Playlist,DES232500190,3338827441
light years,John Summit,light years,Deep House Summer 2025,Playlist,USUG12404422,3288051331
Chemicals,Thandi,Chemicals,Deep House Summer 2025,Playlist,DES232500120,3265938341
Location,Zerb,Location,Deep House Summer 2025,Playlist,NL3M12406570,3140488501
Lucid Dreams,JYYE,Lucid Dreams,Deep House Summer 2025,Playlist,DES232400520,3106320291
Infinite Love,Cakes,Infinite Love,Deep House Summer 2025,Playlist,DES232400310,2887994842
