Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Sthlm Sunset,Ehrling,Give Me Summer,Ehrling Nu Lounge Bar Music 2017,Playlist,SE3OH1730349,397169522
All I Need,Ehrling,"Tropical Confessions, Pt. 2",Ehrling Nu Lounge Bar Music 2017,Playlist,SE3OH1717172,397235862
Palm Trees,Ehrling,Give Me Summer,Ehrling Nu Lounge Bar Music 2017,Playlist,SE3OH1730350,397169532
Adventure,Ehrling,Tropical Confessions,Ehrling Nu Lounge Bar Music 2017,Playlist,SE3OH1625840,397324032
No Worries,Ehrling,No Worries,Ehrling Nu Lounge Bar Music 2017,Playlist,SE3OH1623766,397328302
Tease,Ehrling,Tropical Confessions,Ehrling Nu Lounge Bar Music 2017,Playlist,SE3OH1625837,397324022
I Feel Good,Ehrling,I Feel Good,Ehrling Nu Lounge Bar Music 2017,Playlist,SE3OH1701838,397284112
Chasing Palm Trees,Ehrling,Tropical Confessions,Ehrling Nu Lounge Bar Music 2017,Playlist,SE3OH1625838,397324052
Breeze,Ehrling,Give Me Summer,Ehrling Nu Lounge Bar Music 2017,Playlist,SE3OH1730351,397169542
You and Me,Ehrling,"Tropical Confessions, Pt. 2",Ehrling Nu Lounge Bar Music 2017,Playlist,SE3OH1717174,397235882
Mood,Ehrling,Mood,Ehrling Nu Lounge Bar Music 2017,Playlist,SE3OH1720828,397223872
Champagne Ocean,Ehrling,Tropical Confessions,Ehrling Nu Lounge Bar Music 2017,Playlist,SE3OH1625839,397324012
Lounge,Ehrling,Give Me Summer,Ehrling Nu Lounge Bar Music 2017,Playlist,SE3OH1730352,397169552
This Is My Passion,Ehrling,Tropical Confessions,Ehrling Nu Lounge Bar Music 2017,Playlist,SE3OH1625836,397324062
Blissful,Ehrling,Tropical Confessions Pt. 4,Ehrling Nu Lounge Bar Music 2017,Playlist,SE3SA1810701,585640742
Groove,Ehrling,Tropical Confessions Pt. 4,Ehrling Nu Lounge Bar Music 2017,Playlist,SE3SA1810702,585640752
Heart,Ehrling,"Tropical Confessions, Pt. 3",Ehrling Nu Lounge Bar Music 2017,Playlist,NLS6R1706132,423531952
X-Rated,Ehrling,Sax Art,Ehrling Nu Lounge Bar Music 2017,Playlist,NLS6R1828741,468401832
Tequila,Ehrling,Sax Art,Ehrling Nu Lounge Bar Music 2017,Playlist,NLS6R1828739,468401812
Road Trip,Ehrling,"Tropical Confessions, Pt. 2",Ehrling Nu Lounge Bar Music 2017,Playlist,SE3OH1717173,397235872
State of Mind,Ehrling,Tropical Confessions Pt. 4,Ehrling Nu Lounge Bar Music 2017,Playlist,SE3SA1810704,585640772
Reykjavik,Joachim Pastor,"French Touch Vol. 2 : Electronic Music Made In France (House, Deep House, Techno, Trip-Hop...)",Ehrling Nu Lounge Bar Music 2017,Playlist,DEAA21500030,124937606
Follow You,twocolors,Follow You,Ehrling Nu Lounge Bar Music 2017,Playlist,TCACK1502498,129439952
