Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Another Love,Tom Odell,Long Way Down (Deluxe),Emotions ! 😞,Playlist,GBARL1300107,65723649
Hello,Beyoncé,I AM...SASHA FIERCE,Emotions ! 😞,Playlist,USSM10804758,2485126
I'd Rather Go Blind (Album Version),Beyoncé,Music From The Motion Picture Cadillac Records,Emotions ! 😞,Playlist,USSM10804346,2654228
I Drink Wine,Adele,30,Emotions ! 😞,Playlist,USSM12105975,1557137152
Better in Time,Leona Lewis,Spirit,Emotions ! 😞,Playlist,GBHMU0700069,365070
Bleeding Love,Leona Lewis,Spirit,Emotions ! 😞,Playlist,GBHMU0700049,365067
Éternel,Hatik,Vague à l'âme,Emotions ! 😞,Playlist,FR9IX2100170,1264191212
Moments gâchés,Kalash,Mwaka Moon,Emotions ! 😞,Playlist,FRUM71700675,416053502
Too Good At Goodbyes,Sam Smith,The Thrill Of It All (Special Edition),Emotions ! 😞,Playlist,GBUM71704089,422202502
Gimme Love,Sia,Gimme Love,Emotions ! 😞,Playlist,USAT22307798,2414222995
Heaven,Beyoncé,BEYONCÉ [Platinum Edition],Emotions ! 😞,Playlist,USSM11307810,90408893
Say Something,A Great Big World,Say Something,Emotions ! 😞,Playlist,USSM11306713,72299954
I'll Be Waiting,Cian Ducrot,I'll Be Waiting,Emotions ! 😞,Playlist,GBUM72205880,1998776897
Best Thing I Never Had,Beyoncé,4,Emotions ! 😞,Playlist,USSM11102904,66190266
Residuals,Chris Brown,11:11 (Deluxe),Emotions ! 😞,Playlist,USRC12400942,2742721261
So Cold (The Good Wife Trailer),Ben Cocks,...As Heard In,Emotions ! 😞,Playlist,GBAXQ1026111,7821736
In This Shirt,The Irrepressibles,"From the Circus to the Sea, Pt. 2",Emotions ! 😞,Playlist,GBUM70916363,1698799357
Runaway,AURORA,All My Demons Greeting Me As A Friend (Deluxe),Emotions ! 😞,Playlist,GBUM71500527,130892874
Glimpse,Gabriel Albuquerque,Glimpse,Emotions ! 😞,Playlist,QZNWV2384993,2379106945
Kumama Papa,Grace Lokwa,Kumama,Emotions ! 😞,Playlist,GBRKQ2228012,1776556027
Someone You Loved,Lewis Capaldi,Breach,Emotions ! 😞,Playlist,DEUM71807062,582143242
Tattoo,Loreen,Tattoo,Emotions ! 😞,Playlist,SEUM72201638,2166864777
Set Fire to the Rain,Adele,21,Emotions ! 😞,Playlist,GBBKS1000348,8086130
Daylight,David Kushner,Daylight (Reimagined),Emotions ! 😞,Playlist,QZXDB2300005,3231101771
Daddy Lessons,Beyoncé,Lemonade,Emotions ! 😞,Playlist,USSM11603180,669486672
Chandelier (Piano Version),Sia,Chandelier (Piano Version),Emotions ! 😞,Playlist,USRC11402032,84791265
Royals,Lorde,Pure Heroine,Emotions ! 😞,Playlist,NZUM71200031,70403437
Je te laisserai des mots,Patrick Watson,Je te laisserai des mots,Emotions ! 😞,Playlist,CA0RZ1000020,79054407
Past Lives,Martin Arteta,Pastlives (slowed + reverb),Emotions ! 😞,Playlist,GX5MX2274017,1873845107
Hometown Glory,Adele,19,Emotions ! 😞,Playlist,GBBKS0700588,940355
7 Years,Lukas Graham,Lukas Graham,Emotions ! 😞,Playlist,USWB11506516,121239412
