Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
"No Jesus, No Life",Makoma,,Favorite Albums,Album,,60153272
History,Makoma,,Favorite Albums,Album,,13361671
ESKIMO (feat. Nicki Minaj) [Radio Edit],Trinidad Killa,,Favorite Albums,Album,,720450501
Suicide Squad: The Album,Various Artists,,Favorite Albums,Album,,13717022
Tocame,Sak Noel,,Favorite Albums,Album,,164224692
Confession,Lady Ponce,,Favorite Albums,Album,,85000652
Pikkewyne (Remix),Mega,,Favorite Albums,Album,,631430481
Set Fire to the Rain,Adele,,Favorite Albums,Album,,176603202
La Sauce,Reniss,,Favorite Albums,Album,,13076880
Caiiro,Caiiro,,Favorite Albums,Album,,605739832
Après toi,Impar,,Favorite Albums,Album,,581344151
"Ibiza Summer Mix 2023: Top 20 Tropical Deep House Music Chill Out Mix 2023, Chillout Lounge",Tropical Chill Music Land,,Favorite Albums,Album,,442668607
COWBOY CARTER,Beyoncé,,Favorite Albums,Album,,565889181
LA VIE DE TYLER,Hatik,,Favorite Albums,Album,,561734482
Conciertos Y Serenata Nocturna En RE Mayor,Mozart,,Favorite Albums,Album,,416534
Mozart,Gallimard Jeunesse,,Favorite Albums,Album,,407832497
Chopin: Les Nocturnes,Bruno Rigutto,,Favorite Albums,Album,,598228
The Very Best of Enya (Deluxe Edition),Enya,,Favorite Albums,Album,,136321882
Pink Friday 2,Nicki Minaj,,Favorite Albums,Album,,521266992
LA MELO EST GANGX,Gazo,,Favorite Albums,Album,,517593592
Phonk 8D Audio Vol.1,8D Tunes,,Favorite Albums,Album,,375573277
"8D Songs vol. 1 | TikTok 8D Music, 8D Hits, 8D Pop Songs, 8D TikTok Hits, 8D Audio Music Mix",(((()))),,Favorite Albums,Album,,306649727
11:11,Chris Brown,,Favorite Albums,Album,,510481591
euphoria,Krisy,,Favorite Albums,Album,,479688645
First Time in America,Naira Marley,,Favorite Albums,Album,,261216082
Lol (Lord of Lamba),Naira Marley,,Favorite Albums,Album,,384973577
For All The Dogs,Drake,,Favorite Albums,Album,,496789121
Under The Influence,Chris Brown,,Favorite Albums,Album,,354067247
Fortune (Expanded Edition),Chris Brown,,Favorite Albums,Album,,90252342
Graffiti (Expanded Edition),Chris Brown,,Favorite Albums,Album,,90977272
Chris Brown,Chris Brown,,Favorite Albums,Album,,1205849
Breezy (Deluxe),Chris Brown,,Favorite Albums,Album,,333239977
Royalty (Deluxe Version),Chris Brown,,Favorite Albums,Album,,11990790
Heartbreak on a Full Moon,Chris Brown,,Favorite Albums,Album,,50415642
Indigo,Chris Brown,,Favorite Albums,Album,,101516602
Indigo (Extended),Chris Brown,,Favorite Albums,Album,,112877252
F.A.M.E. (Expanded Edition),Chris Brown,,Favorite Albums,Album,,91107952
X (Expanded Edition),Chris Brown,,Favorite Albums,Album,,90252422
Press,Cardi B,,Favorite Albums,Album,,98739652
Invasion of Privacy,Cardi B,,Favorite Albums,Album,,60711332
I AM...SASHA FIERCE,Beyoncé,,Favorite Albums,Album,,250046
B'Day Deluxe Edition,Beyoncé,,Favorite Albums,Album,,1205244
Dangerously In Love,Beyoncé,,Favorite Albums,Album,,77201
Dangerously In Love,Beyoncé,,Favorite Albums,Album,,1205761
I AM...SASHA FIERCE,Beyoncé,,Favorite Albums,Album,,244223
BEYONCÉ,Beyoncé,,Favorite Albums,Album,,7269831
Queen,Nicki Minaj,,Favorite Albums,Album,,70729552
Pink Friday: Roman Reloaded The Re-Up (Explicit Version),Nicki Minaj,,Favorite Albums,Album,,6120370
The Pinkprint (Deluxe Edition),Nicki Minaj,,Favorite Albums,Album,,49148882
Pink Friday,Nicki Minaj,,Favorite Albums,Album,,706468
Blonde,Frank Ocean,,Favorite Albums,Album,,104660202
Burna Boy (Last Last),Kimati,,Favorite Albums,Album,,333974777
I Told Them...,Burna Boy,,Favorite Albums,Album,,479814585
Capitale Du Crime 2,La Fouine,,Favorite Albums,Album,,472671
Capitale du crime 3,La Fouine,,Favorite Albums,Album,,1368319
Section Zouk All Stars Vol 5,Section Zouk All Stars Vol 5,,Favorite Albums,Album,,778699
"Love, Damini",Burna Boy,,Favorite Albums,Album,,333197317
African Giant,Burna Boy,,Favorite Albums,Album,,104647942
Twice As Tall,Burna Boy,,Favorite Albums,Album,,166840522
Timeless,Davido,,Favorite Albums,Album,,415422347
BREEZY - It's Giving Christmas,Chris Brown,,Favorite Albums,Album,,376643007
Free Spirit,Khalid,,Favorite Albums,Album,,92014022
Suncity,Khalid,,Favorite Albums,Album,,75536412
RENAISSANCE,Beyoncé,,Favorite Albums,Album,,340077257
Don Moen Collection,Don Moen,,Favorite Albums,Album,,138039402
BREAK MY SOUL,Beyoncé,,Favorite Albums,Album,,328981167
Breezy,Chris Brown,,Favorite Albums,Album,,329614387
Treat Me,Chloé,,Favorite Albums,Album,,308279867
Souffle,Dena Mwana,,Favorite Albums,Album,,190355272
Blonde,Frank Ocean,,Favorite Albums,Album,,39915291
