Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Agatha Moses,,,Favorite Artists,Artist,,12200284
Stromae,,,Favorite Artists,Artist,,310260
Skott,,,Favorite Artists,Artist,,10503413
Twenty One Pilots,,,Favorite Artists,Artist,,647650
Damso,,,Favorite Artists,Artist,,9197980
Amir,,,Favorite Artists,Artist,,164704
The Weeknd,,,Favorite Artists,Artist,,4050205
Bruno Mars,,,Favorite Artists,Artist,,429675
Tayc,,,Favorite Artists,Artist,,12526056
La Fouine,,,Favorite Artists,Artist,,12778
Phenomen,,,Favorite Artists,Artist,,92550
Usher,,,Favorite Artists,Artist,,17
Akon,,,Favorite Artists,Artist,,38
Mariah Carey,,,Favorite Artists,Artist,,65
Nas,,,Favorite Artists,Artist,,73
Chris Brown,,,Favorite Artists,Artist,,102
Ne-Yo,,,Favorite Artists,Artist,,104
Beyoncé,,,Favorite Artists,Artist,,145
Mary J. Blige,,,Favorite Artists,Artist,,152
R. Kelly,,,Favorite Artists,Artist,,185
Céline Dion,,,Favorite Artists,Artist,,198
Alicia Keys,,,Favorite Artists,Artist,,228
Kanye West,,,Favorite Artists,Artist,,230
Madonna,,,Favorite Artists,Artist,,290
Ms. Lauryn Hill,,,Favorite Artists,Artist,,1117
JAY Z,,,Favorite Artists,Artist,,1309
T.I.,,,Favorite Artists,Artist,,2527
Grand Corps Malade,,,Favorite Artists,Artist,,2691
DJ Khaled,,,Favorite Artists,Artist,,5828
Rick Ross,,,Favorite Artists,Artist,,9112
Trey Songz,,,Favorite Artists,Artist,,11134
Miley Cyrus,,,Favorite Artists,Artist,,12436
Leona Lewis,,,Favorite Artists,Artist,,13639
Offset,,,Favorite Artists,Artist,,68334
P!nk,,,Favorite Artists,Artist,,69925
Wiz Khalifa,,,Favorite Artists,Artist,,74804
Lady Gaga,,,Favorite Artists,Artist,,75491
Adele,,,Favorite Artists,Artist,,75798
Koffi Olomidé,,,Favorite Artists,Artist,,84324
Birdy,,,Favorite Artists,Artist,,107666
Simi,,,Favorite Artists,Artist,,120313
Katy Perry,,,Favorite Artists,Artist,,144227
Nipsey Hussle,,,Favorite Artists,Artist,,257128
Justin Bieber,,,Favorite Artists,Artist,,288166
Ellie Goulding,,,Favorite Artists,Artist,,311820
Nicki Minaj,,,Favorite Artists,Artist,,382937
Labrinth,,,Favorite Artists,Artist,,794548
MHD,,,Favorite Artists,Artist,,881751
2 Chainz,,,Favorite Artists,Artist,,1384338
A$AP Rocky,,,Favorite Artists,Artist,,1518490
Wenge Musica Maison Mère,,,Favorite Artists,Artist,,1612306
Julia Michaels,,,Favorite Artists,Artist,,2110321
Olamide,,,Favorite Artists,Artist,,3744641
August Alsina,,,Favorite Artists,Artist,,4017975
Zlatan,,,Favorite Artists,Artist,,4100351
Burna Boy,,,Favorite Artists,Artist,,4338602
Louane,,,Favorite Artists,Artist,,4453455
Quavo,,,Favorite Artists,Artist,,5059044
Rema,,,Favorite Artists,Artist,,5259966
Teni,,,Favorite Artists,Artist,,5482056
Tory Lanez,,,Favorite Artists,Artist,,5575105
Naira Marley,,,Favorite Artists,Artist,,5665812
Bradley Cooper,,,Favorite Artists,Artist,,7735426
Cardi B,,,Favorite Artists,Artist,,9064930
Calum Scott,,,Favorite Artists,Artist,,9811408
Normani,,,Favorite Artists,Artist,,12549876
Megan Thee Stallion,,,Favorite Artists,Artist,,12816021
Lil Nas X,,,Favorite Artists,Artist,,15166511
Fireboy Dml,,,Favorite Artists,Artist,,15190997
Bella Shmurda,,,Favorite Artists,Artist,,61061602
BIA,,,Favorite Artists,Artist,,67613892
City Girls,,,Favorite Artists,Artist,,68294032
Frank Ocean,,,Favorite Artists,Artist,,1350335
Khalid,,,Favorite Artists,Artist,,362326
Fally Ipupa,,,Favorite Artists,Artist,,245438
Sia,,,Favorite Artists,Artist,,3469
Rihanna,,,Favorite Artists,Artist,,564
Drake,,,Favorite Artists,Artist,,246791
Kendrick Lamar,,,Favorite Artists,Artist,,525046
Tekno,,,Favorite Artists,Artist,,1363197
Djodje,,,Favorite Artists,Artist,,2856081
James Bay,,,Favorite Artists,Artist,,4732999
Migos,,,Favorite Artists,Artist,,4962010
Lil Kleine,,,Favorite Artists,Artist,,5327935
