Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
PVRGVS 2023 (Radio Edit),Nico Parga,Adeus 2023,Favorite Tracks,Favorite,2537754501,2537754501
Aria,Argy,Aria,Favorite Tracks,Favorite,2563894342,2563894342
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,Favorite Tracks,Favorite,2801558052,2801558052
Mamushi (feat. Yuki Chiba),Megan Thee Stallion,MEGAN,Favorite Tracks,Favorite,2867605822,2867605822
cola X Perfect (Remix) (DJ Mix),Manu Rg,cola X Perfect (Remix) (DJ Mix),Favorite Tracks,Favorite,3086611391,3086611391
C'EST RELOU,R2,C'EST RELOU,Favorite Tracks,Favorite,3261667431,3261667431
AFFECTION,RITA YEMELI,AFFECTION,Favorite Tracks,Favorite,2569159432,2569159432
Asereje (TikTok Remix),Dj Jhonaz,Asereje (TikTok Remix),Favorite Tracks,Favorite,3150088591,3150088591
Little Dream (Für Elise),Paul Keen,Little Dream (Für Elise),Favorite Tracks,Favorite,3026946051,3026946051
Fight For This Love,Jason Wats,Fight For This Love,Favorite Tracks,Favorite,2918780081,2918780081
Let Me Love You,DJ Snake,Encore,Favorite Tracks,Favorite,129632340,129632340
Show Me Love,WizTheMc,Show Me Love,Favorite Tracks,Favorite,3187953971,3187953971
Satisfaction,David Guetta,Satisfaction,Favorite Tracks,Favorite,1850060617,1850060617
Million Voices (Radio Edit),Otto Knows,House Party Jams,Favorite Tracks,Favorite,651772792,651772792
Infinity,Sagi Kariv,Infinity,Favorite Tracks,Favorite,2652326572,2652326572
Money & Love,Wizkid,"More Love, Less Ego",Favorite Tracks,Favorite,1993234067,1993234067
Believe Me,Lil Wayne,Believe Me,Favorite Tracks,Favorite,79083410,79083410
Somebody That I Used to Know,Gotye,Making Mirrors,Favorite Tracks,Favorite,999163452,999163452
Casablanca,AFRONOM,Casablanca,Favorite Tracks,Favorite,3277521631,3277521631
Vaste,Hös Copperfield,A l'ombre des lumières,Favorite Tracks,Favorite,1410450662,1410450662
Titulaire,Celyane,Titulaire,Favorite Tracks,Favorite,3314399901,3314399901
US,Swayvee,US,Favorite Tracks,Favorite,3283741941,3283741941
She Doesn't Mind,Sean Paul,She Doesn't Mind,Favorite Tracks,Favorite,16944546,16944546
Papasito,ELEXSANDOM,Papasito,Favorite Tracks,Favorite,3232317771,3232317771
Fantome (Radio Mix),ANNDI,Fantome,Favorite Tracks,Favorite,3189653521,3189653521
Mussulo,El Bruxo,Mussulo,Favorite Tracks,Favorite,944309762,944309762
Mussulo (feat. Doddy) (Extended Mix),Dj Malvado,Mussulo (feat. Doddy),Favorite Tracks,Favorite,3252801371,3252801371
With You (feat. Omah Lay),Davido,5ive,Favorite Tracks,Favorite,3324595541,3324595541
Hometown Glory,Adele,19,Favorite Tracks,Favorite,940355,940355
Sorry I'm Here For Someone Else,Benson Boone,Sorry I'm Here For Someone Else,Favorite Tracks,Favorite,3245608751,3245608751
Walhala,Merzzy,Walhala,Favorite Tracks,Favorite,3217224781,3217224781
Like What (Freestyle),Cardi B,Like What (Freestyle),Favorite Tracks,Favorite,2683186122,2683186122
Fils de joie,Stromae,Multitude,Favorite Tracks,Favorite,1674114567,1674114567
Mosquito Bite,Daddy Issues,Deep Dream,Favorite Tracks,Favorite,142425377,142425377
Daddy Issues,The Neighbourhood,Wiped Out!,Favorite Tracks,Favorite,110956534,110956534
Back To Black,Amy Winehouse,Back To Black,Favorite Tracks,Favorite,2176856,2176856
Grand Soleil,Damso,Grand Soleil,Favorite Tracks,Favorite,3267511341,3267511341
Need You Now,Carda,Need You Now,Favorite Tracks,Favorite,1866565887,1866565887
Famax (Edit),RAFFA GUIDO,Famax,Favorite Tracks,Favorite,2642151712,2642151712
Giving Up,Edgr,Giving Up,Favorite Tracks,Favorite,2823849682,2823849682
Je te laisserai des mots,Patrick Watson,Je te laisserai des mots,Favorite Tracks,Favorite,79054407,79054407
Sensational (feat. Davido & Lojay),Chris Brown,Sensational (feat. Davido & Lojay),Favorite Tracks,Favorite,2504834531,2504834531
