Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Juice,Lizzo,Cuz I Love You,Feel Good Pop,Playlist,USAT21813044,666286232
Dynamite,BTS,BE,Feel Good Pop,Playlist,QM7282022872,1144437332
All the Time,Zara Larsson,All the Time,Feel Good Pop,Playlist,USSM11903586,697727622
I Love Me,Demi Lovato,I Love Me,Feel Good Pop,Playlist,USUM72003024,895266262
Happiness,McFly,Happiness,Feel Good Pop,Playlist,GB5KW2001830,1034232972
Don't Wait Up,Shakira,Don't Wait Up,Feel Good Pop,Playlist,USQX92102647,1433046192
Lifestyle (feat. Adam Levine) (David Guetta Slap House Mix),Jason Derulo,Lifestyle (feat. Adam Levine) (David Guetta Slap House Mix),Feel Good Pop,Playlist,USAT22100493,1242849462
Good as Hell (feat. Ariana Grande) (Remix),Lizzo,Good As Hell (feat. Ariana Grande) (Remix),Feel Good Pop,Playlist,USAT21906086,784689672
"Moves Like Jagger (Studio Recording From ""The Voice"" Performance)",Maroon 5,Hands All Over (Revised International Deluxe),Feel Good Pop,Playlist,USUM71109132,12724819
Woman,Doja Cat,Planet Her,Feel Good Pop,Playlist,USRC12101532,1410738042
My Head & My Heart,Ava Max,Heaven & Hell,Feel Good Pop,Playlist,USAT22007121,1145593552
Watermelon Sugar,Harry Styles,Fine Line,Feel Good Pop,Playlist,USSM11912587,830336922
Make Me Feel,Janelle Monáe,Make Me Feel,Feel Good Pop,Playlist,USAT21800745,464228502
Promises,Calvin Harris,Promises,Feel Good Pop,Playlist,GBARL1801049,542335432
There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate,Feel Good Pop,Playlist,USUM71702833,351594951
Shake It Off,Taylor Swift,1989 (Deluxe),Feel Good Pop,Playlist,USCJY1431349,89077555
Love Today,MIKA,Life In Cartoon Motion (UK eDeluxe Album),Feel Good Pop,Playlist,USC7R0600007,953605
Comme Des Garçons (Like The Boys) (Pabllo Vittar x Brabo Remix),Rina Sawayama,Comme Des Garçons (Like The Boys) (Pabllo Vittar x Brabo Remix),Feel Good Pop,Playlist,GBK3W2001244,867022662
King,Olly Alexander (Years & Years),Communion (Deluxe),Feel Good Pop,Playlist,GBUM71406892,120307594
That's My Girl,Fifth Harmony,7/27 (Deluxe),Feel Good Pop,Playlist,USSM11601117,125513412
Don't Start Now,Dua Lipa,Don't Start Now,Feel Good Pop,Playlist,GBAHT1901121,793163542
Run,OneRepublic,Human (Deluxe),Feel Good Pop,Playlist,USUM72004315,1472715972
Don't Call Me Up,Mabel,Ivy To Roses (Mixtape),Feel Good Pop,Playlist,GBUM71808052,616963582
Don't Go Yet,Camila Cabello,Don't Go Yet,Feel Good Pop,Playlist,USSM12104771,1438790502
Butter,BTS,Butter,Feel Good Pop,Playlist,QM6MZ2156864,1375067352
Kamikaze,MØ,Kamikaze,Feel Good Pop,Playlist,GBARL1501371,108051968
Roar,Katy Perry,PRISM (Deluxe),Feel Good Pop,Playlist,USUM71308669,71645431
Bad Habits,Ed Sheeran,Bad Habits,Feel Good Pop,Playlist,GBAHS2100318,1409072752
Birthday,Anne-Marie,Birthday,Feel Good Pop,Playlist,GBAHS2000028,868397702
When I'm Gone,Alesso,When I'm Gone,Feel Good Pop,Playlist,USUG12106230,1599150052
Sunshine,OneRepublic,Sunshine,Feel Good Pop,Playlist,USUM72100506,1547362902
Cloudy Day,Tones and I,Welcome To The Madhouse (Deluxe),Feel Good Pop,Playlist,USAT22101787,1434030682
Skyline,Khalid,Skyline,Feel Good Pop,Playlist,USRC12200673,1713252197
Take My Breath (Single Version),The Weeknd,Take My Breath,Feel Good Pop,Playlist,USUG12102076,1457107762
Next Mistake,Icona Pop,Next Mistake,Feel Good Pop,Playlist,SEWEE1902601,712796652
A Driver Saved My Night,Sigrid,How To Let Go,Feel Good Pop,Playlist,GBUM72103563,1735284277
Motivation,Normani,Motivation,Feel Good Pop,Playlist,USRC11901655,730275242
Heartbreak Anthem,Galantis,Heartbreak Anthem,Feel Good Pop,Playlist,USAT22100346,1364224722
Look At Her Now,Selena Gomez,Rare (Deluxe),Feel Good Pop,Playlist,USUM71921647,926219182
GIRL LIKE ME,Black Eyed Peas,Translation,Feel Good Pop,Playlist,USSM12003440,986396452
Peacock,Katy Perry,Teenage Dream: The Complete Confection,Feel Good Pop,Playlist,USCA21001263,17135112
Coconuts,Kim Petras,Coconuts,Feel Good Pop,Playlist,USUG12106044,1566924512
Be The One,Bree Runway,Be The One,Feel Good Pop,Playlist,GBUM72302331,2237572017
Fumari,Peach Tree Rascals,Fumari,Feel Good Pop,Playlist,QZJ842000541,1133388212
Need Someone,Zara Larsson,Poster Girl,Feel Good Pop,Playlist,USSM12007065,1257598342
Power (feat. Stormzy),Little Mix,Glory Days: The Platinum Edition,Feel Good Pop,Playlist,GBHMU1700016,425662532
We're Good,Dua Lipa,Future Nostalgia (The Moonlight Edition),Feel Good Pop,Playlist,GBAHT2001117,1234638742
Rumors (feat. Cardi B),Lizzo,Rumors (feat. Cardi B),Feel Good Pop,Playlist,USAT22104137,1461727852
"Meet Me At Our Spot (recorded at Deezer HQ, Paris)",Thomas Headon,Deezer Sessions,Feel Good Pop,Playlist,GBAHT2200724,1694450847
Mine Right Now,Sigrid,Sucker Punch,Feel Good Pop,Playlist,GBUM71803973,642674232
Girl Of The Year,Allie X,Super Sunset,Feel Good Pop,Playlist,GBKPL1818068,537253152
Kiss Me More (feat. SZA),Doja Cat,Kiss Me More (feat. SZA),Feel Good Pop,Playlist,USRC12100543,1321495602
"thank u, next",Ariana Grande,"thank u, next",Feel Good Pop,Playlist,USUM71819361,629899852
Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,Feel Good Pop,Playlist,GBARL1401524,92734438
Too High,Mila Jam,Too High,Feel Good Pop,Playlist,GBKPL2151499,1365790262
Hey Boy,Sia,Hey Boy,Feel Good Pop,Playlist,USAT22006881,1147636992
Touch,Little Mix,Touch,Feel Good Pop,Playlist,GBHMU1600074,136101180
Way Less Sad,AJR,OK ORCHESTRA,Feel Good Pop,Playlist,QMRSZ2003325,1279525172
Saturday,Twenty One Pilots,Scaled And Icy,Feel Good Pop,Playlist,USAT22101332,1376720112
Mood (feat. iann dior),24kgoldn,Mood (feat. iann dior),Feel Good Pop,Playlist,USQX92003025,1028256512
