Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
undressed,sombr,undressed,Global Hits,Playlist,USWB12500737,3278008371
Ordinary,Alex Warren,Ordinary,Global Hits,Playlist,USAT22500463,3210709941
Azizam,Ed Sheeran,Azizam,Global Hits,Playlist,GBAHS2500081,3303979891
Messy,Lola Young,Messy,Global Hits,Playlist,GBUM72401610,2815968782
Anxiety,Doechii,Anxiety,Global Hits,Playlist,USUG12500650,3262675101
back to friends,sombr,back to friends,Global Hits,Playlist,USWB12405502,3151351511
Abracadabra,Lady Gaga,Abracadabra,Global Hits,Playlist,USUM72412581,3214169391
La Plena (W Sound 05),W Sound,La Plena (W Sound 05),Global Hits,Playlist,USWL12500595,3241972661
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,Global Hits,Playlist,USUM72401994,2801558052
Don’t Say You Love Me,JIN,Echo,Global Hits,Playlist,USA2P2509874,3366124711
Die With A Smile,Lady Gaga,Die With A Smile,Global Hits,Playlist,USUM72409273,2947516331
Shake It To The Max (FLY) [Remix],Moliy,Shake It To The Max (FLY) [Remix],Global Hits,Playlist,QZS7J2542546,3222974651
Show Me Love,WizTheMc,Show Me Love,Global Hits,Playlist,DE1FB2500005,3187953971
APT.,Rosé,APT.,Global Hits,Playlist,USAT22409172,3050380851
That’s So True,Gracie Abrams,The Secret of Us (Deluxe),Global Hits,Playlist,USUG12406903,3047560351
Just Keep Watching (From F1® The Movie),Tate McRae,Just Keep Watching (From F1® The Movie),Global Hits,Playlist,USAT22503496,3387508461
DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,Global Hits,Playlist,QMFMF2447070,3171003131
like JENNIE,JENNIE,Ruby,Global Hits,Playlist,USQX92500261,3262816591
party 4 u,Charli xcx,how i'm feeling now,Global Hits,Playlist,GBAHS2000219,959948182
TU SANCHO,Fuerza Regida,111XPANTIA,Global Hits,Playlist,QZ9QQ2500157,3345439201
Love Me Not,Ravyn Lenae,Love Me Not / Love Is Blind,Global Hits,Playlist,USAT22401137,2755315691
Sailor Song,Gigi Perez,Sailor Song,Global Hits,Playlist,USHM92438095,3012786851
My Darling,Chella,My Darling,Global Hits,Playlist,USUYG1713268,3253094841
Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,Global Hits,Playlist,USAT22001300,2454854845
Timeless,The Weeknd,Timeless,Global Hits,Playlist,USUG12406536,3014557461
End of the World,Miley Cyrus,End of the World,Global Hits,Playlist,USSM12501019,3304567421
Sports car,Tate McRae,Sports car,Global Hits,Playlist,USRC12403580,3196460531
Morena,Neton Vega,Mi Vida Mi Muerte,Global Hits,Playlist,US3DF2514822,3214287521
Gnarly,KATSEYE,Gnarly,Global Hits,Playlist,USUM72503410,3336180251
Too Sweet,Hozier,Unheard,Global Hits,Playlist,IEACJ2300335,2704610682
Nice To Meet You,Myles Smith,A Minute...,Global Hits,Playlist,GBARL2401376,3058512051
Not Like Us,Kendrick Lamar,Not Like Us,Global Hits,Playlist,USUG12400910,2783963122
NOKIA,Drake,$ome $exy $ongs 4 U,Global Hits,Playlist,USLD91772032,3232025631
The Giver,Chappell Roan,The Giver,Global Hits,Playlist,USUG12501598,3273194641
Bad Dreams,Teddy Swims,Bad Dreams,Global Hits,Playlist,USWB12403749,2972837781
Forever Young,David Guetta,Forever Young,Global Hits,Playlist,UKWLG2400102,3040002541
You'll Be in My Heart,NIKI,You'll Be In My Heart,Global Hits,Playlist,ZZOPM2240877,3307751111
blue,Yung Kai,blue,Global Hits,Playlist,TLVEM2456474,3065140191
NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,Global Hits,Playlist,QMFMF2447055,3171002981
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,Global Hits,Playlist,USUM72401993,2801558062
Born Again (feat. Doja Cat & RAYE),LISA,Born Again (feat. Doja Cat & RAYE),Global Hits,Playlist,USRC12403763,3215956841
Espresso,Sabrina Carpenter,Espresso,Global Hits,Playlist,USUM72403305,2743578151
Cry For Me,The Weeknd,Hurry Up Tomorrow,Global Hits,Playlist,USUG12501129,3210598391
Born With a Broken Heart,Damiano David,Born With a Broken Heart,Global Hits,Playlist,ITB002401158,3058173431
Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,Global Hits,Playlist,USUG12400968,2846442802
Stargazing,Myles Smith,Stargazing,Global Hits,Playlist,GBARL2400510,2758844701
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",Global Hits,Playlist,USUG12401967,2728070371
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),Global Hits,Playlist,USUYG1541249,2729273551
The Emptiness Machine,Linkin Park,The Emptiness Machine,Global Hits,Playlist,USWB12403464,2978105041
WE PRAY (Single Version),Coldplay,WE PRAY (Single Version),Global Hits,Playlist,GBAYE2400892,2955461951
