Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Back On 74,Jungle,Volcano,Happy Hour,Playlist,QM4TX2336316,2181330357
Leaveyourlove,Parcels,Leaveyourlove,Happy Hour,Playlist,DE1NZ2400001,3023723061
Murder On The Dancefloor (InVersions 2000s),Blu DeTiger,Murder On The Dancefloor (InVersions 2000s),Happy Hour,Playlist,USUG12403955,2894786671
Supernova (Jafunk Remix),Supertaste,Supernova (Jafunk Remix),Happy Hour,Playlist,AUXN22500151,3176129981
Feel It,Cupidon,Feel It,Happy Hour,Playlist,CA5KR2422447,2626464622
Danza Marilù (feat. Fabiana Martone),L'Impératrice,Pulsar,Happy Hour,Playlist,FR9W12410361,2712081351
Moda Disko,Kazy Lambist,Moda,Happy Hour,Playlist,FR6F32400240,2763124911
Baby I'm Yours,Breakbot,By Your Side,Happy Hour,Playlist,FR0NT0900390,57630641
Maybe In Another Life (Bosq Sunset Boogie Mix),lovetempo,Maybe In Another Life,Happy Hour,Playlist,QZZ8A2407027,3012925381
Can’t Get It Right,BowAsWell,Oskoloskos,Happy Hour,Playlist,FR9Z62400268,2745264221
Chapéu,Ron Puma,Neon,Happy Hour,Playlist,FXQ892400144,2997420201
Saturday,KOLA,Saturday,Happy Hour,Playlist,FRPES2400350,3004101851
Mixer,Amber Mark,Mixer,Happy Hour,Playlist,GBUM71900843,657673272
House Party,Fred Wesley,House Party,Happy Hour,Playlist,GBKPL0925918,1842350767
BREAKING '84,1-900,BREAKING '84,Happy Hour,Playlist,QZWFF2462549,3003399081
Fade,Bondax,Fade (feat. SHELLS),Happy Hour,Playlist,GB6LY1600931,1694340747
Neverender,Justice,Hyperdrama,Happy Hour,Playlist,FR8EU2300010,2593814512
Cold Touch,Later.,Cold Touch,Happy Hour,Playlist,FRIDO2410451,2641866002
wait outside,Pastel,wait outside,Happy Hour,Playlist,QM4TX2305549,2162131057
Découvre,Moi Je,Découvre,Happy Hour,Playlist,FR9Z62400463,2989969501
TOGETHER,Miami Horror,TOGETHER,Happy Hour,Playlist,CAN112401612,2950205731
Slide (feat. Frank Ocean & Migos),Calvin Harris,Slide (feat. Frank Ocean & Migos),Happy Hour,Playlist,GBARL1700262,142844852
Never Walk Alone,Blond:ish,Never Walk Alone,Happy Hour,Playlist,NL8RL2429546,2871918512
"Turned on to You (7"" Version)",Eighties Ladies,Ladies of the Eighties,Happy Hour,Playlist,GBNYT8000011,877491072
I Feel It,The Allergies,Freak the Speaker,Happy Hour,Playlist,GBFBC2302097,2905029021
For You (Original Album),Ago,For You (LP),Happy Hour,Playlist,ITC898300001,4662494
