Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Kanse,Richard CAVE,Champion,Haïti kompa gouyad,Playlist,FR2X41788455,356761541
Lanmou fasil,Vayb,Lanmou fasil,Haïti kompa gouyad,Playlist,FR59R1739959,369012831
Cheri Benyen M',Harmonik,Degaje,Haïti kompa gouyad,Playlist,USHM91634117,137600813
Malad,Richard CAVE,Champion,Haïti kompa gouyad,Playlist,FR2X41788458,356761571
La pomme,Konpa Lakay,Nou debake (Konpa),Haïti kompa gouyad,Playlist,FR96X1772656,403293962
Incroyable,Harmonik,Degaje,Haïti kompa gouyad,Playlist,USHM91634120,137600819
Kilot,5 Lan,Kilot,Haïti kompa gouyad,Playlist,FR96X1737502,392711492
Lanmou Pi Fo,Disip,Klere Yo,Haïti kompa gouyad,Playlist,TCACO1646010,124877594
Moving On,T-vice,Nou Tounen Pi Fò,Haïti kompa gouyad,Playlist,TCACT1674604,136479948
Demisyone,Richard CAVE,Champion,Haïti kompa gouyad,Playlist,FR2X41788459,356761581
I'm Sorry,Klass,Fè'l Ak Tout Kè'w,Haïti kompa gouyad,Playlist,USCGJ1639733,121845148
Bel ti moman,Harmonik,Diferan,Haïti kompa gouyad,Playlist,FR6V82152593,74043913
Nou pare,T-Micky,Nou pare,Haïti kompa gouyad,Playlist,FR6V82527830,79244257
Yo met pale,T-Micky,Ataché,Haïti kompa gouyad,Playlist,GBGYQ1400042,89600645
#Lgd (Let's Get Down),X-Tassy,#Lgd (Let's Get Down),Haïti kompa gouyad,Playlist,TCACS1672400,135777810
Yo met pale,T-Micky,#ataché,Haïti kompa gouyad,Playlist,GBGYQ1400042,109367090
Haïti chérie,Stevy Mahy,Haïti chérie,Haïti kompa gouyad,Playlist,FR6V81291034,17858421
Sé pa pou dat,Alan Cavé,Sé pa pou dat,Haïti kompa gouyad,Playlist,FR6V81067892,5655604
M'ap Marye,Klass,Fè'l Ak Tout Kè'w,Haïti kompa gouyad,Playlist,USCGJ1639731,121845144
N'oublie pas,T-Micky,#ataché,Haïti kompa gouyad,Playlist,GBGYQ1500035,109367078
Istwa Damou,Karizma,Virus,Haïti kompa gouyad,Playlist,USCGJ1594090,101770953
Yon denye fwa,Da Benz,"Hits des hits konpa, vol. 2",Haïti kompa gouyad,Playlist,FR6V82123385,85023259
