Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
fukumean,Gunna,a Gift & a Curse,Hip Hop Hits,Playlist,USAT22306575,2329875155
NOKIA,Drake,$ome $exy $ongs 4 U,Hip Hop Hits,Playlist,USLD91772032,3232025631
luther,Kendrick Lamar,GNX,Hip Hop Hits,Playlist,USUG12408496,3106586641
Shake Dat Ass (Twerk Song),Bossman Dlow,Too Slippery,Hip Hop Hits,Playlist,QZNN22240365,2495968451
Timeless,The Weeknd,Timeless,Hip Hop Hits,Playlist,USUG12406536,3014557461
Dark Thoughts,Lil Tecca,Dark Thoughts,Hip Hop Hits,Playlist,USUM72502156,3277684691
Not Like Us,Kendrick Lamar,Not Like Us,Hip Hop Hits,Playlist,USUG12400910,2783963122
TGIF,GloRilla,TGIF,Hip Hop Hits,Playlist,USUM72407338,2853709472
Anxiety,Doechii,Anxiety,Hip Hop Hits,Playlist,USUG12500650,3262675101
The Largest,BigXthaPlug,The Largest,Hip Hop Hits,Playlist,QZNMU2421699,2915837371
redrum,21 Savage,american dream,Hip Hop Hits,Playlist,USSM12309164,2614584352
BAND4BAND,Central Cee,BAND4BAND,Hip Hop Hits,Playlist,USSM12404354,2816017052
tv off,Kendrick Lamar,GNX,Hip Hop Hits,Playlist,USUG12408493,3106586681
GIMME A HUG,Drake,$ome $exy $ongs 4 U,Hip Hop Hits,Playlist,USLD91772028,3232025591
Brokey,Latto,Sugar Honey Iced Tea,Hip Hop Hits,Playlist,USRC12401455,2936365961
FE!N (feat. Playboi Carti),Travis Scott,UTOPIA,Hip Hop Hits,Playlist,USSM12305010,2386586085
RATHER LIE,Playboi Carti,MUSIC,Hip Hop Hits,Playlist,USUM72414871,3278625241
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",CHROMAKOPIA,Hip Hop Hits,Playlist,USQX92405790,3064010361
Parking Lot,Mustard,Parking Lot,Hip Hop Hits,Playlist,QMRSZ2401183,2848182532
Help Me,Real Boston Richey,Help Me,Hip Hop Hits,Playlist,USSM12404181,2822570852
I KNOW ?,Travis Scott,UTOPIA,Hip Hop Hits,Playlist,USSM12305012,2386586105
Swear to God (feat. Future),Tee Grizzley,Swear to God (feat. Future),Hip Hop Hits,Playlist,USAT22402999,2786414972
Big Dawgs,HanuMankind,Big Dawgs,Hip Hop Hits,Playlist,INUM72400563,2874501642
Let's Go,Key Glock,Let's Go,Hip Hop Hits,Playlist,USUYG1494690,2607448232
Loop Hole (feat. 21 Savage),Tee Grizzley,Tee's Coney Island,Hip Hop Hits,Playlist,USAT22311003,2521003921
one of wun,Gunna,One of Wun,Hip Hop Hits,Playlist,USAT22403358,2790188042
WHATCHU KNO ABOUT ME,GloRilla,GLORIOUS,Hip Hop Hits,Playlist,USUM72411015,3036423051
Or What,NLE Choppa,Or What,Hip Hop Hits,Playlist,USWB12403878,2973265171
Fall Back,Lithe,Fall Back / Selfish Game,Hip Hop Hits,Playlist,AUMEV2435468,2711077062
Whatever She Wants,Bryson Tiller,Whatever She Wants,Hip Hop Hits,Playlist,USRC12400299,2654650822
Like That,Future,WE DON'T TRUST YOU,Hip Hop Hits,Playlist,USSM12402041,2715581062
Yeah Glo!,GloRilla,Ehhthang Ehhthang,Hip Hop Hits,Playlist,USUM72400409,2734812711
TOO FAST,Future,MIXTAPE PLUTO,Hip Hop Hits,Playlist,USSM12406731,2999595601
MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,Hip Hop Hits,Playlist,QM24S2402528,2827724612
prove it,21 Savage,american dream,Hip Hop Hits,Playlist,USSM12309169,2614584432
act ii: date @ 8 (feat. Drake) [remix],4batz,act ii: date @ 8 (feat. Drake) [remix],Hip Hop Hits,Playlist,USLD91756695,2691966512
Press Play,Nicki Minaj,Pink Friday 2 (Gag City PLUTO Edition),Hip Hop Hits,Playlist,USUM72400404,2619181592
BUTTERFLY COUPE,Kalan.Frfr,BUTTERFLY COUPE,Hip Hop Hits,Playlist,QMJMT2304781,2386468525
Wait On It (feat. Bryson Tiller & Chris Brown),Jeremih,Wait On It (feat. Bryson Tiller & Chris Brown),Hip Hop Hits,Playlist,USC4R2445331,2857442072
DEEP IN THE WATER,Don Toliver,Deep in the Water,Hip Hop Hits,Playlist,USAT22401435,2695724942
BANDIT,Don Toliver,Bandit,Hip Hop Hits,Playlist,USAT22400561,2637936412
Fight The Feeling,Rod Wave,Fight The Feeling,Hip Hop Hits,Playlist,USQX92301922,2204228747
prada dem (feat. Offset),Gunna,prada dem (feat. Offset),Hip Hop Hits,Playlist,USAT22401725,2704277582
We Still Don't Trust You,Future,WE STILL DON'T TRUST YOU,Hip Hop Hits,Playlist,USSM12403111,2747874731
Drugs You Should Try It,Travis Scott,DAYS BEFORE RODEO,Hip Hop Hits,Playlist,USSM12306316,2955903261
First Person Shooter,Drake,For All The Dogs,Hip Hop Hits,Playlist,USUG12306071,2486117571
Peaches & Eggplants (feat. 21 Savage),Young Nudy,Gumbo,Hip Hop Hits,Playlist,USRC12300570,2164371607
Ocean Spray,Moneybagg Yo,Hard To Love,Hip Hop Hits,Playlist,USUM72307927,2304386575
Turn Yo Clic Up,Quavo,Turn Yo Clic Up,Hip Hop Hits,Playlist,USUG12300051,2366175665
Hello Miss Johnson,Jack Harlow,Hello Miss Johnson,Hip Hop Hits,Playlist,USAT22406895,3098912631
