Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Tout donner,Naza,Tout donner,Hits Afro,Playlist,FRX282553152,3378366631
Melrose Place,KeBlack,Focus Mentalité,Hits Afro,Playlist,FR96X2501212,3301821291
Baddies,Aya Nakamura,Baddies,Hits Afro,Playlist,FXR792500003,3356310051
MAMILĀH,Damso,BĒYĀH,Hits Afro,Playlist,BE6JP2500055,3381260941
Piano,Werenoi,Piano,Hits Afro,Playlist,FR8FB2507200,3340153351
FASHION DESIGNA,Theodora,BAD BOY LOVESTORY,Hits Afro,Playlist,FR9W12452832,3060824431
On va,Naza,On va,Hits Afro,Playlist,FRX202513595,3321259501
Mood,KeBlack,Mood,Hits Afro,Playlist,FR2X42598732,3250035161
C'est mon BB (feat. Chily),Emma'a,C'est mon BB (feat. Chily),Hits Afro,Playlist,FRZ082500405,3377490941
TOUCHÉ,GIMS,TOUCHÉ,Hits Afro,Playlist,FR8FB2505600,3313936131
Ma Lady,Tayc,Ma Lady,Hits Afro,Playlist,FR8FB2508700,3354497841
Abou,Axel Merryl,Abou,Hits Afro,Playlist,FRZ082500384,3373554091
Promets-le moi,Tayc,Promets-le moi,Hits Afro,Playlist,FR8FB2506300,3326196531
London Summers,Odeal,London Summers,Hits Afro,Playlist,QM6P42599098,3364149161
Laho II,Shallipopi,Laho II,Hits Afro,Playlist,GBARL2500563,3338313601
Mia,SeySey,Mia,Hits Afro,Playlist,FRX872378764,2325523305
MON BÉBÉ,Theodora,MEGA BBL,Hits Afro,Playlist,FR9W12523464,3380338441
Nanani,Maud Elka,99 PBLM,Hits Afro,Playlist,USUYG1728775,3372240531
Tana,Safarel Obiang,L’hybride,Hits Afro,Playlist,QZNJV2532043,3351150141
"On se comprend (Musique originale inspirée du film ""Indomptables"")",Fally Ipupa,"On se comprend (Musique originale inspirée du film ""Indomptables"")",Hits Afro,Playlist,FRDJ72500590,3377252781
Je me balade,Jogga,Je me balade,Hits Afro,Playlist,FRDCQ2500020,3375884321
QUE TOI,Says'z,MOSAÏQUE,Hits Afro,Playlist,FR8FB2509310,3376133011
Baby Girl,Hiro,Baby Girl,Hits Afro,Playlist,QM7282521121,3365320781
J'ai ce qu'il faut,Warren Saada,J'ai ce qu'il faut,Hits Afro,Playlist,FR9W12528272,3369347541
TaTaTa (feat. Travis Scott),Burna Boy,TaTaTa (feat. Travis Scott),Hits Afro,Playlist,USAT22500257,3376713091
Falling In Love,Good nation,Falling In Love,Hits Afro,Playlist,FR8FB2506600,3334734891
Salam Aleykoum,Ngaaka Blindé,Secret 7 vol 2 (Alkebulan),Hits Afro,Playlist,DGA0S2447652,3126633651
Toksik,Saalva13,Toksik,Hits Afro,Playlist,QZK6L2596614,3296697511
CAVA,Harley,CAVA,Hits Afro,Playlist,FREG12300300,3360376781
Lie To Me,Jeune Lio,Lie To Me (feat. Chrystel),Hits Afro,Playlist,USUYG1727951,3353205971
See Us Rise,James BKS,See Us Rise,Hits Afro,Playlist,FR9W12451393,3346317401
GUITAR,Rebo,GUITAR,Hits Afro,Playlist,FRUM72500486,3365781701
f.u. 2,MINZ,f.u. 2,Hits Afro,Playlist,QZS7J2522524,3248166941
Balade,1D1R,Meraki,Hits Afro,Playlist,FR9W12510304,3252485541
Waka Go,James BKS,Waka Go,Hits Afro,Playlist,FR9W12451392,3221503321
Nema Diamant Noir,Ndiolé Tall,Nema Diamant Noir,Hits Afro,Playlist,FR96X2596871,3316026141
Fan,Ronisia,Fan,Hits Afro,Playlist,FRZ052500168,3336397921
MASTERCLASS,Heuss L'enfoiré,MASTERCLASS,Hits Afro,Playlist,FRX202563720,3352452631
J'ai zayé,Dadju,HÉRITAGE : DERNIÈRE EMPREINTE,Hits Afro,Playlist,FR8FB2502910,3234255541
Lover Boy (feat. Tayc & Dadju),Davido,5ive,Hits Afro,Playlist,GBARL2401833,3324595531
PLUS JAMAIS,Nk Divine,SOLA GRATIA,Hits Afro,Playlist,FRPZ92518990,3356956051
Numéro,Jogga,Numéro,Hits Afro,Playlist,FRDCQ2500010,3314455321
BABY,GIMS,BABY,Hits Afro,Playlist,FR8FB2500200,3186120581
Lego,Franglish,Aura x G-Wave,Hits Afro,Playlist,FRD8V2500160,3313449551
Honey Honey,Dadju,HÉRITAGE : DERNIÈRE EMPREINTE,Hits Afro,Playlist,FR8FB2502940,3234255571
C'est Quoi Ton Délire,L2B ,Nés Pour Briller : Book II,Hits Afro,Playlist,FRDJ72500360,3319650071
NINAO,GIMS,NINAO,Hits Afro,Playlist,FR8FB2503200,3242688291
Simba,Dr. Yaro,Simba,Hits Afro,Playlist,FR9W12467449,3150947371
Forévà,Tayc,TESTIMONY.,Hits Afro,Playlist,FR8FB2419030,3126493801
No Love,Diane dddd,Juste un Vendredi,Hits Afro,Playlist,USUYG1714290,3259764081
FOR YOU (Konpa),Timi Dre,FOR YOU (Konpa),Hits Afro,Playlist,QZDA42555803,3198982661
Baby (Is it a Crime),Rema,Baby (Is it a Crime),Hits Afro,Playlist,NGUM72400100,3210661231
DOINGZ,Oxlade,OFA: Deluxe Edition,Hits Afro,Playlist,QZWDG2500038,3278504921
Pas De Commentaire,Chily,Pas De Commentaire,Hits Afro,Playlist,FR59R2599450,3296329571
LA SÉRÉNADE,Saalva13,LA SÉRÉNADE,Hits Afro,Playlist,QZNWW2407397,2851411792
Zaza (feat. ODUMODUBLVCK),KOHDEE,Zaza (feat. ODUMODUBLVCK),Hits Afro,Playlist,QZWDG2500042,3273637151
Bumpy Ride,Remy Baggins,Clarity,Hits Afro,Playlist,NGB132400144,3182602661
Que pasa ?,Dr. Yaro,Que pasa ?,Hits Afro,Playlist,FR9W12527131,3356334791
WANTA,Naza,WANTA,Hits Afro,Playlist,FRX202575053,3352452321
Bout U,Rema,Bout U,Hits Afro,Playlist,NGUM72500065,3298382731
Petit à Petit,DAVINHOR,Petit à Petit,Hits Afro,Playlist,FRUM72500587,3330237051
P-Valley,Scridge,P-Valley,Hits Afro,Playlist,QZMZ92538037,3314267351
Ça m'a laissé,Emma'a,Ça m'a laissé,Hits Afro,Playlist,FRZ082500307,3335423271
Gimme Dat,Ayra Starr,Gimme Dat,Hits Afro,Playlist,USUG12503277,3329774051
Soucis plein la tête (Au pays des Merveilles),Merveille,Soucis plein la tête (Au pays des Merveilles),Hits Afro,Playlist,FRX202530441,3327511711
Animation FR,Chily,Animation FR,Hits Afro,Playlist,FRX202564205,3339895101
YOROBO DRILL ACTE 3,Himra,JEUNE & RICHE (DELUXE),Hits Afro,Playlist,AUGBT2452832,3052048511
Dripology,Ryan De La Cruz,Dripology,Hits Afro,Playlist,GXG3F2500053,3355077501
