Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Pool (Gravagerz Version),Gravagerz,Pool (Gravagerz Version),House Music - Deep Soulful Chill Club Lounge,Playlist,GBARL2500462,3316801281
Free,Calvin Harris,Free,House Music - Deep Soulful Chill Club Lounge,Playlist,GBARL2400999,2906712841
Dance In The Sunlight,Lost Frequencies,Dance In The Sunlight,House Music - Deep Soulful Chill Club Lounge,Playlist,BEHP42500003,3261725951
"Sweet Disposition (a moment, a love)",Lost Frequencies,"Sweet Disposition (a moment, a love)",House Music - Deep Soulful Chill Club Lounge,Playlist,BEHP42500007,3344814521
It's Not Right But It's Okay,Mr. Belt & Wezol,It's Not Right But It's Okay,House Music - Deep Soulful Chill Club Lounge,Playlist,NLP762300246,2589549242
Heart Like Mine (feat. Rosa Linn),Sam Feldt,Heart Like Mine (feat. Rosa Linn),House Music - Deep Soulful Chill Club Lounge,Playlist,NLP762400268,2956601641
Crown,BUNT.,Crown,House Music - Deep Soulful Chill Club Lounge,Playlist,USAR12400253,2907103661
Prada,cassö,Prada,House Music - Deep Soulful Chill Club Lounge,Playlist,GBCEN2300147,2403785095
Chills (Feel My Love),David Guetta,Chills (Feel My Love),House Music - Deep Soulful Chill Club Lounge,Playlist,GBCEN2400145,2892843501
Love Is The Only Thing,Lost Frequencies,Love Is The Only Thing,House Music - Deep Soulful Chill Club Lounge,Playlist,BEHP42400042,3041767501
Receipts (feat. Gunna),Diplo,Receipts (feat. Gunna),House Music - Deep Soulful Chill Club Lounge,Playlist,USSM12405862,2953999001
Ginger (Feel Good),Atrip,Ginger (Feel Good),House Music - Deep Soulful Chill Club Lounge,Playlist,QM6N22479126,2812809922
In My Bones,Lost Frequencies,In My Bones,House Music - Deep Soulful Chill Club Lounge,Playlist,BEHP42400031,2712022541
Open Your Eyes,Funkin Matt,Open Your Eyes,House Music - Deep Soulful Chill Club Lounge,Playlist,QM6P42481882,2871591392
Dreamin (feat. Daya),Dom Dolla,Dreamin (feat. Daya),House Music - Deep Soulful Chill Club Lounge,Playlist,USQX92407559,3215554981
She's In The Club (feat. Asal),MK,She's In The Club (feat. Asal),House Music - Deep Soulful Chill Club Lounge,Playlist,GBARL2400543,2802974212
Your Love (Diplo Remix),The Outfield,Your Love (Diplo Remix),House Music - Deep Soulful Chill Club Lounge,Playlist,USSM12403206,2752187201
If I Could Turn Back Time,Twelve,If I Could Turn Back Time,House Music - Deep Soulful Chill Club Lounge,Playlist,SEBGA2401714,3130366151
Celeste,Bless You,Celeste,House Music - Deep Soulful Chill Club Lounge,Playlist,DK4YA2400169,2735363751
Body Talk (feat. Clementine Douglas),Alok,Body Talk (feat. Clementine Douglas),House Music - Deep Soulful Chill Club Lounge,Playlist,DEE862402105,3102321411
Birds Flying High (Radio Edit),Möwe,Birds Flying High,House Music - Deep Soulful Chill Club Lounge,Playlist,DK4YA2400128,2684675932
Desire,Calvin Harris,Desire,House Music - Deep Soulful Chill Club Lounge,Playlist,GBARL2300798,2357139175
