Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Les hits de Noël 2024,Playlist,USSM19400325,62710442
Rockin' Around The Christmas Tree,Brenda Lee,Christmas Cookies,Les hits de Noël 2024,Playlist,USMC15848998,24136731
Santa Tell Me,Ariana Grande,Santa Tell Me,Les hits de Noël 2024,Playlist,USUM71417401,90728983
It's the Most Wonderful Time of the Year,Andy Williams,The Andy Williams Christmas Album,Les hits de Noël 2024,Playlist,USSM16300086,585967
Snowman,Sia,Snowman,Les hits de Noël 2024,Playlist,USAT21704212,424438852
Let It Snow Let It Snow Let It Snow,Dean Martin,Let It Snow,Les hits de Noël 2024,Playlist,GBHFE0648111,11757389
Mistletoe,Justin Bieber,Under The Mistletoe (Deluxe Edition),Les hits de Noël 2024,Playlist,USUM71116290,14309710
Sleigh Ride,The Ronettes,A Christmas Gift For You From Phil Spector,Les hits de Noël 2024,Playlist,USSM10905166,13072996
Last Christmas,Wham!,LAST CHRISTMAS,Les hits de Noël 2024,Playlist,GBBBM8400019,1036586
It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas (Deluxe Special Edition),Les hits de Noël 2024,Playlist,USRE11100700,61700769
Santa Claus Is Coming To Town,Louane,Louane (Deluxe),Les hits de Noël 2024,Playlist,FRUM71801931,581345822
Merry Christmas,Ed Sheeran,= (Christmas Edition),Les hits de Noël 2024,Playlist,GBAHS2101360,1568729032
I Wish You A Merry Christmas (Remastered 2006),Bing Crosby,Bing Crosby - Christmas Classics,Les hits de Noël 2024,Playlist,USCA20600973,3399696
Underneath the Tree,Kelly Clarkson,Wrapped In Red,Les hits de Noël 2024,Playlist,GBCTA1300103,71675345
Feliz Navidad,José Feliciano,Feliz Navidad,Les hits de Noël 2024,Playlist,USRC17002573,991049
Come and Get Your Love (Single Version),Redbone,Come and Get Your Love (Single Edit),Les hits de Noël 2024,Playlist,USSM17300653,392284592
O Holy Night,Mariah Carey,Merry Christmas,Les hits de Noël 2024,Playlist,USSM19400521,62710443
Jingle Bell Rock,Bobby Helms,"Rockin Around the Christmas Tree: 30 Essential Golden Oldies Christmas Songs Including White Christmas, Silver Bells, Jingle Bell ",Les hits de Noël 2024,Playlist,USESK0616249,72221590
A Holly Jolly Christmas,Burl Ives,Have A Holly Jolly Christmas,Les hits de Noël 2024,Playlist,USMC16414508,584448352
Petit Papa Noël,Tino Rossi,40 titres d'or,Les hits de Noël 2024,Playlist,FRZ114800310,3104809
Ave Maria,Beyoncé,I AM...SASHA FIERCE,Les hits de Noël 2024,Playlist,USSM10804728,2485113
Jingle Bells,Frank Sinatra,Christmas,Les hits de Noël 2024,Playlist,USCA28700222,110148086
Santa's Coming for Us,Sia,Santa's Coming for Us,Les hits de Noël 2024,Playlist,USAT21704210,420827872
Deck The Hall,Nat King Cole,The Christmas Song (Expanded Edition),Les hits de Noël 2024,Playlist,USCA29900552,555637652
Happy Xmas (War Is Over) (Remastered 2010),John Lennon,Signature Box,Les hits de Noël 2024,Playlist,GBAYE1000862,7163389
Holly Jolly Christmas,Michael Bublé,Christmas (Deluxe Special Edition),Les hits de Noël 2024,Playlist,USRE11100705,61700775
Christmas Tree Farm,Taylor Swift,Christmas Tree Farm,Les hits de Noël 2024,Playlist,USUG11904285,825783572
Vive le vent,Dalida,Vive Le Vent,Les hits de Noël 2024,Playlist,FRZ016000500,62507814
Santa Baby (feat. Helene Fischer),Robbie Williams,The Christmas Present (Deluxe),Les hits de Noël 2024,Playlist,GBPS61900010,786099152
Hallelujah,Pentatonix,Hallelujah,Les hits de Noël 2024,Playlist,USRC11601833,139404595
"Main Title ""Somewhere in My Memory"" (From ""Home Alone"" Soundtrack)",John Williams,"Maman, j'ai raté l'avion",Les hits de Noël 2024,Playlist,USSM19909870,110148734
Do They Know It's Christmas? (1984 Version),Band Aid,Do They Know It's Christmas?,Les hits de Noël 2024,Playlist,GBF088400001,2261793
Frosty the Snowman,Ella Fitzgerald,Ella Fitzgerald's Christmas,Les hits de Noël 2024,Playlist,FR4HR1909999,2520862941
Thank God It's Christmas,Queen,Greatest Hits III,Les hits de Noël 2024,Playlist,GBCEG8400019,7856457
Christmas Is All Around (Soundtrack Version),Billy Mack,Love Actually (Original Motion Picture Score),Les hits de Noël 2024,Playlist,GBAAN0300603,1540441292
Have Yourself A Merry Little Christmas,Sam Smith,Have Yourself A Merry Little Christmas,Les hits de Noël 2024,Playlist,GBUM71406655,91490302
Christmas (Baby Please Come Home),Mariah Carey,Merry Christmas,Les hits de Noël 2024,Playlist,USSM19402077,62710444
The Christmas Song (Merry Christmas To You) (Remastered 1999),Nat King Cole,The Christmas Song,Les hits de Noël 2024,Playlist,USCA29900551,4228126
Wishing You a Merry Christmas,Gaspard Royant,Wishing You a Merry Christmas,Les hits de Noël 2024,Playlist,FR9W12447209,3064757731
White Christmas,Frank Sinatra,Christmas,Les hits de Noël 2024,Playlist,USCA29900565,110148088
santa doesn’t know you like i do,Sabrina Carpenter,fruitcake,Les hits de Noël 2024,Playlist,USUM72313081,2526407911
Douce nuit,-M-,Noël ! Noël !! Noël !!!,Les hits de Noël 2024,Playlist,FRUM71102154,14342652
Blue Christmas,Elvis Presley,Blue Christmas,Les hits de Noël 2024,Playlist,USRN12300104,2506202691
Someday At Christmas,Jackson 5,Christmas Album,Les hits de Noël 2024,Playlist,USMO10000863,86731601
Driving Home for Christmas,Chris Rea,The Works,Les hits de Noël 2024,Playlist,GBAHS9904091,425956912
1 Wish,Ava Max,1 Wish,Les hits de Noël 2024,Playlist,USAT22409968,3062052861
Christmas Lights,Coldplay,Christmas Lights,Les hits de Noël 2024,Playlist,GBAYE1001401,7857354
"Baby, It's Cold Outside (feat. Meghan Trainor)",Brett Eldredge,"Baby, It's Cold Outside (feat. Meghan Trainor)",Les hits de Noël 2024,Playlist,USAT21602517,134033924
Wonderful Christmastime (Edited Version / Remastered 2011),Paul McCartney,McCartney II (Archive Edition),Les hits de Noël 2024,Playlist,GBCCS1000219,640963102
Have Yourself A Merry Little Christmas,Madeleine Peyroux,Noël ! Noël !! Noël !!!,Les hits de Noël 2024,Playlist,FRUM71102138,14342679
Under The Christmas Lights,Gwen Stefani,You Make It Feel Like Christmas,Les hits de Noël 2024,Playlist,USUM71708115,412545462
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,Christmas Hits,Les hits de Noël 2024,Playlist,USRC15106173,571386752
Mon beau sapin (Remasterisé en 2018),Tino Rossi,C'est la belle nuit de Noël (Remasterisé en 2018),Les hits de Noël 2024,Playlist,FRZ041800548,553016112
Night Before Christmas,Sam Smith,The Holly & The Ivy,Les hits de Noël 2024,Playlist,GBUM72207516,1999266387
Silver Bells,Dean Martin,The Dean Martin Christmas Album,Les hits de Noël 2024,Playlist,USQX91301990,70662096
Christmas (Baby Please Come Home),Darlene Love,A Christmas Gift For You From Phil Spector,Les hits de Noël 2024,Playlist,USSM10905172,13073002
"We Wish You a Merry Christmas / End Title (From ""Home Alone"" Soundtrack) (Voice)",John Williams,"Maman, j'ai raté l'avion",Les hits de Noël 2024,Playlist,USSM19912821,110148770
Silent Night,Frank Sinatra,Frank Sinatra chante Noël,Les hits de Noël 2024,Playlist,FR6F32344820,3002531841
Happy Xmas (War Is Over),Céline Dion,Christmas Hits,Les hits de Noël 2024,Playlist,CAC229800219,571386652
Last Christmas,Ariana Grande,Christmas Kisses,Les hits de Noël 2024,Playlist,USUM71318388,73248264
White Christmas,Bing Crosby,The Polar Express (Original Motion Picture Soundtrack),Les hits de Noël 2024,Playlist,USMC14750470,788295
This Christmas,Jess Glynne,This Christmas,Les hits de Noël 2024,Playlist,GBAHS2001086,2557425262
When Christmas Comes Around,Matt Terry,When Christmas Comes Around,Les hits de Noël 2024,Playlist,GBHMU1600240,137968171
Winter Wonderland,Tony Bennett,Winter Wonderland,Les hits de Noël 2024,Playlist,USUM71417709,91939724
One More Sleep,Leona Lewis,"Christmas, With Love",Les hits de Noël 2024,Playlist,GBHMU1300298,72435416
Happy Xmas (War Is Over),Josh Groban,Noël (Deluxe Edition),Les hits de Noël 2024,Playlist,USRE11700387,420324582
"Carol of the Bells (From ""Home Alone"" Soundtrack)",John Williams,Christmas Hits,Les hits de Noël 2024,Playlist,USSM19912814,571386762
Let It Snow,Frank Sinatra,Let It Snow,Les hits de Noël 2024,Playlist,DEEF21900406,781673842
Christmas Is Back in Town,Gaspard Royant,Christmas Is Back in Town,Les hits de Noël 2024,Playlist,FRZ051500665,114392270
white xmas,Sabrina Carpenter,fruitcake,Les hits de Noël 2024,Playlist,USUM72313422,2526407941
God Only Knows,Pentatonix,The Best Of Pentatonix Christmas,Les hits de Noël 2024,Playlist,USRC11902559,780043502
Please Come Home for Christmas (2013 Remaster),Eagles,Please Come Home for Christmas / Funky New Year (2013 Remaster),Les hits de Noël 2024,Playlist,USEE11300376,68099545
Cold December Night,Michael Bublé,Christmas (Deluxe Special Edition),Les hits de Noël 2024,Playlist,USRE11100711,61700783
I'll Be Home,Meghan Trainor,I'll Be Home For Christmas,Les hits de Noël 2024,Playlist,USSM11408623,90269801
Make It To Christmas,Alessia Cara,Make It To Christmas,Les hits de Noël 2024,Playlist,USUM71922143,796301392
Happy Holidays,Andy Williams,140 Hits - Moon River,Les hits de Noël 2024,Playlist,ZAC481901178,718165882
Rudolph the Red-Nosed Reindeer,Gene Autry,Rudolph The Red Nosed Reindeer And Other Christmas Classics,Les hits de Noël 2024,Playlist,USSM10309761,609537
Winter Wonderland,Frank Sinatra,It's Christmas,Les hits de Noël 2024,Playlist,US78T0753764,809939872
Christmas Eve,Céline Dion,These Are Special Times,Les hits de Noël 2024,Playlist,CAC229800217,1071306
Winter Wonderland (feat. Rod Stewart),Michael Bublé,Michael Bublé's Family Christmas,Les hits de Noël 2024,Playlist,USRE12100588,2035906697
What Christmas Means To Me,Stevie Wonder,A Motown Christmas,Les hits de Noël 2024,Playlist,USMO16782670,540195712
Christmas Don't Be Late,Norah Jones,I Dream Of Christmas (Deluxe),Les hits de Noël 2024,Playlist,USUM72110655,1937760227
Mr. Santa,The Tesca Country Clan,"We Wish You A "" Country "" Christmas",Les hits de Noël 2024,Playlist,NLAX60948971,62338080
"Santa, Can’t You Hear Me",Kelly Clarkson,When Christmas Comes Around...,Les hits de Noël 2024,Playlist,USAT22104760,1519413812
Step Into Christmas (Remastered 1995),Elton John,Caribou (Remastered 1995),Les hits de Noël 2024,Playlist,GBAMB9500053,1124124
Merry Christmas Everyone,Shakin' Stevens,Merry Christmas Everyone,Les hits de Noël 2024,Playlist,GBARL0801716,1132604282
Somewhere Only We Know,Lily Allen,Somewhere Only We Know,Les hits de Noël 2024,Playlist,GBAYE1301770,72516638
Frosty The Snowman,Jackson 5,Christmas Album,Les hits de Noël 2024,Playlist,USMO17082671,86731573
The Christmas Song,Shawn Mendes,Wonder (Deluxe),Les hits de Noël 2024,Playlist,USUM72023748,1168101482
Man With The Bag,Jessie J,Man With The Bag,Les hits de Noël 2024,Playlist,USUM71517734,112123824
White Christmas,The Drifters,"Merry Christmas with Bing Crosby, Elvis Presley, Frank Sinatra and Doris Day",Les hits de Noël 2024,Playlist,DEZ921510711,110497792
"Oh, When The Saints",Lady Gaga,Harlequin,Les hits de Noël 2024,Playlist,USUG12405102,3017033871
Here Comes Santa Claus,Elvis Presley,Elvis' Christmas Album,Les hits de Noël 2024,Playlist,ZA42A1516884,113144882
Santa Baby,Pink Martini,Joy to the World,Les hits de Noël 2024,Playlist,USHNZ1000089,105735726
Have Yourself a Merry Little Christmas,Michael Bublé,Christmas (Deluxe Special Edition),Les hits de Noël 2024,Playlist,USRE11100707,61700778
