Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
TOUCHÉ,GIMS,TOUCHÉ,Les titres du moment,Playlist,FR8FB2505600,3313936131
Ordinary,Alex Warren,Ordinary,Les titres du moment,Playlist,USAT22500463,3210709941
Azizam,Ed Sheeran,Azizam,Les titres du moment,Playlist,GBAHS2500081,3303979891
NINAO,GIMS,NINAO,Les titres du moment,Playlist,FR8FB2503200,3242688291
Next Summer,Damiano David,FUNNY little FEARS,Les titres du moment,Playlist,ITB002500107,3362855111
Show Me Love,WizTheMc,Show Me Love,Les titres du moment,Playlist,DE1FB2500005,3187953971
Feel Good,Charlotte Cardin,Feel Good,Les titres du moment,Playlist,QMDA62398101,2424911405
Azul,J Balvin,Colores,Les titres du moment,Playlist,USUM72001731,903698362
Beautiful People,David Guetta,Beautiful People,Les titres du moment,Playlist,UKWLG2500016,3229131161
"les filles, les meufs",marguerite,"les filles, les meufs",Les titres du moment,Playlist,FRZ052500138,3315533611
Baila Morena (R3HAB Remix),Lucenzo,Baila Morena (R3HAB Remix),Les titres du moment,Playlist,FR43Y2500010,3320184851
Nice To Meet You,Myles Smith,A Minute...,Les titres du moment,Playlist,GBARL2401376,3058512051
Piano,Werenoi,Piano,Les titres du moment,Playlist,FR8FB2507200,3340153351
Vaitimbora,Trinix,Vaitimbora,Les titres du moment,Playlist,DEE862500652,3346909081
Messy,Lola Young,Messy,Les titres du moment,Playlist,GBUM72401610,2815968782
Tamo Bien,Enrique Iglesias,Tamo Bien,Les titres du moment,Playlist,USNPW2501020,3218898811
M'envoler,Jeck,Moi c'est Jeck (Réédition),Les titres du moment,Playlist,FR8FB2416020,3065817251
Break Your Heart,Bormin',Break Your Heart,Les titres du moment,Playlist,FR6F32501130,3315060201
Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,Les titres du moment,Playlist,USAT22001300,2454854845
Melrose Place,KeBlack,Melrose Place,Les titres du moment,Playlist,FR96X2501212,3301821051
Summer Jam,Sandro Silva,Summer Jam,Les titres du moment,Playlist,USZXT2556559,3255125821
Anxiety,Doechii,Anxiety,Les titres du moment,Playlist,USUG12500650,3262675101
Simba,Dr. Yaro,Simba,Les titres du moment,Playlist,FR9W12467449,3150947371
Mauvais Garçon,Helena,Hélé,Les titres du moment,Playlist,FRZ052400421,3270730051
Menina de Vermelho,MC Menor JP,Menina de Vermelho,Les titres du moment,Playlist,DECE72402412,3045191821
À tes côtés,Jungeli,À tes côtés,Les titres du moment,Playlist,FR9W12514648,3299260451
maman,Louane,maman,Les titres du moment,Playlist,FRUM72500333,3278611801
Abracadabra,Lady Gaga,MAYHEM,Les titres du moment,Playlist,USUM72412581,3262333861
Lola (feat. Nicola Sirkis),Superbus,Lola (feat. Nicola Sirkis),Les titres du moment,Playlist,FR7KZ1700070,3198384621
Exotica,Gabry Ponte,Exotica,Les titres du moment,Playlist,ITV952400346,3175052941
Me Enamore,Ridsa,Me Enamore,Les titres du moment,Playlist,FR8FB2500500,3194543841
