Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Chandelier,Sia,1000 Forms Of Fear,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USRC11400498,79587580
Cheap Thrills,Sia,This Is Acting,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USRC11502935,118195184
human,Christina Perri,human,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USAT21304202,72544267
Bad Romance,Lady Gaga,The Fame Monster (Explicit Version),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM70918596,4834217
Russian Roulette,Rihanna,Rated R,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM70912464,4711054
Better in Time,Leona Lewis,Spirit,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBHMU0700069,10157599
Million Reasons,Lady Gaga,Million Reasons,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM71609736,133512868
Irreplaceable,Beyoncé,B'Day Deluxe Edition,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USSM10603620,13131048
Unconditionally,Katy Perry,PRISM (Deluxe),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM71311295,71645435
Blank Space,Taylor Swift,1989 (Deluxe),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USCJY1431309,89077547
Me & The Rhythm,Selena Gomez,Revival (Deluxe),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM71513591,109169066
Throwback Love,Meghan Trainor,Thank You (Deluxe Version),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USSM11602694,358920241
Havana (feat. Young Thug),Camila Cabello,Camila,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USSM11706905,447098092
I Love It (feat. Charli XCX),Icona Pop,Iconic EP,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,SEWEE1200301,61287079
Shout Out to My Ex,Little Mix,Shout Out to My Ex,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBHMU1600060,134294748
Royals,Lorde,Royals,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,NZUM71200031,69390867
Send My Love (To Your New Lover),Adele,Send My Love (To Your New Lover),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBBKS1500215,124817150
Young And Beautiful,Lana Del Rey,Young And Beautiful,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBUM71301823,66660698
Issues,Julia Michaels,Issues,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM71615691,139874527
Confident,Demi Lovato,Confident (Deluxe Edition),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USHR11536743,109703216
When I Was Young,MØ,When I Was Young - EP,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBARL1701693,420121572
"Amor, Amor, Amor (feat. Wisin)",Jennifer Lopez,"Amor, Amor, Amor (feat. Wisin)","Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,QM3W71700081,425678092
Halo,Beyoncé,I AM...SASHA FIERCE,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USSM10804556,2553265
Worth It (feat. Kid Ink),Fifth Harmony,Reflection (Deluxe),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USSM11406644,94195484
Runaway (U & I),Galantis,Runaway (U & I),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USAT21404265,86453925
Where Have You Been (Album Version),Rihanna,Talk That Talk (Deluxe),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM71118074,14525573
Hot N Cold,Katy Perry,One Of The Boys,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USCA20802544,3169166
Be My Lover,INNA,"Top Chart, Vol. 6","Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,ROROT1302101,72572096
Addicted to You,Shakira,Sale El Sol,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USSD11000366,7365611
Hollaback Girl,Gwen Stefani,Love. Angel. Music. Baby.,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USIR10400847,983450
Live It Up,Jennifer Lopez,Live It Up,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM71305777,67319599
Roar,Katy Perry,PRISM (Deluxe),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM71308669,71645431
Marry The Night,Lady Gaga,Born This Way (International Special Edition Version),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM71106431,11747930
Dance Again,Jennifer Lopez,Dance Again...The Hits,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USSM11201984,42187471
Bang Bang,Jessie J,Sweet Talker (Deluxe Version),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM71409737,86835391
So What,P!nk,Sad Songs,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USLF20800067,459977302
This Is What You Came For,Calvin Harris,This Is What You Came For,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBARL1600460,123883254
All About That Bass,Meghan Trainor,All About That Bass,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USSM11401317,79975768
Umbrella,Rihanna,Good Girl Gone Bad: Reloaded,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM70736771,925106
Starships,Nicki Minaj,Starships,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USCM51200060,16607977
Dark Horse,Katy Perry,PRISM (Deluxe),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM71311296,71645436
Someone Like You,Adele,21,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBBKS1000351,15078245
Rolling in the Deep,Adele,21,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBBKS1000335,15078235
Hello,Adele,Hello,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBBKS1500214,110265034
Make You Feel My Love,Adele,19,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBBKS0700586,2577966
All I Ask,Adele,25,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBBKS1500223,127322377
"Love Me Like You Do (From ""Fifty Shades Of Grey"")",Ellie Goulding,Delirium,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBUM71507204,112475322
Solo Dance,Martin Jensen,Solo Dance,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,DK4YA1610901,135372064
"Still Falling For You (From ""Bridget Jones's Baby"")",Ellie Goulding,"Still Falling For You (From ""Bridget Jones's Baby"" Original Motion Picture Soundtrack)","Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBUM71603863,130495956
Life for Rent,Dido,Life For Rent,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBBXH0300037,2654328
Bad Things,mgk,Best Of 2017,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM71609854,435821862
White Flag,Dido,Life For Rent,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBBXH0300035,2654326
I Choose You,Sara Bareilles,The Blessed Unrest,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USSM11302726,68772213
No Money,Galantis,No Money,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USAT21600941,121107876
Jai Ho! (You Are My Destiny),A. R. Rahman,Jai Ho! (You Are My Destiny),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM70954362,2947119
Bang My Head (feat. Sia & Fetty Wap),David Guetta,Bang My Head (feat. Sia & Fetty Wap),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GB28K1500110,110663020
Tuesday (feat. Danelle Sandoval),Burak Yeter,Tuesday (feat. Danelle Sandoval),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBKQU1650147,131343028
Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,Back to You (feat. Bebe Rexha & Digital Farm Animals),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBHMU1700037,379609971
Just Like a Pill,P!nk,The Album Collection,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USAR10100716,8035546
Waterfall (feat. P!NK & Sia),Stargate,Waterfall (feat. P!NK & Sia),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USRC11700338,143781640
Can't Remember to Forget You,Shakira,Can't Remember to Forget You,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USRC11301790,74099064
If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USJAY0300452,629466
Fallin',Alicia Keys,Songs In A Minor,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USJAY0100057,959183
No One,Alicia Keys,As I Am (Expanded Edition),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USJAY0700190,2466262
Rumour Has It,Adele,21,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBBKS1000349,15078236
Symphony (feat. Zara Larsson),Clean Bandit,Symphony (feat. Zara Larsson),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBAHS1700199,144393668
Need You Now,Lady A,Need You Now,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USCN10900695,5902858
Bleeding Love,Leona Lewis,Spirit,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,GBHMU0700049,2484995
Hurt,Christina Aguilera,Keeps Gettin' Better: A Decade Of Hits,"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USRC10600420,2466330
What Now,Rihanna,Unapologetic (Deluxe),"Mix- Sia, Lady Gaga, Beyonce, Rihanna, Adele, Katy",Playlist,USUM71214747,62376290
