Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Gimme Love,Sia,Gimme Love,Mon Top 2024,Playlist,USAT22307798,2414222995
I Drink Wine,Adele,30,Mon Top 2024,Playlist,USSM12105975,1557137152
Another Love,Tom Odell,Long Way Down (Deluxe),Mon Top 2024,Playlist,GBARL1300107,65723649
Thinking out Loud,Ed Sheeran,x (Deluxe Edition),Mon Top 2024,Playlist,GBAHS1400099,79875064
Mon soleil,Princess Lover,Juste moi… (Part 1),Mon Top 2024,Playlist,FR72X0300556,97877154
Too Good At Goodbyes,Sam Smith,The Thrill Of It All (Special Edition),Mon Top 2024,Playlist,GBUM71704089,422202502
Lonely,Justin Bieber,Lonely,Mon Top 2024,Playlist,USUM72019170,1110767312
HEATED,Beyoncé,RENAISSANCE,Mon Top 2024,Playlist,USSM12207164,1842052157
Photograph,Ed Sheeran,x (Deluxe Edition),Mon Top 2024,Playlist,GBAHS1400094,79875054
Nha Terra,Ronisia,Ronisia,Mon Top 2024,Playlist,FRZ052100687,1608739862
Je lui dirai,Céline Dion,On ne change pas,Mon Top 2024,Playlist,CAC220300075,71360913
Oye Mi Canto (Remix),Tosca,Oye Mi Canto,Mon Top 2024,Playlist,CA5KR2146347,1254197782
Flamme (Radio Edit),Slaï,Florilège,Mon Top 2024,Playlist,FR5R40400010,604505
Pas sans toi,M. Pokora,Pas Sans Toi,Mon Top 2024,Playlist,FRT530400473,3042053
Jealous,Beyoncé,BEYONCÉ [Platinum Edition],Mon Top 2024,Playlist,USSM11307804,90408881
Mère ya Palais,Warren Saada,Mère ya Palais,Mon Top 2024,Playlist,FR9W12326737,2320981225
Tu me manqueras toujours,Priscillia,Priscillia,Mon Top 2024,Playlist,FR6V81315437,60905533
Ocean,Thierry Cham,Simplement,Mon Top 2024,Playlist,USHM20979042,8391318
Goodbye My Lover,James Blunt,Back to Bedlam,Mon Top 2024,Playlist,USAT20401590,784331
Mbangu te,Ya Levis,El mayalove,Mon Top 2024,Playlist,FR2X41993035,687427322
Jalouse,Ya Levis,L'amour change le monde,Mon Top 2024,Playlist,FR9W12203370,1682180237
Say Goodbye,Chris Brown,Chris Brown (Expanded Edition),Mon Top 2024,Playlist,USJI10500728,71528401
Pardonne-moi,Ya Levis,L'amour change le monde,Mon Top 2024,Playlist,FR9W12140664,1682180247
Common Person,Burna Boy,"Love, Damini",Mon Top 2024,Playlist,USAT22205423,1814473507
When We Were Young,Adele,25,Mon Top 2024,Playlist,GBBKS1500217,138546001
Lovinjitis (Remix),Wizboyy,Lovinjitis - Single (Remix),Mon Top 2024,Playlist,FRYAS1005037,96485274
Touch My Body,Mariah Carey,E=MC2 (Deluxe Version),Mon Top 2024,Playlist,USUM70809417,1225539462
L'aveu,Arielle T.,À nu,Mon Top 2024,Playlist,FR6V81586788,64539019
Ignition,R-Kelly,"Best R'n'B 90, Vol. 2",Mon Top 2024,Playlist,FRX451528679,101488838
a thousand years,Christina Perri,a thousand years,Mon Top 2024,Playlist,USAT21102141,14495443
Ancrée à ton port,Fanny J,Vous les hommes,Mon Top 2024,Playlist,FR72X0700134,97850736
Take Me To Church,Hozier,Hozier,Mon Top 2024,Playlist,IEACJ1300031,84791735
Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version),Mon Top 2024,Playlist,USRC11300059,65356224
Free Mind,Tems,For Broken Ears,Mon Top 2024,Playlist,QMBZ92014864,1083700452
Heartbreak Anniversary,GIVĒON,TAKE TIME,Mon Top 2024,Playlist,USSM12000998,909312242
Yo (Excuse Me Miss),Chris Brown,Chris Brown (Expanded Edition),Mon Top 2024,Playlist,USJI10500654,71528391
Love In The Dark,Adele,25,Mon Top 2024,Playlist,GBBKS1500221,138546009
Let Me Love You,Mario,Turning Point,Mon Top 2024,Playlist,USJAY0400348,597166
How To Love,Lil Wayne,Tha Carter IV (Explicit Version),Mon Top 2024,Playlist,USCM51100147,13623126
S'il suffisait d'aimer,Céline Dion,S'il Suffisait D'aimer,Mon Top 2024,Playlist,CAC229800092,627441
Love & Hate,Michael Kiwanuka,Love & Hate,Mon Top 2024,Playlist,GBUM71600930,128548967
Arcade,Duncan Laurence,Arcade,Mon Top 2024,Playlist,NL1TK1900001,643473422
if I was gay,Andreas Wijk,if I was gay,Mon Top 2024,Playlist,SEUM72201450,1999214337
Kumama Papa,Grace Lokwa,Kumama,Mon Top 2024,Playlist,GBRKQ2228012,1776556027
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,Mon Top 2024,Playlist,USAT21206701,62724019
Remember (Acoustic),Becky Hill,Remember (Versions),Mon Top 2024,Playlist,GBUM72104213,1975793527
Jealous,Labrinth,Jealous - EP,Mon Top 2024,Playlist,GBHMU1400291,1130640722
Moments gâchés,Kalash,Mwaka Moon,Mon Top 2024,Playlist,FRUM71700675,416053502
Bank On It,Burna Boy,Twice As Tall,Mon Top 2024,Playlist,USAT22005336,1049856452
Best Thing I Never Had,Beyoncé,4,Mon Top 2024,Playlist,USSM11102904,66190266
