Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Pressure,Seyi Vibez,Pressure,New Afro,Playlist,USUYG1718313,3293208941
TaTaTa (feat. Travis Scott),Burna Boy,TaTaTa (feat. Travis Scott),New Afro,Playlist,USAT22500257,3376713091
Ndolo,James BKS,Ndolo,New Afro,Playlist,FR9W12522329,3370686761
Olufunmi (The Missing Recipe),LADIPOE,Olufunmi (The Missing Recipe),New Afro,Playlist,NGUM72500073,3369421981
Sweet,Spyro,Sweet,New Afro,Playlist,USDXS2501047,3369161091
Follow Her (feat. Kizz Daniel),Blaqbonez,Follow Her (feat. Kizz Daniel),New Afro,Playlist,QMEU32506588,3348010241
Sweet Love,Burna Boy,Sweet Love,New Afro,Playlist,USAT22502477,3344260581
Doha,Seyi Vibez,Loseyi Professor,New Afro,Playlist,USA2P2444757,2888068162
Kai!,Olamide,Kai!,New Afro,Playlist,USUYG1721494,3316089041
With You (feat. Omah Lay),Davido,5ive,New Afro,Playlist,GBARL2401834,3324595541
Lazy Baby,Ayo Maff,Lazy Baby,New Afro,Playlist,USUYG1710294,3337582371
Laho II,Shallipopi,Laho II,New Afro,Playlist,GBARL2500563,3338313601
Gimme Dat,Ayra Starr,Gimme Dat,New Afro,Playlist,USUG12503277,3329774051
Story,Fireboy Dml,Story,New Afro,Playlist,USUYG1722789,3330942611
Do Me,Runtown,Do Me,New Afro,Playlist,QZQ4X2500174,3284613081
Achalugo,Boy Spyce,Achalugo,New Afro,Playlist,NGUM72500070,3329757871
lost,Fola,lost,New Afro,Playlist,USUYG1718408,3293418591
Woza,1da Banton,Woza,New Afro,Playlist,NGB572500016,3316961861
Bombshell (Cheza) (feat. DJ Exit),Skyla Tylaa,Bombshell (Cheza) (feat. DJ Exit),New Afro,Playlist,GBARL2500407,3318347761
LIFESTYLE,Zinoleesky,Gen Z,New Afro,Playlist,QZTLA2580262,3307556491
You4Me,Tiwa Savage,You4Me,New Afro,Playlist,USUYG1711853,3333725831
The Bad Wife,Teledalase,The Bad Wife has no Tongue,New Afro,Playlist,USUYG1700347,3298125351
Angelina,Johnny Drille,Angelina,New Afro,Playlist,NGUM72500067,3309776141
Cheat On You,KiDi,Cheat On You,New Afro,Playlist,USUYG1716338,3279276621
BELIEVER,Dammye,BELIEVER,New Afro,Playlist,USUYG1718884,3296551481
Halelu,L.A.X,Nobody Like Zaza,New Afro,Playlist,USUYG1703515,3311079911
SAY WETIN,Bad Boy Timz,SAY WETIN,New Afro,Playlist,QZTGW2404171,3293207331
DOINGZ,Oxlade,OFA: Deluxe Edition,New Afro,Playlist,QZWDG2500038,3278504921
MVP,L.A.X,MVP,New Afro,Playlist,USUYG1703514,3286051751
Offa Me (feat. Victoria Monét),Davido,5ive,New Afro,Playlist,GBARL2401824,3324595431
Bout U,Rema,Bout U,New Afro,Playlist,NGUM72500065,3298382731
Police,Kizz Daniel,Police,New Afro,Playlist,USUYG1718937,3296593521
Sacrifice,Black Sherif,IRON BOY,New Afro,Playlist,USUYG1598708,3302885691
Ghanaman,Britz,Ghanaman,New Afro,Playlist,US38Y2518632,3277497861
Most Wanted,Zinoleesky,Most Wanted,New Afro,Playlist,QZQAY2591683,3275933771
Imagine,Niphkeys,Intergalactic Dreams,New Afro,Playlist,USUYG1707067,3279317591
For My Bed,Syemca,BIPOLAR,New Afro,Playlist,USUYG1704672,3207513371
Call Me,Godwin,Call Me,New Afro,Playlist,DE1LI2400036,3252210691
Dudu,Ruger,BlownBoy RU,New Afro,Playlist,USA2P2509211,3254237571
4 Kampé II,Joé Dwet Filé,4 Kampé II,New Afro,Playlist,FR8FB2504800,3293158481
FOR YOU,KHAID,FOR YOU,New Afro,Playlist,US23A1592882,3203352301
My Darling,Chella,My Darling,New Afro,Playlist,USUYG1713268,3253094841
Fire,Raevin,Fire,New Afro,Playlist,GHLLE2500002,3216447731
Zaza (feat. ODUMODUBLVCK),KOHDEE,Zaza (feat. ODUMODUBLVCK),New Afro,Playlist,QZWDG2500042,3273637151
i think i love you 2,Ru.,i think i love you 2,New Afro,Playlist,AUMEV2520871,3243658741
I No Be God,LADIPOE,I No Be God,New Afro,Playlist,NGUM72500023,3278022511
Taxi Driver,Joeboy,Taxi Driver,New Afro,Playlist,ZA34K2502661,3243187201
Alchl,Magixx,I Dream In Color,New Afro,Playlist,NGUM72500009,3243724671
Toro - A COLORS SHOW,Ruger,Toro - A COLORS SHOW,New Afro,Playlist,DEXC82500029,3264730151
Be There Still,Davido,Be There Still,New Afro,Playlist,GBARL2401821,3253799211
