Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
One More Time,Daft Punk,Discovery,New Year's Eve Classics,Playlist,GBDUW0000053,3135553
I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) (Deluxe Version),New Year's Eve Classics,Playlist,USUM70965169,4619466
...Baby One More Time,Britney Spears,...Baby One More Time (Digital Deluxe Version),New Year's Eve Classics,Playlist,USJI19810404,540175
Crazy In Love (feat. JAY-Z),Beyoncé,Dangerously In Love,New Year's Eve Classics,Playlist,USSM10305425,609244
"Freed From Desire (prod. Molella, Phil Jay)",Gala,Come Into My Life (The Album),New Year's Eve Classics,Playlist,ITA179700143,6907156
24K Magic,Bruno Mars,24K Magic,New Year's Eve Classics,Playlist,USAT21602944,136336110
I Follow Rivers (The Magician Remix),Lykke Li,Wounded Rhymes,New Year's Eve Classics,Playlist,SEVUM1100103,10027707
Hey Ya!,Outkast,Speakerboxxx/The Love Below,New Year's Eve Classics,Playlist,USAR10300924,628266
Blinding Lights,The Weeknd,After Hours,New Year's Eve Classics,Playlist,USUG11904206,908604612
Just Can't Get Enough,Depeche Mode,"The Best of Depeche Mode, Vol. 1 (Deluxe)",New Year's Eve Classics,Playlist,GBAJH0602196,68513610
Juice,Lizzo,Juice,New Year's Eve Classics,Playlist,USAT21813044,611209452
Don't Start Now,Dua Lipa,Future Nostalgia,New Year's Eve Classics,Playlist,GBAHT1901121,1124841652
I'm So Excited,The Pointer Sisters,So Excited! (Expanded Edition),New Year's Eve Classics,Playlist,USRC18203285,346967941
Don't Stop Me Now (Remastered 2011),Queen,Greatest Hits (Remastered),New Year's Eve Classics,Playlist,GBUM71029610,67503798
The Sweet Escape,Gwen Stefani,The Sweet Escape,New Year's Eve Classics,Playlist,USUM70618684,1575417
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,ABBA Gold,New Year's Eve Classics,Playlist,SEAYD7901120,884041
SexyBack (feat. Timbaland),Justin Timberlake,FutureSex/LoveSounds Deluxe Edition,New Year's Eve Classics,Playlist,USJI10600283,15489383
Day 'N' Nite,Kid Cudi,Class Of '09,New Year's Eve Classics,Playlist,GBCEN0801462,929199652
