Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
In Da Club,50 Cent,Get Rich Or Die Tryin',"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USIR10300033,1141631
Candy Shop,50 Cent,The Massacre,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USIR10500072,60722933
P.I.M.P.,50 Cent,Get Rich Or Die Tryin',"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USIR10300020,1141637
Yeah! (feat. Lil Jon & Ludacris),USHER,Confessions (Expanded Edition),"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USAR10301423,13783449
Smack That,Akon,Konvicted,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USUM70609036,1572826
Drop It Like It's Hot,Snoop Dogg,R&G (Rhythm & Gangsta): The Masterpiece,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USMC10400902,1761297117
Disco Inferno,50 Cent,The Massacre,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USIR10401085,60722939
P.I.M.P. (Snoop Dogg Remix),50 Cent,Get Rich Or Die Tryin',"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USIR10311994,589181922
Get Busy,Sean Paul,Dutty Rock,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USAT20202575,662103
How We Do,The Game,The Documentary,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USIR10400834,4586926
Low (feat. T-Pain),Flo Rida,Mail on Sunday,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USAT20705841,786826
Black and Yellow,Wiz Khalifa,Rolling Papers,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USAT21001800,10260075
Hot In Herre,Nelly,Nellyville,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USUR10200371,2447436
Ass Like That,Eminem,Encore (Deluxe Version),"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USIR10400804,4677485
Lean Back,Terror Squad,True Story,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USUR10400288,2530363
Shake That (Radio Edit),Eminem,Shake That (Radio Edit Version),"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USUM70506726,2498372
Lollipop (Album Version Explicit),Lil Wayne,Tha Carter III,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USCM50800556,2124748
Get Low,Lil Jon & The East Side Boyz,Kings Of Crunk,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USTV10200084,2591105
Snap Yo Fingers,Lil Jon,Snap Yo Fingers - Single,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USTV10600013,2594366
Kiss Kiss (feat. T-Pain),Chris Brown,Exclusive (Expanded Edition),"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USJI10700577,15589990
Stronger,Kanye West,Graduation,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USUM70741299,630827242
De Marbella a Cancún,Pau Hernandez,De Marbella a Cancún,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,QZNJX2072183,1709629747
Hotel Room Service,Pitbull,Pitbull Starring In Rebelution,"OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,USJAY0900063,4097296
"Gasolina (with Pitbull, Lil Jon, Noriega, Dj Buddha) (Dj Buddha Remix)",Daddy Yankee,"Reggaeton! (20 Latin Hits, The Very Best of Reggaeton, Dembow, Urban)","OLD SCHOOL R&B MIX 90s - 2000s  Ne Yo, Rihanna, Be",Playlist,ITF250500068,388714341
