Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Right Here (Departed),Brandy,Right Here (Departed),Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USSM10802934,2204604
Beautiful Girls (Radio Edit),Sean Kingston,Beautiful Girls EP,Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USSM10703323,517270552
Umbrella,Rihanna,Good Girl Gone Bad: Reloaded,Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USUM70736771,925106
Drunk in Love (feat. JAY-Z),Beyoncé,BEYONCÉ,Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USSM11307800,73724283
Halo,Beyoncé,I AM...SASHA FIERCE,Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USSM10804556,2553265
Man Down (Album Version),Rihanna,Loud,Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USUM71026642,13529565
Can't Get You out of My Head,Kylie Minogue,Fever,Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,GBAYE0100913,3098100
Loyal (feat. Lil Wayne & Tyga),Chris Brown,X (Expanded Edition),Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USRC11400614,648152282
Don't Judge Me,Chris Brown,Fortune (Expanded Edition),Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USRC11200565,648151712
Turn Up the Music,Chris Brown,Party Hits: Summer Edition,Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USRC11200099,68473086
Better,Chris Brown,Fan of A Fan The Album (Expanded Edition),Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USRC11500119,94727048
I Bet,Ciara,I Bet,Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USSM11500082,93695996
I Bet (feat. 50 Cent),Chris Brown,Fan of A Fan The Album (Expanded Edition),Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USRC11500117,94727044
Only Girl (In The World),Rihanna,Loud,Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USUM71023200,13529563
Dilemma,Nelly,Nellyville,Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USUR10200370,2447443
FourFiveSeconds,Rihanna,FourFiveSeconds,Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USJMT1500001,95965912
Rude Boy,Rihanna,Rated R,Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USUM70912307,4670273
What's My Name? (Album Version),Rihanna,Loud,Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USUM71025031,13529560
Umbrella (Radio Edit),Rihanna,Umbrella,Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USUM70731242,1171629
Breathing,Jason Derulo,Future History (Deluxe Edition),Oʟᴅ Sᴄʜᴏᴏʟ,Playlist,USWB11102509,14629129
