Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Una Velita,Tiësto,Una Velita,Party Hits,Playlist,NLZ542400870,3122793891
Without Ya,Bakermat,Without Ya,Party Hits,Playlist,NLQ8X1700256,3039527541
Cooped Up / Return Of The Mack,Post Malone,Cooped Up / Return Of The Mack,Party Hits,Playlist,USUM72220025,1970265437
Stumblin' In,Cyril,Stumblin' In,Party Hits,Playlist,NLZ542301810,2537448451
MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,Party Hits,Playlist,QM24S2402528,2827724612
Move,Adam Port,Move,Party Hits,Playlist,DEEC33501508,2823893032
Supernature,Cerrone,3 - Supernature,Party Hits,Playlist,FRF887700150,1013210122
Your Love (Diplo Remix),The Outfield,Your Love (Diplo Remix),Party Hits,Playlist,USSM12403206,2752187201
I Don't Wanna Wait,David Guetta,I Don't Wanna Wait,Party Hits,Playlist,UKWLG2400013,2715243342
Set My Heart On Fire (I'm Alive x And The Beat Goes On),Majestic,Set My Heart On Fire (I'm Alive x And The Beat Goes On),Party Hits,Playlist,GBARL2400539,2775386831
I Adore You,HUGEL,I Adore You,Party Hits,Playlist,DECE72401347,2887264442
It's Not Right But It's Okay,Mr. Belt & Wezol,It's Not Right But It's Okay,Party Hits,Playlist,NLP762300246,2589549242
Sandstorm,Darude,Before the Storm,Party Hits,Playlist,FISGC9900001,11390027
Murder On The Dancefloor (PNAU Remix),Sophie Ellis-Bextor,Murder On The Dancefloor (PNAU Remix),Party Hits,Playlist,GBUM72400721,2645822882
Pedro,Jaxomy,Pedro,Party Hits,Playlist,DEE862400427,2712128861
RATATA,Willy William,RATATA,Party Hits,Playlist,FREFW2400380,3027202131
Alibi (with Pabllo Vittar & Yseult),Sevdaliza,Alibi (with Pabllo Vittar & Yseult),Party Hits,Playlist,NL47E2400004,2843869922
For Life (feat. Nile Rodgers),Kygo,For Life (feat. Nile Rodgers),Party Hits,Playlist,USRC12400376,2742713321
The Sound of Silence (CYRIL Remix),Disturbed,The Sound of Silence (CYRIL Remix),Party Hits,Playlist,USRE12400063,2643618032
CUFF IT,Beyoncé,RENAISSANCE,Party Hits,Playlist,USSM12206232,1842063487
Houdini,Dua Lipa,Houdini,Party Hits,Playlist,GBAHT2301246,2525537871
Prada,cassö,Prada,Party Hits,Playlist,GBCEN2300147,2403785095
"Hey You (No, You Don't Have to Go)",Pony Pony Run Run,"Hey You (No, You Don't Have to Go)",Party Hits,Playlist,FR6F32402800,2833592762
"Freed From Desire (prod. Molella, Phil Jay)",Gala,Come Into My Life (The Album),Party Hits,Playlist,ITA179700143,6907156
DESPECHÁ,ROSALÍA,DESPECHÁ,Party Hits,Playlist,USSM12207207,1841999507
Afraid To Feel,LF System,Afraid To Feel,Party Hits,Playlist,GBAHT2200492,1703521177
Hotstepper,Trinix,Hotstepper,Party Hits,Playlist,FR9W12415785,2725226221
Teka,DJ Snake,Teka,Party Hits,Playlist,USUG12401184,2748714981
I'm Good (Blue),David Guetta,I'm Good (Blue),Party Hits,Playlist,UKWLG2200055,1874467717
Love Tonight,Shouse,Love Tonight,Party Hits,Playlist,USQY51798086,435303962
Clap Your Hands,Kungs,Club Azur,Party Hits,Playlist,FR9W12139309,1682697267
Rush,Troye Sivan,Something To Give Each Other,Party Hits,Playlist,AUUM72300170,2347250765
Ani Kuni,Polo & Pan,Ani Kuni,Party Hits,Playlist,FRPDG2100170,1359861952
Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Party Hits,Playlist,FRY682000003,951371292
Pepas,Farruko,Pepas,Party Hits,Playlist,USSD12100307,1411181832
Calabria (feat. Lunis & Lujavo),Dance Fruits Music,Calabria (feat. Lunis & Lujavo),Party Hits,Playlist,GBSMU9833211,1372481622
Hypnotized,Purple Disco Machine,Hypnotized,Party Hits,Playlist,AUDCB1701555,914108092
Baila Conmigo (feat. Kelly Ruiz),Dayvi,Baila Conmigo (feat. Kelly Ruiz),Party Hits,Playlist,MXF011900173,691346572
OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,OUT OUT (feat. Charli XCX & Saweetie),Party Hits,Playlist,UK4ZF2100518,1454171672
All We Got (feat. KIDDO),Robin Schulz,All We Got (feat. KIDDO),Party Hits,Playlist,DEA622000934,1107320242
Friday (feat. Mufasa & Hypeman) (Dopamine Re-Edit),Nightcrawlers,Friday (feat. Mufasa & Hypeman) (Dopamine Re-Edit),Party Hits,Playlist,GBCEN2000163,1178599842
Watch Out For This (Bumaye),Major Lazer,Major Lazer Essentials,Party Hits,Playlist,US38W1229208,569166582
Don't Worry (with Ray Dalton) (Radio Edit),Madcon,Don't Worry (feat. Ray Dalton),Party Hits,Playlist,NO5281501010,97094250
Head & Heart (feat. MNEK),Joel Corry,Head & Heart (feat. MNEK),Party Hits,Playlist,UK4ZF2000305,1006845912
Rasputin,Majestic,Rasputin,Party Hits,Playlist,DEE862100256,1242670642
Hot Stuff,Kygo,Hot Stuff,Party Hits,Playlist,SEBGA2000777,1076379582
MAMACITA,Black Eyed Peas,MAMACITA,Party Hits,Playlist,USSM12001556,923495502
Take You Dancing,Jason Derulo,Take You Dancing,Party Hits,Playlist,USAT22004479,1030654822
Somebody's Watching Me,Chico Rose,Somebody's Watching Me,Party Hits,Playlist,NLZ542000058,929484662
(It Goes Like) Nanana (Edit),Peggy Gou,(It Goes Like) Nanana (Edit),Party Hits,Playlist,GBBKS2300080,2297911845
