Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Rhapsody in Blue,André Watts,André Watts The Complete Columbia Album Collection,Piano Classics,Playlist,USSM17600427,123345488
Everest,Vulax,Everest,Piano Classics,Playlist,QZMHK2006522,1103954212
"Concerto in D Minor, BWV 974: II. Adagio",Khatia Buniatishvili,Labyrinth,Piano Classics,Playlist,USSM12004914,1086622632
"Chopin: Nocturne in C Sharp Minor, KK IVa/16",Jan Lisiecki,Chopin: Complete Nocturnes,Piano Classics,Playlist,DEN962005130,1457007992
Debussy: Clair de lune L.75,Natacha Kudritskaya,Nocturnes,Piano Classics,Playlist,FRUM71501912,111778792
"Chopin: Nocturne Op. 27, No. 2",Khatia Buniatishvili,"Chopin: Nocturne Op. 27, No. 2",Piano Classics,Playlist,USSM12204561,1770962987
Nocturne in B-Flat Minor Op. 9/1,Pascal Amoyel,Chopin: The Complete Nocturnes,Piano Classics,Playlist,FR3Z51300022,65299687
"Bach, JS: Flute Sonata in E-Flat Major, BWV 1031: II. Siciliano (Transcr. Tharaud for Piano)",Alexandre Tharaud,Bach,Piano Classics,Playlist,GBAYC2400885,2883372982
Falla / Arr. Lafitte: La vida breve: Danza española No. 1,Martha Argerich,Martha Argerich and Friends Live from the Lugano Festival 2016,Piano Classics,Playlist,CH8291700727,391236112
"The Well-Tempered Clavier, Book 1 : J.S. Bach: The Well-Tempered Clavier, Book 1: Prelude No. 1 in C Major BWV 846/1",Lang Lang,"J.S. Bach: The Well-Tempered Clavier, Book 1, BWV 846-869 / Prelude & Fugue in C Major, BWV 846: I. Prelude",Piano Classics,Playlist,DEN961801790,646298592
"Field: Nocturne No. 2 in C Minor, H.25",Elizabeth Joy Roe,Field: Complete Nocturnes,Piano Classics,Playlist,GBF071504660,124192338
"ヨッツノカキョク : Schubert: Auf dem Wasser zu singen, D. 774 - Transcription: Franz Liszt, Searle 558 No. 2",Evgeny Kissin,"Schubert: ""Wanderer"" Fantasia / Brahms: Fantasien op.116 / Liszt: Hungarian Rhapsody No.12",Piano Classics,Playlist,DEF059003440,4158287
"Ballade No. 1 in G Minor, Op. 23",Janusz Olejniczak,The Pianist (Original Motion Picture Soundtrack),Piano Classics,Playlist,USSM10209789,848990
"Satie: 3 Gymnopédies: No. 1, Lent et douloureux",Alexandre Tharaud,Le Poète du piano,Piano Classics,Playlist,GBAYC2002468,1114839172
"Ballade No. 1, Op. 23",Abdel Rahman El Bacha,Chopin: Scherzi & Ballades,Piano Classics,Playlist,FRU622051402,1252694782
"Ständchen, S. 560, No. 7 (Arr. for Piano from D. 957, No. 4)",William Youn,"Ständchen, S. 560, No. 7 (Arr. for Piano from D. 957, No. 4)",Piano Classics,Playlist,DEE861802331,553596092
"Piano Sonata No. 11 in A Major, K. 331 : Mozart: Piano Sonata No. 11 in A Major, K. 331: III. Allegretto (Alla Turca)",Christoph Eschenbach,"Mozart, W.A.: Piano Sonatas ""Alla turca""; ""Sonata facile""; Fantasie & Sonata in C minor",Piano Classics,Playlist,DEF056702701,6960255
"Lieder aus Franz Schubert's Schwanengesang, S. 560: Ständchen",Jozsef Balog,Hungaricum,Piano Classics,Playlist,HUD221400046,388593111
Je te veux,Anne Queffélec,"Satie: Gymnopédies, Gnossiennes & Other Piano Works",Piano Classics,Playlist,GBAYC8803526,4226050
"Sonata in C Minor No. 8 Pathétique, Op. 13",Ivan Moravec,Ivan Moravec Plays Beethoven,Piano Classics,Playlist,CZA160705278,64148463
"Brahms: 3 Intermezzi, Op. 117: II. Andante non troppo e con molto espressione in B-Flat Minor",Michel Dalberto,Complete Erato Recordings,Piano Classics,Playlist,FRZ201801567,553040222
"Préludes / Book 1, L.117 : Debussy: Préludes / Book 1, L.117: 8. La fille aux cheveux de lin",Pierre-Laurent Aimard,Debussy: Préludes Books 1 & 2,Piano Classics,Playlist,DEN961230308,65554298
"Nachtstücke, Op. 23 : Schumann: Nachtstücke, Op. 23: 4. Einfach",Kun-Woo Paik,Schumann,Piano Classics,Playlist,KRUM72000903,1076048432
Gnossiennes : 1. Lent,Lang Lang,The Very Best Of Lang Lang,Piano Classics,Playlist,DEN960631102,65567908
"Liszt: Consolations, S. 172: No. 3 in D-Flat Major",Paul Ji,Piano,Piano Classics,Playlist,GBAYC2002667,1160969812
"Waltz in A Minor, Op. 34, No. 2",Aldo Ciccolini,13 Waltzes,Piano Classics,Playlist,FR3Z51300276,70798973
Gogol,Chilly Gonzales,Solo Piano,Piano Classics,Playlist,DEY380480010,81328572
"Chopin: Mazurka No. 49 in F Minor, Op. Posth. 68 No. 4",Arthur Rubinstein,Legendary Rubinstein! Chopin: Complete Nocturnes & Mazurkas,Piano Classics,Playlist,GBAYC9300780,66682231
"Gaspard de la nuit, M. 55: I. Ondine. Lent",Joseph Moog,Debussy: 12 études - Ravel: Gaspard la nuit,Piano Classics,Playlist,GBPCP1800019,578876242
"Piano Sonata No. 13 in A Major, D. 664 : III. Allegro",Lucas Debargue,"Schubert, Szymanowski",Piano Classics,Playlist,USSM11706976,409052792
"Musica ricercata : No. 8, Vivace - Energico",Pierre-Laurent Aimard,"György Ligeti Edition, Vol. 3",Piano Classics,Playlist,USSM19503339,71934895
"12 Etudes For Piano, Op. 8 : Scriabin: 12 Etudes For Piano, Op. 8 - No. 12 - Alternative Version (WoO 22)",Valentina Lisitsa,Scriabin - Nuances,Piano Classics,Playlist,GBF071405160,110954600
"Children's Corner, CD 119 : Debussy: Children's Corner, CD 119: VI. Golliwogg's Cakewalk",Nelson Freire,Debussy: Préludes Book 1; Children's Corner,Piano Classics,Playlist,GBBBA0800866,104626354
"Schumann: Kreisleriana, Op. 16: No. 7 Sehr rasch",Nicholas Angelich,Dedication,Piano Classics,Playlist,GBAYC1600295,123383672
"Fantasiestücke, Op. 12: I. Des Abends",Martha Argerich,Martha Argerich - The Complete Sony Recordings,Piano Classics,Playlist,ITB007671333,125513280
"12 Etudes d'exécution transcendante, S. 139 : Liszt: 12 Etudes d'exécution transcendante, S. 139: X. Etude in F Minor. Allegro agitato molto",Claudio Arrau,Liszt: The Complete Etudes,Piano Classics,Playlist,NLA507400807,66316321
Gnossienne: No. 1,Alexandre Tharaud,Satie: Avant-dernières pensées (Bonus Track Version),Piano Classics,Playlist,FRZ140811010,72920482
"Schwanengesang, S. 560 : Liszt: Schwanengesang, S. 560: No. 4 Ständchen",Vladimir Horowitz,Horowitz: Complete Recordings on Deutsche Grammophon,Piano Classics,Playlist,DEF058603940,66371985
"Schubert: Waltz in G-Flat Major, D. Anh. I/14 ""Kupelwieser Walzer""",Mariam Batsashvili,Romantic Piano Masters,Piano Classics,Playlist,GBAYC2102824,1765498537
Gattaca : Nyman: Gattaca: The Departure,Valentina Lisitsa,Chasing Pianos - The Piano Music Of Michael Nyman,Piano Classics,Playlist,GBF071304090,75595112
"Gaspard de la nuit, M. 55 : Ravel: Gaspard de la nuit, M. 55: II. Le gibet",Martha Argerich,Early Recordings,Piano Classics,Playlist,DEF056032482,124600280
"Gaspard de la Nuit, M. 55 (Live) : 1. Ondine (Live)",Lucas Debargue,"Scarlatti, Chopin, Liszt, Ravel, Grieg & Schubert: Piano Works",Piano Classics,Playlist,USSM11600075,121596404
Liszt: Consolation No. 3,Aurélien Pontier,Liszt: Consolation,Piano Classics,Playlist,GBAYC2000469,1692166687
"Impromptu No. 1 in A-Flat Major, Op. 29",Murray Perahia,Chopin: Works for Piano,Piano Classics,Playlist,USSM18300351,1129511
"Debussy: Rêverie, CD 76, L. 68",Shani Diluka,The Proust Album - Debussy: Rêverie,Piano Classics,Playlist,GBAYC2101298,1466739582
"4 pièces pour piano, Op. 119: III. Intermezzo en Do Majeur (Grazioso e giocoso)",François Chaplin,"Brahms: Intermezzi, Rhapsodies",Piano Classics,Playlist,FROV61617309,687487892
"Piano Sonata No. 13 in A, D.664 : Schubert: Piano Sonata No. 13 in A, D.664: III. Allegro",Daniel Barenboim,Schubert: Piano Sonatas,Piano Classics,Playlist,DEN961401263,81043928
"Sechs Stücke in kanonischer Form in C Major, Op. 56: I. Nicht zu schnell",Soo Park,Schumann: Dernière pensée,Piano Classics,Playlist,FR9W11605261,124465358
"Debussy: La plus que lente, CD 128",Nelson Freire,Debussy: Préludes Book 1; Children's Corner,Piano Classics,Playlist,GBBBA0800880,104626358
Royer: Premier livre de pièces de clavecin: VI. L'Aimable,Alexandre Tharaud,Versailles - Royer: Premier livre de pièces de clavecin: VI. L'Aimable,Piano Classics,Playlist,GBAYC1900676,767191392
