Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Billie Jean,Michael Jackson,Thriller,Pop Essentials,Playlist,USSM19902991,831313
Vogue,Madonna,Celebration (double disc version),Pop Essentials,Playlist,USWB10903600,4209617
Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,Pop Essentials,Playlist,USSM18300548,72194071
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Whitney,Pop Essentials,Playlist,USAR18700121,75981528
Take on Me,a-ha,Hunting High and Low,Pop Essentials,Playlist,USWB19901214,664107
Umbrella,Rihanna,Good Girl Gone Bad: Reloaded,Pop Essentials,Playlist,USUM70736771,925106
"Stayin' Alive (From ""Saturday Night Fever"" Soundtrack)",Bee Gees,Saturday Night Fever (The Original Movie Soundtrack Deluxe Edition),Pop Essentials,Playlist,NLF057790034,427219162
Flashdance...What a Feeling (Radio Edit),Irene Cara,What a Feelin',Pop Essentials,Playlist,CAU118300354,62419007
I Want You Back,Jackson 5,The Definitive Collection,Pop Essentials,Playlist,USMO19400306,4188287
Dancing Queen,ABBA,ABBA Gold,Pop Essentials,Playlist,SEAYD7601020,884025
"Lady Marmalade (From ""Moulin Rouge"" Soundtrack)",Christina Aguilera,Moulin Rouge,Pop Essentials,Playlist,USIR10110334,2438245
Believe,Cher,Believe,Pop Essentials,Playlist,GBAHT9803002,786717
Thriller,Michael Jackson,Thriller,Pop Essentials,Playlist,USSM19902989,831319
"You're The One That I Want (From ""Grease"" Original Motion Picture Soundtrack)",John Travolta,Grease (Limited Edition),Pop Essentials,Playlist,NLF057890004,1143347
Sweet Dreams (Are Made of This) (2005 Remaster),Eurythmics,Sweet Dreams (Are Made Of This),Pop Essentials,Playlist,GBARL0300589,561836
...Baby One More Time,Britney Spears,...Baby One More Time (Digital Deluxe Version),Pop Essentials,Playlist,USJI19810404,540175
Footloose,Kenny Loggins,Footloose (15th Anniversary Collectors' Edition),Pop Essentials,Playlist,USSM19803320,848090
Bette Davis Eyes,Kim Carnes,Gypsy Honeymoon: The Best Of Kim Carnes,Pop Essentials,Playlist,USCA28100081,3153065
Sacrifice,Elton John,Sleeping With The Past,Pop Essentials,Playlist,GBALX8900001,1166025
Africa,Toto,Toto IV,Pop Essentials,Playlist,USSM19801941,1079668
Man! I Feel Like A Woman!,Shania Twain,Come On Over,Pop Essentials,Playlist,USMR19887508,7442363
Total Eclipse of the Heart,Bonnie Tyler,Heaven & Hell,Pop Essentials,Playlist,GBBBN8300002,532349
I Wanna Be Your Lover,Prince,Prince,Pop Essentials,Playlist,USWB19903516,4288235
All Night Long (All Night),Lionel Richie,Can't Slow Down,Pop Essentials,Playlist,USMO18390005,920062
I'm Still Standing,Elton John,Too Low For Zero,Pop Essentials,Playlist,GBALX8300190,1171163
Can't Get You out of My Head,Kylie Minogue,Fever,Pop Essentials,Playlist,GBAYE0100913,3098100
Celebration,Kool & The Gang,Celebrate!,Pop Essentials,Playlist,USPR38007190,95873824
Halo,Beyoncé,I AM...SASHA FIERCE,Pop Essentials,Playlist,USSM10804556,2485108
Freedom! '90 (Remastered),George Michael,Ladies & Gentlemen,Pop Essentials,Playlist,GBARL1000907,10392088
Say My Name,Destiny's Child,The Writing's On The Wall,Pop Essentials,Playlist,USSM19901056,580936
Daddy Cool,Boney M.,Diamonds (40th Anniversary Edition),Pop Essentials,Playlist,DEC737600002,96061216
Toxic,Britney Spears,In The Zone,Pop Essentials,Playlist,USJI10301005,15391618
The Best,Tina Turner,Tina!,Pop Essentials,Playlist,USCA28900109,3142379
Faith (Remastered),George Michael,Faith,Pop Essentials,Playlist,GBARL1000855,8146779
Hollaback Girl,Gwen Stefani,Love. Angel. Music. Baby.,Pop Essentials,Playlist,USIR10400847,983450
Let's Dance (2002 Remaster),David Bowie,The Best of David Bowie 1980 / 1987,Pop Essentials,Playlist,USJT10200038,3110394
Genie In a Bottle,Christina Aguilera,Christina Aguilera (Expanded Edition),Pop Essentials,Playlist,USRC19900032,15627386
Karma Chameleon (Remastered 2002),Culture Club,Colour By Numbers (Remastered / Expanded Edition),Pop Essentials,Playlist,GBAAA0201011,3090499
Don't Speak,No Doubt,The Singles Collection,Pop Essentials,Playlist,USIR19500279,1176787
No Scrubs,TLC,Fanmail,Pop Essentials,Playlist,USLF20000006,2323859
Against All Odds (Take a Look at Me Now) (2016 Remaster),Phil Collins,The Singles,Pop Essentials,Playlist,USRH11603367,134036426
Everybody (Backstreet's Back) (Radio Edit),Backstreet Boys,Backstreet's Back,Pop Essentials,Playlist,USJI19710083,15608663
Super Freak,Rick James,Street Songs (Expanded Edition),Pop Essentials,Playlist,USMO18100048,543150512
Love Shack,The B-52's,Cosmic Thing,Pop Essentials,Playlist,USRE18900030,3929350
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,ABBA Gold,Pop Essentials,Playlist,SEAYD7901120,884041
