Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Aude (emmène-moi…) (Radio Edit),Alexandre Kinn,Aude (Emmène-Moi...),Pop Folk  Français,Playlist,FRW860700020,908270
Vivant,Ben Mazué,33 ans,Pop Folk  Français,Playlist,FRZ051400203,85202776
Léa a,Batlik,Juste à côté,Pop Folk  Français,Playlist,FR3R70500150,92966738
Lourtouais,Shamal,Au zénith,Pop Folk  Français,Playlist,TCACX1723294,141430371
La discorde,NiLem,Un abri dans l'incendie,Pop Folk  Français,Playlist,FR9W11612196,360630451
Au bord de l'eau,De Palmas,Sortir,Pop Folk  Français,Playlist,FRUM70900934,4586330
Il y a Dans L'air,Olivier Maje,Au Large,Pop Folk  Français,Playlist,FR9W11415015,88495243
Mon ami d'en haut,JP Nataf,Plus de sucre,Pop Folk  Français,Playlist,FR79W0301210,7155199
Les jours,Constance Amiot,12ème parallèle,Pop Folk  Français,Playlist,FR9W11318000,78100840
Pas fragile,Buridane,Pas fragile,Pop Folk  Français,Playlist,FR6V80289061,60849973
T'es beau,Pauline Croze,Pauline Croze,Pop Folk  Français,Playlist,FRI420400050,3770305
Darwin avait raison,Féloche,La vie cajun,Pop Folk  Français,Playlist,FR99S0900009,43355861
Sur un volcan,La Maison Tellier,Beauté pour tous,Pop Folk  Français,Playlist,FR19X1300029,69927275
Je Claque Des Doigts,Madjo,Trapdoor,Pop Folk  Français,Playlist,FRUM70902054,7857270
L'heure d'hiver,Ben Ricour,Ton image,Pop Folk  Français,Playlist,FRZ040700161,789069
Au Grand Jamais,Bensé,Album - Réédition,Pop Folk  Français,Playlist,FR47Q0800250,92097672
Moshé,Bensé,Album - Réédition,Pop Folk  Français,Playlist,FR47Q0800320,92097688
L'Autre finistère,Les Innocents,Fous à lier,Pop Folk  Français,Playlist,FRZ189110020,355184351
Petite Marie,Francis Cabrel,L'essentiel / 1977 - 2007,Pop Folk  Français,Playlist,FRZ087701030,551991
"Je t'aimais, je t'aime, je t'aimerai (Remastered)",Francis Cabrel,Samedi soir sur la terre (Remastered),Pop Folk  Français,Playlist,FRG951300350,72066529
Au Large,Olivier Maje,Au Large,Pop Folk  Français,Playlist,FR9W11415016,88495245
