Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
if i were u,blackbear,if i were u,Pop Party,Playlist,USUG12002375,1051016342
STAY,The Kid Laroi,STAY,Pop Party,Playlist,USSM12103949,1425844092
Side To Side,Ariana Grande,Dangerous Woman,Pop Party,Playlist,USUM71602107,124995668
Cool for the Summer,Demi Lovato,Confident (Deluxe Edition),Pop Party,Playlist,USHR11536621,109703218
I'm Good (Blue),David Guetta,I'm Good (Blue),Pop Party,Playlist,UKWLG2200055,1874467717
Promises,Calvin Harris,Promises,Pop Party,Playlist,GBARL1801049,542335432
Break Free,Ariana Grande,My Everything,Pop Party,Playlist,USUM71409719,83844544
Starships,Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe),Pop Party,Playlist,USCM51200060,28852751
Spice Up Your Life,Spice Girls,Spiceworld,Pop Party,Playlist,GBAAA9710052,3134155
Heart Wants What It Wants,Bebe Rexha,Bebe,Pop Party,Playlist,USWB12207791,2226796787
Get Right,Jennifer Lopez,Rebirth,Pop Party,Playlist,USSM10414903,596589
Just Dance,Lady Gaga,The Fame Monster (International Deluxe),Pop Party,Playlist,USUM70807646,4709947
DESPECHÁ,ROSALÍA,MOTOMAMI +,Pop Party,Playlist,USSM12207207,1902534147
Dynamite,BTS,Dynamite (NightTime Version),Pop Party,Playlist,QM7282022872,1564465082
WOW,Zara Larsson,WOW,Pop Party,Playlist,USSM11901898,659373382
24K Magic,Bruno Mars,24K Magic,Pop Party,Playlist,USAT21602944,136336110
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,Pop Party,Playlist,USUG11500741,106506516
Diamonds,Sam Smith,Love Goes,Pop Party,Playlist,GBUM72002531,1118050432
Bye Bye Bye,*NSYNC,No Strings Attached,Pop Party,Playlist,USJI10000001,632447
Houdini,Dua Lipa,Houdini,Pop Party,Playlist,GBAHT2301246,2525537871
Hawái,Maluma,Hawái,Pop Party,Playlist,USSD12000526,1129572462
Don't Cha (Album Version),The Pussycat Dolls,PCD Tour Edition (International Tour Edition),Pop Party,Playlist,USUM70503191,1574316
Let's Love,David Guetta,Let's Love,Pop Party,Playlist,UKWLH2000001,1072800342
Hot Stuff,Kygo,Hot Stuff,Pop Party,Playlist,SEBGA2000777,1076379582
Blinding Lights,The Weeknd,After Hours,Pop Party,Playlist,USUG11904206,908604612
California Gurls,Katy Perry,Teenage Dream: The Complete Confection,Pop Party,Playlist,USCA21001135,17135110
"Let Me Move You (From the Netflix film ""Work It"")",Sabrina Carpenter,Let Me Move You (From the Netflix film Work It),Pop Party,Playlist,USHR12040322,1026741122
Dream Girl (Remix),Ir Sais,Dream Girl (Remix),Pop Party,Playlist,USSD11900381,819977442
WOW (feat. Sabrina Carpenter) (Remix),Zara Larsson,WOW (feat. Sabrina Carpenter) (Remix),Pop Party,Playlist,USSM12005545,1088167762
Cheap Thrills (feat. Sean Paul),Sia,Cheap Thrills (feat. Sean Paul),Pop Party,Playlist,USRC11600201,118986142
Lush Life,Zara Larsson,So Good,Pop Party,Playlist,SEWEE1500509,144389048
Hung Up,Madonna,Confessions on a Dance Floor,Pop Party,Playlist,USWB10504319,679217
Only Girl (In The World),Rihanna,Loud,Pop Party,Playlist,USUM71023200,13529563
Juice,Lizzo,Cuz I Love You,Pop Party,Playlist,USAT21813044,666286232
Don't Start Now,Dua Lipa,Future Nostalgia,Pop Party,Playlist,GBAHT1901121,1124841652
Umbrella,Rihanna,Good Girl Gone Bad: Reloaded,Pop Party,Playlist,USUM70736771,925106
Bad Habits,Ed Sheeran,=,Pop Party,Playlist,GBAHS2100318,1529509472
Take You Dancing,Jason Derulo,Take You Dancing,Pop Party,Playlist,USAT22004479,1030654822
Sorry,Justin Bieber,Purpose (Deluxe),Pop Party,Playlist,USUM71516760,112662366
Woman,Doja Cat,Planet Her,Pop Party,Playlist,USRC12101532,1410738042
Wannabe,Spice Girls,Spice,Pop Party,Playlist,GBAAA9600008,3133738
Shake It Off,Taylor Swift,1989 (Deluxe),Pop Party,Playlist,USCJY1431349,89077555
About Damn Time,Lizzo,Special,Pop Party,Playlist,USAT22203704,1818665207
As It Was,Harry Styles,Harry's House,Pop Party,Playlist,USSM12200612,1756569597
Truth Hurts,Lizzo,Cuz I Love You (Deluxe),Pop Party,Playlist,USAT21703896,674416352
BICHOTA,KAROL G,BICHOTA,Pop Party,Playlist,USUM72019324,1110762302
Rain On Me,Lady Gaga,Chromatica,Pop Party,Playlist,USUM72004304,973317062
CUFF IT,Beyoncé,RENAISSANCE,Pop Party,Playlist,USSM12206232,1842063487
River,Miley Cyrus,Endless Summer Vacation,Pop Party,Playlist,USSM12209783,2182389197
Smile,Katy Perry,Smile,Pop Party,Playlist,USUM72013803,1059218342
Say So,Doja Cat,Hot Pink,Pop Party,Playlist,USRC11903454,797228462
