Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Caught Up,USHER,Confessions (Expanded Edition),R&B Party Anthems,Playlist,USAR10400975,13783454
"1, 2 Step (feat. Missy Elliott) (Main)",Ciara,Goodies,R&B Party Anthems,Playlist,USLF20400135,569213
Lose My Breath,Destiny's Child,Destiny Fulfilled,R&B Party Anthems,Playlist,USSM10412855,581077
Let Me Blow Ya Mind,Eve,Scorpion,R&B Party Anthems,Playlist,USIR10110155,2457787
Crazy In Love (feat. JAY-Z),Beyoncé,Dangerously In Love,R&B Party Anthems,Playlist,USSM10305425,609244
Jenny from the Block (feat. Jadakiss & Styles P.) (Track Masters Remix),Jennifer Lopez,This Is Me...Then,R&B Party Anthems,Playlist,USSM10212454,15196522
Don't Cha,The Pussycat Dolls,PCD,R&B Party Anthems,Playlist,USUM70503191,1161005
No Diggity,Blackstreet,No Diggity: The Very Best Of Blackstreet,R&B Party Anthems,Playlist,USIR19600978,916496
Umbrella,Rihanna,Good Girl Gone Bad: Reloaded,R&B Party Anthems,Playlist,USUM70736771,925106
Promiscuous,Nelly Furtado,Loose,R&B Party Anthems,Playlist,USUM70603473,2430338
Do It To It,Cherish,Unappreciated,R&B Party Anthems,Playlist,USCA20501621,3414898
Me & U,Cassie,Cassie (U.S. Version),R&B Party Anthems,Playlist,USBB40610361,2793680
Milkshake,Kelis,The Hits,R&B Party Anthems,Playlist,USAR10301131,2279314797
Get Right,Jennifer Lopez,Rebirth,R&B Party Anthems,Playlist,USSM10414903,596589
Family Affair,Mary J. Blige,No More Drama,R&B Party Anthems,Playlist,USMC10111369,4945659
Doo Wop (That Thing),Ms. Lauryn Hill,Pop Music: The Modern Era 1976-1999,R&B Party Anthems,Playlist,USSM19802337,15194515
This Is How We Do It,Montell Jordan,Best Of Montell Jordan,R&B Party Anthems,Playlist,USUM70728132,107351278
Carry Out (Featuring Justin Timberlake),Timbaland,Shock Value II (International Deluxe version),R&B Party Anthems,Playlist,USUM70915229,4833722
Run It! (Featuring Juelz Santana),Chris Brown,Chris Brown,R&B Party Anthems,Playlist,USJI10500482,13140203
It's Like That,Mariah Carey,The Emancipation of Mimi,R&B Party Anthems,Playlist,USIR20500028,2511969
Rock Your Body,Justin Timberlake,Justified,R&B Party Anthems,Playlist,USJI10200367,970410
Dirrty (feat. Redman),Christina Aguilera,Stripped,R&B Party Anthems,Playlist,USRC10200845,965215
Frontin' (feat. JAY-Z) (Club Mix),Pharrell Williams,The Neptunes Present... Clones,R&B Party Anthems,Playlist,USAR10300553,75063691
Gettin' Jiggy Wit It,Will Smith,Big Willie Style,R&B Party Anthems,Playlist,USSM19702582,1038048
My Lovin' (You're Never Gonna Get It),En Vogue,The Very Best of En Vogue,R&B Party Anthems,Playlist,USEW19200001,772247
Hot In Herre,Nelly,Nellyville,R&B Party Anthems,Playlist,USUR10200371,2447436
What Have You Done For Me Lately,Janet Jackson,Control,R&B Party Anthems,Playlist,USAM19500846,2238068
Mesmerize,Ja Rule,The Last Temptation,R&B Party Anthems,Playlist,USDJ20201253,60722561
Dilemma (feat. Kelly Rowland),Nelly,Simply Deep,R&B Party Anthems,Playlist,USSM10211190,72193797
Goodies (feat. Petey Pablo),Ciara,Goodies,R&B Party Anthems,Playlist,USLF20400041,13145340
Signs,Snoop Dogg,West Coast Hip-Hop,R&B Party Anthems,Playlist,USMC10400893,571900972
Single Ladies (Put a Ring on It),Beyoncé,I AM...SASHA FIERCE,R&B Party Anthems,Playlist,USSM10803760,2485118
Thong Song,Sisqó,Unleash The Dragon,R&B Party Anthems,Playlist,USDJ29905218,2548870
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,Jealous Ones Still Envy (J.O.S.E),R&B Party Anthems,Playlist,USAT20110293,3905124
Bootylicious,Destiny's Child,Survivor,R&B Party Anthems,Playlist,USSM10102677,4006939
Pon de Replay,Rihanna,Music Of The Sun,R&B Party Anthems,Playlist,USIR20500331,2953166
Heartbreaker (Album Version Featuring Jay-Z),Mariah Carey,Rainbow,R&B Party Anthems,Playlist,XXFM19918073,4270752
Play,Jennifer Lopez,J.Lo,R&B Party Anthems,Playlist,USSM10018514,623060
Buttons,The Pussycat Dolls,PCD,R&B Party Anthems,Playlist,USUM70500444,1161009
Kiss Me Thru The Phone,Soulja Boy,iSouljaBoyTellem,R&B Party Anthems,Playlist,USUM70848200,2675175
Señorita,Justin Timberlake,Justified,R&B Party Anthems,Playlist,USJI10200363,970667
She Came II Give It II U (feat. Nicki Minaj),USHER,She Came II Give It II U (feat. Nicki Minaj),R&B Party Anthems,Playlist,USRC11401659,80924346
Gimme That,Chris Brown,Chris Brown,R&B Party Anthems,Playlist,USJI10500721,13140206
Come Get It Bae,Pharrell Williams,Coffeehouse Classics Vol. 1,R&B Party Anthems,Playlist,USSM11400861,105767634
Can't Hold Us Down (feat. Lil' Kim),Christina Aguilera,Stripped,R&B Party Anthems,Playlist,USRC10201077,967328
Get Ur Freak On,Missy Elliott,Miss E... So Addictive,R&B Party Anthems,Playlist,USEW20100036,671140
Yeah! (feat. Lil Jon & Ludacris),USHER,Confessions (Expanded Edition),R&B Party Anthems,Playlist,USAR10301423,13783449
Where the Party At (feat. Nelly),Jagged Edge,Jagged Little Thrill,R&B Party Anthems,Playlist,USSM10103412,830309
Pony,Ginuwine,Ginuwine... The Bachelor,R&B Party Anthems,Playlist,USSM19601388,82524066
Hit 'Em Up Style (Oops!),Blu Cantrell,So Blu,R&B Party Anthems,Playlist,USAR10100372,958747
