Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Hate to see it,DaniLeigh,My Side,R&B Rewind,Playlist,USUM72209473,1825958487
CYBAH,Syd,CYBAH,R&B Rewind,Playlist,USQX92104615,1686047717
Sure Thing,Miguel,All I Want Is You,R&B Rewind,Playlist,USJI10800160,7675649
Slow Down,VanJess,Homegrown,R&B Rewind,Playlist,USRC12003298,1221170412
Come Over (feat. Popcaan),Jorja Smith,Come Over (feat. Popcaan),R&B Rewind,Playlist,QM6N22087511,983545552
Tread Carefully,SZA,Ctrl (Deluxe),R&B Rewind,Playlist,USRC12202149,1782698157
Under The Influence,Chris Brown,Indigo (Extended),R&B Rewind,Playlist,USRC11902743,764420732
All Hands on Deck,Tinashe,Aquarius,R&B Rewind,Playlist,USRC11402015,86096869
6 Inch (feat. The Weeknd),Beyoncé,Lemonade,R&B Rewind,Playlist,USSM11603179,669486662
Switch,6lack,East Atlanta Love Letter,R&B Rewind,Playlist,USUM71807938,552825912
Lost Me,GIVĒON,Give Or Take,R&B Rewind,Playlist,USSM12107665,1799423677
Can I,Kehlani,It Was Good Until It Wasn't,R&B Rewind,Playlist,USAT22002468,953883302
Pressure,Ari Lennox,Pressure,R&B Rewind,Playlist,USUM72115142,1484025472
CRZY,Kehlani,SweetSexySavage (Deluxe),R&B Rewind,Playlist,USAT21602113,140861961
Drunk in Love (feat. JAY-Z),Beyoncé,BEYONCÉ,R&B Rewind,Playlist,USSM11307800,73724283
Mine,Bazzi,COSMIC,R&B Rewind,Playlist,USAT21704227,485709812
Na Na,Trey Songz,Trigga Reloaded,R&B Rewind,Playlist,USAT21304769,102172428
Deep End,Foushee,Deep End,R&B Rewind,Playlist,USRC12002568,1031567822
A Muse,dvsn,A Muse In Her Feelings,R&B Rewind,Playlist,USWB11902981,930387782
Bare Wit Me,Teyana Taylor,The Album,R&B Rewind,Playlist,USUM72010832,991362072
Tell Your Friends,The Weeknd,Beauty Behind The Madness,R&B Rewind,Playlist,USUG11500917,106506508
Chocolate.,Kiana Ledé,KIKI,R&B Rewind,Playlist,USUM72003404,916267522
Only Love,Pip Millett,"When Everything Is Better, I'll Let You Know",R&B Rewind,Playlist,GBARL2200949,1974411347
BOSS,The Carters,EVERYTHING IS LOVE,R&B Rewind,Playlist,QMJMT1801770,514852272
Lift Off,Labrinth,Lift Off,R&B Rewind,Playlist,USSM12106350,1838566167
The Color Violet,Tory Lanez,Alone At Prom,R&B Rewind,Playlist,QZTGW2100275,1579438382
Letter To Ur Ex,Mahalia,Letter To Ur Ex,R&B Rewind,Playlist,GBAHS2200001,1734462157
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,Ivory,R&B Rewind,Playlist,USWB12200423,1690707237
Try Peace...,Tiana Major9,Try Peace...,R&B Rewind,Playlist,USUG12200420,1667163522
Real Man,Behani,Real Man,R&B Rewind,Playlist,QZNMX2241247,1965314557
do re mi,blackbear,digital druglord,R&B Rewind,Playlist,USLD91700850,377416011
Nothing Even Matters,SiR,Nothing Even Matters,R&B Rewind,Playlist,USRC12203444,1913156097
Last Call,Khalid,Last Call,R&B Rewind,Playlist,USRC12200429,1666266312
Shirt,SZA,Shirt,R&B Rewind,Playlist,USRC12203632,1959441337
Walk Through The Fire,Yung Bleu,TANTRA,R&B Rewind,Playlist,USUYG1408737,1987059537
24 Hrs,Kaash Paige,24 Hrs,R&B Rewind,Playlist,USUG12200193,1762726947
FlEXiBle,Tory Lanez,LoVE me NOw (ReLoAdeD),R&B Rewind,Playlist,USUM71815981,685832762
Birthday,Disclosure,ENERGY (Deluxe),R&B Rewind,Playlist,GBUM71900066,1059203032
Purple Hearts,Kendrick Lamar,Mr. Morale & The Big Steppers,R&B Rewind,Playlist,USUM72208975,1766771577
After The Storm,Kali Uchis,Isolation,R&B Rewind,Playlist,GBUM71706492,480769222
Am I Wrong,Anderson .Paak,Malibu,R&B Rewind,Playlist,DEU241507393,115416808
jealousy (feat. rema),FKA twigs,CAPRISONGS,R&B Rewind,Playlist,USAT22200032,1616710022
Friends,Monica,Friends,R&B Rewind,Playlist,TCAGH2299728,1821823297
Hate Our Love,Queen Naija,Hate Our Love,R&B Rewind,Playlist,USUG12200101,1637396322
Spice Girl,Amine,Good For You,R&B Rewind,Playlist,USUG11700903,386146311
Softly (Remix),Amber Mark,Softly (Remix),R&B Rewind,Playlist,GBUM72108910,1614026622
"Hit Different (feat. Ty Dolla $ign, The Neptunes & Pharrell Williams)",SZA,"Hit Different (feat. Ty Dolla $ign, The Neptunes & Pharrell Williams)",R&B Rewind,Playlist,USRC12002998,1068098412
Every Kind Of Way,H.E.R.,H.E.R.,R&B Rewind,Playlist,USRC11700627,417767182
Young Dumb & Broke,Khalid,American Teen,R&B Rewind,Playlist,USRC11700144,143172406
BELIEVE IT,PARTYNEXTDOOR,PARTYMOBILE,R&B Rewind,Playlist,USWB12000386,914652682
