Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
tv off,Kendrick Lamar,GNX,Rap Bangers,Playlist,USUG12408493,3106586681
NOKIA,Drake,$ome $exy $ongs 4 U,Rap Bangers,Playlist,USLD91772032,3232025631
Outfit,Lil Baby,Outfit,Rap Bangers,Playlist,USUG12500016,3160593061
GOT DAMN,Gunna,GOT DAMN,Rap Bangers,Playlist,USAT22411926,3141980951
Money On Money (feat. Future),Young Thug,Money On Money (feat. Future),Rap Bangers,Playlist,USAT22502845,3339022671
GBP,Central Cee,GBP,Rap Bangers,Playlist,USSM12408428,3185132481
Ace Trumpets,Clipse,Ace Trumpets,Rap Bangers,Playlist,QZD442001478,3389597031
4X4,Travis Scott,4X4,Rap Bangers,Playlist,USSM12410202,3200805881
OWA OWA,Lil Tecca,OWA OWA,Rap Bangers,Playlist,USUM72505592,3387316711
Legends,Quavo,Legends,Rap Bangers,Playlist,USUG12500219,3317728661
Mo Chicken (feat. French Montana),Bossman Dlow,Dlow Curry,Rap Bangers,Playlist,USQX92407082,3124902971
Blue Devil,Key Glock,Glockaveli,Rap Bangers,Playlist,USA2P2511887,3334002431
WHIM WHAMIEE,Pluto,WHIM WHAMIEE,Rap Bangers,Playlist,USUM72503103,3308139521
Dark Thoughts,Lil Tecca,Dark Thoughts,Rap Bangers,Playlist,USUM72502156,3277684691
WTHELLY,Rob49,WTHELLY,Rap Bangers,Playlist,USA2P2501009,3248608011
squabble up,Kendrick Lamar,GNX,Rap Bangers,Playlist,USUG12408494,3106586631
Classy Girl,Turbo,Classy Girl,Rap Bangers,Playlist,USAT22501102,3262493631
No Pole,Don Toliver,Love Sick (Deluxe),Rap Bangers,Playlist,USAT22302146,2170452207
"Dum, Dumb, and Dumber",Lil Baby,"Dum, Dumb, and Dumber",Rap Bangers,Playlist,USUG12500001,3160589381
GIMME A HUG,Drake,$ome $exy $ongs 4 U,Rap Bangers,Playlist,USLD91772028,3232025591
Dope Boy Phone,Quavo,Dope Boy Phone,Rap Bangers,Playlist,USUG12500223,3347270811
Gang Baby,NLE Choppa,SLUT SZN,Rap Bangers,Playlist,USWB12401119,3003941011
LV Bag (feat. j-hope of BTS & Pharrell Williams),Don Toliver,LV Bag (feat. j-hope of BTS & Pharrell Williams),Rap Bangers,Playlist,USAT22500788,3241927121
Giannis Remix,Hurricane Wisdom,Giannis Remix,Rap Bangers,Playlist,QZSYP2478800,3141376331
Tweaker (Remix),GELO,Tweaker (Remix),Rap Bangers,Playlist,USUG12500913,3210670781
LIFT SERVICE,NAV,OMW2 REXDALE (DELUXE),Rap Bangers,Playlist,USUM72502871,3339429901
HIM ALL ALONG,Gunna,HIM ALL ALONG,Rap Bangers,Playlist,USAT22409580,3047808531
REAL ME,NAV,REAL ME,Rap Bangers,Playlist,USUM72502203,3286066931
Blick Sum (feat. Playboi Carti),Latto,Blick Sum (feat. Playboi Carti),Rap Bangers,Playlist,USRC12403840,3202442471
BRIAN STEEL,Drake,$ome $exy $ongs 4 U,Rap Bangers,Playlist,USLD91772027,3232025581
Dumb,Tyga,NSFW,Rap Bangers,Playlist,USUYG1594533,3149489571
Vanish Mode,Lil Durk,Deep Thoughts,Rap Bangers,Playlist,USQX92405473,3285848741
Limitless,Central Cee,CAN'T RUSH GREATNESS,Rap Bangers,Playlist,USSM12408432,3196387921
Wake Em Up,Murda Beatz,Wake Em Up,Rap Bangers,Playlist,US38Y2506201,3212654301
Can't Hide It (feat. Jhené Aiko),Lil Durk,Can't Hide It (feat. Jhené Aiko),Rap Bangers,Playlist,USQX92405476,3274307551
GOOD CREDIT,Playboi Carti,MUSIC,Rap Bangers,Playlist,USUM72414857,3278625311
peekaboo,Kendrick Lamar,GNX,Rap Bangers,Playlist,USUG12408501,3106586701
Preference,Gucci Mane,Preference,Rap Bangers,Playlist,USAT22412078,3173885801
Help Me,Real Boston Richey,Help Me,Rap Bangers,Playlist,USSM12404181,2822570852
Stuff,Lil Baby,WHAM (Extended Version),Rap Bangers,Playlist,USUG12500008,3174193311
The Grinch,Key Glock,The Grinch,Rap Bangers,Playlist,USA2P2511892,3316493571
FOMDJ,Playboi Carti,MUSIC - SORRY 4 DA WAIT,Rap Bangers,Playlist,USUM72502625,3294753841
Demons In The Dark,Money Man,Demons In The Dark,Rap Bangers,Playlist,USUYG1574486,3001609841
FEEL,Kevin Gates,FEEL,Rap Bangers,Playlist,QM24S2406837,3078196351
Can You Please,GELO,Can You Please,Rap Bangers,Playlist,USUG12501868,3262664761
Swing My Way,Offset,Swing My Way,Rap Bangers,Playlist,USUM72414323,3139029721
Apex,Lil Tjay,Apex,Rap Bangers,Playlist,US38Y2507277,3227568951
Or What,NLE Choppa,Or What,Rap Bangers,Playlist,USWB12403878,2973265171
Life of a Boss,BigXthaPlug,TAKE CARE (DELUXE),Rap Bangers,Playlist,QZJG52565639,3191731631
Shake Dat Ass (Twerk Song) (feat. GloRilla),Bossman Dlow,Dlow Curry,Rap Bangers,Playlist,USQX92407099,3124903131
