Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
tv off,Kendrick Lamar,GNX,Rap Workout,Playlist,USUG12408493,3106586681
No Face,Drake,No Face,Rap Workout,Playlist,USUG12405322,2973306121
TOO FAST,Future,MIXTAPE PLUTO,Rap Workout,Playlist,USSM12406731,2999595601
BAND4BAND,Central Cee,BAND4BAND,Rap Workout,Playlist,USSM12404354,2816017052
ALL RED,Playboi Carti,ALL RED,Rap Workout,Playlist,USUM72410900,2992749261
treesh,Gunna,One of Wun,Rap Workout,Playlist,USAT22403361,2790188092
redrum,21 Savage,american dream,Rap Workout,Playlist,USSM12309164,2614584352
If We Being Rëal,Yeat,2093,Rap Workout,Playlist,USUM72401643,2663441612
Turn Yo Clic Up,Quavo,Turn Yo Clic Up,Rap Workout,Playlist,USUG12300051,2366175665
Did It,DaBaby,Did It,Rap Workout,Playlist,USUM72410712,2992649601
Let's Go,Key Glock,Let's Go,Rap Workout,Playlist,USUYG1494308,2607469812
BLACK FLAG FREESTYLE,Denzel Curry,BLACK FLAG FREESTYLE,Rap Workout,Playlist,USC4R2443037,2851807302
MEET THE BOSS,Destroy Lonely,LOVE LASTS FOREVER V2.5,Rap Workout,Playlist,USUM72410466,3001581551
Not Like Us,Kendrick Lamar,Not Like Us,Rap Workout,Playlist,USUG12400910,2783963122
FE!N (feat. Playboi Carti),Travis Scott,UTOPIA,Rap Workout,Playlist,USSM12305010,2386586085
ss,Ken Carson,A Great Chaos (Deluxe),Rap Workout,Playlist,USUM72407802,2868707392
THE REV3NGE,Joey Bada$$,THE REV3NGE,Rap Workout,Playlist,USQX92104789,1616825442
Wildlife,Scorey,Wildlife,Rap Workout,Playlist,USSM12403326,2811127612
Mama,Rob49,Mama,Rap Workout,Playlist,USA2P2330132,2387913155
Breathe,Yeat,2093 (P2),Rap Workout,Playlist,USUM72401623,2666709472
Tobey,Eminem,Tobey,Rap Workout,Playlist,USUG12403400,2874501602
There I Go (feat. J. Cole & Mike WiLL Made-It),Gucci Mane,There I Go (feat. J. Cole & Mike WiLL Made-It),Rap Workout,Playlist,USAT22306489,2422794185
fukumean,Gunna,a Gift & a Curse,Rap Workout,Playlist,USAT22306575,2329875155
No Hook 2,Key Glock,No Hook 2,Rap Workout,Playlist,USUYG1511554,2485790831
War Bout It (feat. 21 Savage),Lil Durk,Almost Healed,Rap Workout,Playlist,USQX92303175,2296711565
$WISH,Vic Mensa,$WISH,Rap Workout,Playlist,QMJMT2304674,2238183337
SpinDatBac,42 Dugg,SpinDatBac,Rap Workout,Playlist,USUG12305150,2536843291
Big Diamonds,2 Chainz,Welcome 2 Collegrove,Rap Workout,Playlist,USUG12308360,2541885961
First Person Shooter,Drake,For All The Dogs,Rap Workout,Playlist,USUG12306071,2486117571
NO FINSTA,DaBaby,LET'S DO IT,Rap Workout,Playlist,USUM72314587,2486075221
Adonis Interlude (The Montage),Dreamville,Creed III: The Soundtrack,Rap Workout,Playlist,USUM72302959,2171212507
FREE JUJU,Mozzy,FREE JUJU,Rap Workout,Playlist,USA2P2348223,2534092431
Aston Martin Truck,Roddy Ricch,Aston Martin Truck,Rap Workout,Playlist,USAT22218509,1973177147
I'm Geekin (feat. NLE Choppa & BIA) (Remix),DDG,I'm Geekin (feat. NLE Choppa & BIA) (Remix),Rap Workout,Playlist,USSM12303952,2326317305
Fear No Man,Money Man,Fear No Man,Rap Workout,Playlist,USUYG1500748,2392399535
06 Gucci (feat. DaBaby & 21 Savage),Gucci Mane,06 Gucci (feat. DaBaby & 21 Savage),Rap Workout,Playlist,USAT22300465,2204151507
24 hours to live,Joyner Lucas,24 hours to live,Rap Workout,Playlist,QMFME2351762,2501036701
