Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Laisse pas traîner ton fils,Suprême NTM,Laisse pas traîner ton fils,Rapstars '90s,Playlist,FRZ089801020,542254
"L'amour du risque (Extrait de la bande originale du film ""Taxi"")",Fonky Family,"L'amour du risque (Extrait de la bande originale du film ""Taxi"")",Rapstars '90s,Playlist,FRQ298000040,2840588402
Samuraï,Shurik'N,Où je vis,Rapstars '90s,Playlist,FRY689802660,3276708
"Bad Boys de Marseille, Pt. 2 (feat. Shurik'n)",Akhenaton,Double Chill Burger (Best of),Rapstars '90s,Playlist,FRY689610004,3118942
Les flammes du mal,Passi,Ma 6-t va crack-er (Bande originale du film),Rapstars '90s,Playlist,FRW889700005,2554556
L'empire du côté obscur,IAM,L'école du micro d'argent,Rapstars '90s,Playlist,FRY689700530,73956354
That's My People,Suprême NTM,L'intégrale,Rapstars '90s,Playlist,FRZ089801110,2189056
Appelle moi Rohff,Rohff,Le code de l'honneur,Rapstars '90s,Playlist,FRZ042101158,3041328011
Tonton du bled,113,Tonton du bled,Rapstars '90s,Playlist,FR04Q9900075,3217059461
Nés sous la même étoile,IAM,L'école du micro d'argent,Rapstars '90s,Playlist,FRY689700490,73956350
Tonton du bled,113,Sampler Addictive spécial rap français (2008 édition),Rapstars '90s,Playlist,FR8GV1901830,623184872
Sans rémission,Fonky Family,Si Dieu veut....,Rapstars '90s,Playlist,FRQ299700003,1036269
Le bilan,Neg'Marrons,Le Bilan,Rapstars '90s,Playlist,FRZ080000190,895161
Ma Benz (feat. Lord Kossity),Suprême NTM,Ma Benz (feat. Lord Kossity),Rapstars '90s,Playlist,FRZ089801090,555366
Le maton me guette,Passi,Les tentations (Édition collector 1997-2017),Rapstars '90s,Playlist,FRV649700004,429294782
J'Pète Les Plombs (Intro),Disiz,Le Poisson Rouge,Rapstars '90s,Playlist,FRU210080810,2423948
Petit frère,IAM,L'école du micro d'argent,Rapstars '90s,Playlist,FRY689700510,73956352
That's My People (Live à l'AccorHotels Arena 2019),Suprême NTM,La der - l'ultime concert à l'Accorhotels Arena (Live),Rapstars '90s,Playlist,FRZ082000526,1209496102
Affaires de famille (feat. Doc Gynéco),Ärsenik,Quelques gouttes suffisent,Rapstars '90s,Playlist,FRY689802930,3134419
Seine Saint-Denis Style,Suprême NTM,Suprême NTM,Rapstars '90s,Playlist,FRZ089801030,870855
La saga,IAM,L'école du micro d'argent,Rapstars '90s,Playlist,FRY689700500,73956351
Retour aux pyramides,X-Men,Ma 6-t va crack-er (Bande originale du film),Rapstars '90s,Playlist,FRW889700013,2554564
Je danse le Mia (Le terrible Funk Remix Extended),IAM,Je Danse Le Mia,Rapstars '90s,Playlist,FRY689300741,3097531
Pose ton Gun,Suprême NTM,Suprême NTM,Rapstars '90s,Playlist,FRZ089801010,870862
Angela,Saïan Supa Crew,Klr,Rapstars '90s,Playlist,FRS639900064,3135183
"Demain, c'est loin",IAM,L'école du micro d'argent,Rapstars '90s,Playlist,FRY689700620,73956365
Affirmative Action (feat. Suprême NTM) (Saint-Denis Style Remix),Nas,L'intégrale,Rapstars '90s,Playlist,FRZ089603770,2189036
Lettre,Shurik'N,Où je vis,Rapstars '90s,Playlist,FRY689802760,3134405
16 rimes (Le chargeur est surchargé) [feat. Lunatic],La Brigade,"Generations rap français, épisode 1 : les grands classiques du rap français",Rapstars '90s,Playlist,FR8GV1720750,506685402
On fait les choses,Rohff,Première Classe 1: Les sessions PC1,Rapstars '90s,Playlist,FR6V80258143,36315731
Bladi,Freeman - Khaled - K-Rhyme Le Roi,l'palais de justice,Rapstars '90s,Playlist,FRY689804540,3134657
Le fruit défendu,Mystik,Le chant de l'exilé,Rapstars '90s,Playlist,FR08S9900003,2702713
Tout Saigne (Remasterisé En 2006),La Clinique,Hostile Hip Hop,Rapstars '90s,Playlist,FRS949600655,3117069
La preuve par 3,Saïan Supa Crew,Klr,Rapstars '90s,Playlist,FRS639900060,3135179
Je zappe et je mate,Passi,Les tentations (Édition collector 1997-2017),Rapstars '90s,Playlist,FRV649700002,429294772
Vanessa,Doc Gynéco,Premiere consultation,Rapstars '90s,Playlist,FRZ189600250,3134134
One One One rien pour l'héroïne,X-Men,"Jeunes, coupables et libres",Rapstars '90s,Playlist,FR8GV1600580,137552835
Dealer pour survivre,Expression Direkt,LA HAINE (Musiques inspirées du film),Rapstars '90s,Playlist,FRY681200048,3046865151
Raz de marée,Saïan Supa Crew,Klr,Rapstars '90s,Playlist,FRS639900052,3135171
Hardcore,Ideal J,Le combat continue,Rapstars '90s,Playlist,FRR619880500,1111413092
Une princesse est morte,KDD,Résurrection,Rapstars '90s,Playlist,FRZ089800300,1037029
On est encore là (Live à l'AccorHotels Arena 2019),Suprême NTM,La der - l'ultime concert à l'Accorhotels Arena (Live),Rapstars '90s,Playlist,FRZ082000502,1209495932
Le Crime Paie (Remasterisé En 2006),Lunatic,Hostile Hip Hop,Rapstars '90s,Playlist,FRS949600658,3117072
Animalement votre,Shurik'N,Première Classe 1: Les sessions PC1,Rapstars '90s,Playlist,FR6V80258147,36315811
L'amour,Ideal J,Le combat continue,Rapstars '90s,Playlist,FRR619880570,1111413112
Nouveau western,MC Solaar,Prose combat,Rapstars '90s,Playlist,FRZ029302610,1490805692
Si loin de toi,Pit Baccardi,Pit Baccardi,Rapstars '90s,Playlist,FR6V81293348,21726661
Sacrifice de poulets (Remasterisé),Ministère A.M.E.R.,LA HAINE (Musiques inspirées du film),Rapstars '90s,Playlist,FRY681400328,3046865101
Qu'est-ce qui fait marcher les sages ?,Les Sages Poetes De La Rue,Qu'est ce qui fait marcher les sages ?,Rapstars '90s,Playlist,FR4W91000002,142698762
11'30 contre les lois racistes,Akhenaton,11'30 contre les lois racistes,Rapstars '90s,Playlist,FRW889700001,2702664
