Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Paris,Nono La Grinta,Paris,Rapstars,Playlist,FR9W12431939,3294048841
KYKY2BONDY,Hamza,KYKY2BONDY,Rapstars,Playlist,BE6GM2500005,3330178491
TENUE DE MOTARD 5,Djadja & Dinaz,TENUE DE MOTARD 5,Rapstars,Playlist,FRX282595965,3397717311
Isack Hadjar,VEN1,Nichen,Rapstars,Playlist,FR9W12524110,3388697111
27.06.25 (Magie),La Mano 1.9,27.06.25 (Magie),Rapstars,Playlist,FR9W12530717,3390699371
Impardonnable,Damso,BĒYĀH,Rapstars,Playlist,BE6JP2500003,3381260801
Dolce Camara,Booba,AD VITAM ÆTERNAM,Rapstars,Playlist,FR8R62400004,2654111972
LA JANAZA D'UN FRÈRE,Dinos,KINTSUGI,Rapstars,Playlist,FR9EI2500400,3385275191
Poney,Werenoi,Diamant Noir,Rapstars,Playlist,FR59R2576686,3313234051
En vrai de vrai,Djadja & Dinaz,En vrai de vrai,Rapstars,Playlist,FRX282535253,3370586821
CARTIER SANTOS,SDM,A LA VIE A LA MORT,Rapstars,Playlist,FRUM72401059,3015707071
PAY!,Theodora,PAY!,Rapstars,Playlist,FR9W12522285,3329681251
Collabo,Ninho,GOAT,Rapstars,Playlist,FR9W12446312,3058139731
Bonne Mentale,Chaax,Bonne Mentale,Rapstars,Playlist,FRPZ92523490,3395731041
ON FAIT LES CHOSES,Niaks,TOUT DROIT,Rapstars,Playlist,FR9W12522734,3359515731
SANGOTE,Guy2bezbar,SANGOTE,Rapstars,Playlist,FR9W12528789,3368540521
Run,Rim'K,RUN,Rapstars,Playlist,FREC82200170,3150471661
Sexy Woman,La Mano 1.9,Sexy Woman,Rapstars,Playlist,FR9W12502892,3200156051
GOÛT AMER,Leto,LIFE (RÉÉDITION AVANT L’ALBUM),Rapstars,Playlist,FR9W12528154,3395545891
Pélican,L2B ,Pélican,Rapstars,Playlist,FRDJ72500030,3230221521
Frère,Damso,BĒYĀH,Rapstars,Playlist,BE6JP2500011,3381260891
GUWOP FREESTYLE,Dosseh,GUWOP FREESTYLE,Rapstars,Playlist,FR9EI2500410,3391299961
Triple V,Werenoi,Diamant Noir,Rapstars,Playlist,FR59R2576689,3313234081
IMAGINE,Genezio,BOUNCE MUSIC: SAISON 3,Rapstars,Playlist,FR9IX2500620,3388959041
ACT 7,Lacrim,RIPRO,Rapstars,Playlist,FR9W12528936,3368874651
ELLE,Niaks,TOUT DROIT,Rapstars,Playlist,FR9W12522740,3359515791
VIE OLENCE,Damso,BĒYĀH,Rapstars,Playlist,BE6JP2500002,3381260901
C'EST RELOU,R2,C'EST RELOU,Rapstars,Playlist,FR9W12512485,3261667431
Los Angeles,Siaka,Los Angeles,Rapstars,Playlist,FRZ042101204,1567407092
Phénoménal,Jul,Phénoménal,Rapstars,Playlist,FR59R2594911,3314018771
Jump,L2B ,Jump,Rapstars,Playlist,FRDJ72500490,3377836451
Etat des lieux (Part 1),La Fouine,ÉTAT DES LIEUX,Rapstars,Playlist,FR0X82500002,3285228381
La course,Bouss,Et si j'échoue ??,Rapstars,Playlist,FRX282573093,3388290741
MAGIE,Maes,LA VIE CONTINUE,Rapstars,Playlist,FR9W12405515,2892578392
Hakayet,VEN1,Hakayet,Rapstars,Playlist,TCAHP2377895,2846025562
Les jolies filles,Zamdane,RAHMA,Rapstars,Playlist,FR9W12516634,3373466521
Cantona,Landy,Cantona,Rapstars,Playlist,FRX202589266,3370176861
Pichichi,Josas,Pichichi,Rapstars,Playlist,FRDDV2500030,3189240561
Money Maker,Favé,Money Maker,Rapstars,Playlist,FRX282522712,3373522461
PONA NINI,Tiakola,BDLM VOL.1,Rapstars,Playlist,FR9W12444663,3000573421
Mimi,Jul,D&P à vie,Rapstars,Playlist,FR59R2594915,3330198511
NANANI NANANA,Gazo,APOCALYPSE,Rapstars,Playlist,FR9W12456468,3102004051
MANON B,Tiakola,MANON B,Rapstars,Playlist,FR9W12443748,2964716561
Monaco,Guy2bezbar,Monaco,Rapstars,Playlist,FR9W12433401,2872998762
PERFORMANTE,Dinos,KINTSUGI,Rapstars,Playlist,FR9EI2500280,3240456361
Saison,Hmz,Dans la tempête,Rapstars,Playlist,FR96X2556391,3329039961
R.10,AMK,R.10,Rapstars,Playlist,FR9W12520720,3330328111
1h55,Tiakola,BDLM VOL.1,Rapstars,Playlist,FR9W12444675,3000573551
BARCOLA,La Hasba22,BARCOLA,Rapstars,Playlist,FR9W12453718,3052598561
Bossman,Kekra,Bossman,Rapstars,Playlist,FR9W12509074,3230876401
Le poison,Zamdane,RAHMA,Rapstars,Playlist,FR9W12516639,3373466571
LOCO LOCO,Gambi,LOCO LOCO,Rapstars,Playlist,FR9W12522793,3354456851
C'EST NOUS LES YAYA,Kaaris,C'EST NOUS LES YAYA,Rapstars,Playlist,FR9W12525941,3358911441
LA CALLE ME CHANTE,Prototype,LA CALLE ME CHANTE,Rapstars,Playlist,FR9W12522525,3365234501
