Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Bad Dreams,Teddy Swims,Bad Dreams,Roadtrip Radio,Playlist,USWB12403749,2972837781
Let Her Go,Passenger,All the Little Lights (Deluxe Version),Roadtrip Radio,Playlist,GBMQN1100004,1971858447
Beautiful Things,Benson Boone,Beautiful Things,Roadtrip Radio,Playlist,USWB12307016,2610711672
Feel It Still,Portugal. The Man,Woodstock,Roadtrip Radio,Playlist,USAT21700437,371593461
Flowers,Miley Cyrus,Flowers,Roadtrip Radio,Playlist,USSM12209777,2105158337
Murder On The Dancefloor,Sophie Ellis-Bextor,Read My Lips (Deluxe Version),Roadtrip Radio,Playlist,GBAKW0100229,4181750
Houdini,Dua Lipa,Houdini,Roadtrip Radio,Playlist,GBAHT2301246,2525537871
Paint The Town Red,Doja Cat,Paint The Town Red,Roadtrip Radio,Playlist,USRC12300907,2387373015
Stolen Dance,Milky Chance,Sadnecessary,Roadtrip Radio,Playlist,DEL211300741,66937868
Si No Estás,Íñigo Quintero,Si No Estás,Roadtrip Radio,Playlist,TCAGM2208561,2201123807
greedy,Tate McRae,greedy,Roadtrip Radio,Playlist,USRC12301932,2444176345
Gimme Love,Sia,Gimme Love,Roadtrip Radio,Playlist,USAT22307798,2414222995
Lost on You,LP,Lost on You,Roadtrip Radio,Playlist,QMRSZ1501406,137740111
Tattoo,Loreen,Tattoo,Roadtrip Radio,Playlist,SEUM72201638,2166864777
Sonnet,The Verve,Urban Hymns (Remastered 2016),Roadtrip Radio,Playlist,GBUM71601817,398570652
Daylight,David Kushner,Daylight,Roadtrip Radio,Playlist,QZXDB2300005,2226972607
Strangers,Kenya Grace,Strangers,Roadtrip Radio,Playlist,USWB12305048,2427437035
Children of the Sky (a Starfield song),Imagine Dragons,Children of the Sky (a Starfield song),Roadtrip Radio,Playlist,USUM72308805,2424631215
Water,Tyla,Water,Roadtrip Radio,Playlist,USSM12305126,2381294455
Wish You The Best,Lewis Capaldi,Wish You The Best,Roadtrip Radio,Playlist,DEUM72206010,2226982417
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,Funk Wav Bounces Vol.1,Roadtrip Radio,Playlist,GBARL1700772,376480961
Lose Control,Teddy Swims,Lose Control,Roadtrip Radio,Playlist,USWB12302315,2312663495
I Ain't Worried,OneRepublic,Top Gun: Maverick (Music From The Motion Picture),Roadtrip Radio,Playlist,USUM72206227,1764283667
CUFF IT,Beyoncé,RENAISSANCE,Roadtrip Radio,Playlist,USSM12206232,1842063487
Hold Me Closer,Elton John,Hold Me Closer,Roadtrip Radio,Playlist,GBUM72205030,1879746947
Riptide,Vance Joy,Riptide,Roadtrip Radio,Playlist,USAT21301412,67354825
Heat Waves,Glass Animals,Dreamland,Roadtrip Radio,Playlist,GBUM72000433,1040154662
Lemon Tree,Fools Garden,Lemon Tree,Roadtrip Radio,Playlist,DEAF70927221,1915408647
Come,Jain,Zanaka,Roadtrip Radio,Playlist,FR9W11502680,109176400
DESPECHÁ,ROSALÍA,DESPECHÁ,Roadtrip Radio,Playlist,USSM12207207,1841999507
Catch & Release (Deepend Remix),Matt Simons,Catch & Release (Deepend Remix),Roadtrip Radio,Playlist,NLE3T1400013,107329230
About Damn Time,Lizzo,About Damn Time,Roadtrip Radio,Playlist,USAT22202139,1714545037
Another Love,Tom Odell,Long Way Down (Deluxe),Roadtrip Radio,Playlist,GBARL1300107,65723649
Somewhere Only We Know,Keane,Hopes And Fears,Roadtrip Radio,Playlist,GBAAN0300664,2317363
Light Switch,Charlie Puth,Light Switch,Roadtrip Radio,Playlist,USAT22107359,1622528782
As It Was,Harry Styles,As It Was,Roadtrip Radio,Playlist,USSM12200612,1703487577
In My Bones,Ray Dalton,In My Bones,Roadtrip Radio,Playlist,DEE861904366,845209962
Save Tonight,Eagle-Eye Cherry,Desireless,Roadtrip Radio,Playlist,GBAKW9800044,2252935
Hand in My Pocket (2015 Remaster),Alanis Morissette,Jagged Little Pill (2015 Remaster),Roadtrip Radio,Playlist,USMV21500004,109843292
Take My Breath (Single Version),The Weeknd,Take My Breath,Roadtrip Radio,Playlist,USUG12102076,1457107762
Black Horse And The Cherry Tree,KT Tunstall,Eye To The Telescope,Roadtrip Radio,Playlist,GBGLM0400102,3120612
Baby Don't Quit,Aime Simone,Baby Don't Quit,Roadtrip Radio,Playlist,FR9W12150161,2084494157
Some Nights,fun.,Some Nights,Roadtrip Radio,Playlist,USAT21104050,16501727
Need Your Love,Curtis Harding,Face Your Fear,Roadtrip Radio,Playlist,USEP41726006,412184692
Kiss Me,Sixpence None the Richer,Sixpence None The Richer,Roadtrip Radio,Playlist,USEE19900312,134116940
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),Roadtrip Radio,Playlist,GBARL1801571,595074062
Level of Concern,Twenty One Pilots,Level of Concern,Roadtrip Radio,Playlist,USAT22002190,926340752
Pumped Up Kicks,Foster the People,Torches,Roadtrip Radio,Playlist,USSM11002931,15546830
Way down We Go,KALEO,Way down We Go,Roadtrip Radio,Playlist,USAT21502122,104936008
A Thousand Miles,Vanessa Carlton,Be Not Nobody,Roadtrip Radio,Playlist,USIR10210955,983832
White Tiger (Single Version),Izzy Bizu,White Tiger (Single Version),Roadtrip Radio,Playlist,GBARL1501358,109703514
Lovefool,The Cardigans,Best Of,Roadtrip Radio,Playlist,SEBKB9629380,910474
Don't Worry (with Ray Dalton) (Radio Edit),Madcon,Don't Worry (feat. Ray Dalton),Roadtrip Radio,Playlist,NO5281501010,97094250
Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),Roadtrip Radio,Playlist,USWB10201694,725971
One Day / Reckoning Song (Wankelmut Remix) (Radio Edit),Asaf Avidan,One Day / Reckoning Song (Wankelmut Remix),Roadtrip Radio,Playlist,DEQ321200132,705022722
Wonderwall,Oasis,Stop The Clocks,Roadtrip Radio,Playlist,GBAAW9500189,985985832
