Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
I Put A Spell On You,Nina Simone,I Put A Spell On You,Romantic Soul Music,Playlist,USPR36600001,593690882
Let's Stay Together,Al Green,Let's Stay Together,Romantic Soul Music,Playlist,US2HK0913701,97095572
Love Is A Losing Game,Amy Winehouse,Back To Black,Romantic Soul Music,Playlist,GBUM70603489,2176857
Ain't No Mountain High Enough,Marvin Gaye,The 50 Greatest Songs,Romantic Soul Music,Playlist,USMO16700486,1101732
A Sunday Kind Of Love,Etta James,At Last!,Romantic Soul Music,Playlist,USMC16046321,2171221
Georgia on My Mind (Original Master Recording),Ray Charles,Georgia on My Mind (Original Master Recording),Romantic Soul Music,Playlist,FRIDO2012436,1173367512
"Baby, I Love You",Aretha Franklin,Soul Queen,Romantic Soul Music,Playlist,USAT20003359,2133613
I've Been Loving You Too Long (Mono),Otis Redding,Otis Blue (Mono),Romantic Soul Music,Playlist,USAT21403955,86490065
Come On In,Lady Wray,Piece of Me,Romantic Soul Music,Playlist,QZ2L61800085,1484977082
If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys,Romantic Soul Music,Playlist,USJAY0300452,629466
Photograph,Jacob Banks,The Boy Who Cried Freedom,Romantic Soul Music,Playlist,USUM71702728,414656022
Baby Love (Single Version),The Supremes,Where Did Our Love Go: 40th Anniversary Edition,Romantic Soul Music,Playlist,USMO16482615,1182497
Stand By Me,Ben E. King,Don't Play That Song,Romantic Soul Music,Playlist,USAT20000556,669799
Me and Mrs. Jones,Billy Paul,Me And Mrs. Jones: The Best Of Billy Paul,Romantic Soul Music,Playlist,USSM17200413,82321678
Just Give Me Your Time,Sharon Jones & The Dap-Kings,Soul of a Woman,Romantic Soul Music,Playlist,US4GZ1705003,779475622
Hey Laura,Gregory Porter,Still Rising - The Collection,Romantic Soul Music,Playlist,FRUM71301840,1500147002
I Need Your Love So Bad,James Brown,The Singles: Vol. 9 1973-1975,Romantic Soul Music,Playlist,USUM71016142,7024835
Try a Little Tenderness (Mono; 2016 Remaster),Otis Redding,Complete & Unbelievable: The Otis Redding Dictionary of Soul (50th Anniversary Edition),Romantic Soul Music,Playlist,USRH11604076,133577414
Close the Door,Teddy Pendergrass,Life Is A Song Worth Singing (Expanded Edition),Romantic Soul Music,Playlist,USPH37800025,16222628
Give Me Your Love,Sisters Love,Our Lives Are Shaped By What We Love: Motown's Mowest Story 1971-73,Romantic Soul Music,Playlist,USMO17382765,15908126
Court of Love,Durand Jones & The Indications,American Love Call,Romantic Soul Music,Playlist,USJ5G1917704,619183222
I Got Love,Bobby Oroza,Get On The Otherside,Romantic Soul Music,Playlist,QZ2L62000087,1665534052
Make You Feel My Love,Adele,19,Romantic Soul Music,Playlist,GBBKS0700586,940347
In Loving Memory,Gabriels,Love and Hate in a Different Time,Romantic Soul Music,Playlist,GBKPL2097503,1358552182
Anybody Can Be in Love,Kaina,It Was a Home,Romantic Soul Music,Playlist,DED622200032,1523193892
Love & Hate,Michael Kiwanuka,Love & Hate,Romantic Soul Music,Playlist,GBUM71600930,128548967
Love,Asha Puthli,Asha Puthli,Romantic Soul Music,Playlist,GBCLQ1900271,1035483952
Catch Me I’m Falling,Kelly Finnigan,The Tales People Tell,Romantic Soul Music,Playlist,QZDMQ1802501,645114112
Mad About You,Son Little,New Magic,Romantic Soul Music,Playlist,USEP41714005,606761812
Old Fashioned,Bruno Major,Old Fashioned,Romantic Soul Music,Playlist,GBKPL1935945,1875130647
I Drink Wine,Adele,30,Romantic Soul Music,Playlist,USSM12105975,1557137152
Versace on the Floor,Bruno Mars,24K Magic,Romantic Soul Music,Playlist,USAT21602949,136336118
Ain't No Sunshine,Bill Withers,Just As I Am,Romantic Soul Music,Playlist,USSM10000372,2312047
You Can't Hurry Love,The Supremes,Supremes A Go Go,Romantic Soul Music,Playlist,USMO16600346,79621446
Let Them Knock,Sharon Jones & The Dap-Kings,"100 Days, 100 Nights",Romantic Soul Music,Playlist,US4GZ0701206,779443672
Mrs.,Leon Bridges,Good Thing,Romantic Soul Music,Playlist,USSM11800498,492476272
I Truly Loved Ya,Selah Sue,Selah Sue,Romantic Soul Music,Playlist,FR6P11101360,445872812
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Lady Soul (With Bonus Selections),Romantic Soul Music,Playlist,USAT20801219,904774
When a Man Loves a Woman,Percy Sledge,When a Man Loves a Woman / Love Me Like You Mean It,Romantic Soul Music,Playlist,USAT20901466,4209649
I'm a Fool to Want You,Billie Holiday,Lady In Satin,Romantic Soul Music,Playlist,USSM15800227,97544028
I Forgot to Be Your Lover,William Bell,The Rza Presents Shaolin Soul Selection: Vol. 1,Romantic Soul Music,Playlist,QMPS91210813,96163644
A Change Is Gonna Come,Sam Cooke,A Change Is Gonna Come,Romantic Soul Music,Playlist,USA176420220,9938661
All My Love Belongs to You (Single Version),Brook Benton,The Essential Vik & RCA Victor Recordings,Romantic Soul Music,Playlist,USSM15700990,134991836
Telling Like It Is,Luca Sapio,Everyday Is Gonna Be the Day,Romantic Soul Music,Playlist,MTA981400003,91461574
How Deep Is Your Love,PJ MORTON,Gumbo,Romantic Soul Music,Playlist,USUYG1135406,145394768
"Running Away (feat. Joey Dosik, David T. Walker & James Gadson)",Vulfpeck,Mr Finish Line,Romantic Soul Music,Playlist,TCADG1740518,404699982
Home Again,Sugaray Rayford,The World That We Live In,Romantic Soul Music,Playlist,IT2XM1700005,376649271
I Won't Let You Down,Curtis Harding,If Words Were Flowers,Romantic Soul Music,Playlist,USEP42068011,1448897462
Leave The Door Open,Bruno Mars,An Evening With Silk Sonic,Romantic Soul Music,Playlist,USAT22100906,1666877272
Won't Turn Back,Jacob Banks,Lies About The War,Romantic Soul Music,Playlist,USA2P2216008,1723320677
