Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Fuckin' wit Me,Tank,"Sex, Love & Pain II",SEX PLAYLIST,Playlist,USAT21504090,117452758
Who's Gonna (NOBODY),Chris Brown,Royalty (Deluxe Version),SEX PLAYLIST,Playlist,USRC11503033,115705686
Back To Sleep,Chris Brown,Royalty (Deluxe Version),SEX PLAYLIST,Playlist,USRC11502944,115705654
Make Love,Chris Brown,Royalty (Deluxe Version),SEX PLAYLIST,Playlist,USRC11503029,115705664
Discover,Chris Brown,Royalty (Deluxe Version),SEX PLAYLIST,Playlist,USRC11503035,115705690
Nothing On,Tank,SAVAGE,SEX PLAYLIST,Playlist,USAT21703273,410289762
Jupiter Love,Trey Songz,Ready,SEX PLAYLIST,Playlist,USAT20902616,4134362
You Don't Know (feat. Wale),Tank,"Sex, Love & Pain II",SEX PLAYLIST,Playlist,USAT21502946,117452752
Feels So Right,Lloyd,Southside,SEX PLAYLIST,Playlist,USDJ20400621,2496277
B.S.,Jhené Aiko,Chilombo,SEX PLAYLIST,Playlist,USUM72003259,891453372
P*$$Y Fairy (OTW),Jhené Aiko,P*$$Y Fairy (OTW),SEX PLAYLIST,Playlist,USUM72000367,850957472
You,Lloyd,Street Love,SEX PLAYLIST,Playlist,USUM70616516,1176069
Fumble,Trey Songz,Chapter V (Deluxe),SEX PLAYLIST,Playlist,USAT21202960,54340991
I Don't Think You're Ready,Tank,ELEVATION,SEX PLAYLIST,Playlist,USAT21904059,781711172
Sexy,Tank,SAVAGE,SEX PLAYLIST,Playlist,USAT21703271,410289732
Last Time,Trey Songz,Trey Day,SEX PLAYLIST,Playlist,USAT20704917,3588440
Holla If Ya Need Me,Trey Songz,Ready,SEX PLAYLIST,Playlist,USAT20901270,4134368
Overdose,Jamie Foxx,Intuition,SEX PLAYLIST,Playlist,USJAY0800393,2654556
Tell Me,USHER,Hard II Love,SEX PLAYLIST,Playlist,USRC11601650,611666292
Lessons in Love,TGT,Three Kings,SEX PLAYLIST,Playlist,USAT21301956,69713899
Him Her Them,Tank,"Sex, Love & Pain II",SEX PLAYLIST,Playlist,USAT21504094,117452770
Almost There,Joe,"The Good, The Bad, The Sexy",SEX PLAYLIST,Playlist,USQYC0900093,590385712
Next Time Around,TGT,Three Kings,SEX PLAYLIST,Playlist,USAT21301953,69713895
Better for You,Tank,"Sex, Love & Pain II",SEX PLAYLIST,Playlist,USAT21503945,117452766
Celebration (feat. Drake),Tank,Now or Never,SEX PLAYLIST,Playlist,USAT21002567,7830690
I Invented Sex (feat. Drake),Trey Songz,Ready,SEX PLAYLIST,Playlist,USAT20902612,4134355
Tell Somebody,Chris Brown,Fortune (Expanded Edition),SEX PLAYLIST,Playlist,USRC11200571,648151812
Paradise (feat. Yung Bleu),H.E.R.,Back of My Mind,SEX PLAYLIST,Playlist,USRC12101815,1406489102
Weight in Gold (Ekali Remix),Gallant,Weight in Gold (The Remixes),SEX PLAYLIST,Playlist,USYBL1500855,123027074
