Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
vampire,Olivia Rodrigo,vampire,Sad Pop,Playlist,USUG12304091,2345465745
Daylight,David Kushner,Daylight,Sad Pop,Playlist,QZXDB2300005,2226972607
Snow On The Beach,Taylor Swift,Midnights (The Til Dawn Edition),Sad Pop,Playlist,USUG12205737,2300267755
Matilda,Harry Styles,Harry's House,Sad Pop,Playlist,USSM12200615,1756569627
Someone Like You,Adele,21,Sad Pop,Playlist,GBBKS1000351,8086136
Life Goes On,Ed Sheeran,- (Deluxe),Sad Pop,Playlist,GBAHS2201305,2256073467
Too Good At Goodbyes,Sam Smith,The Thrill Of It All,Sad Pop,Playlist,GBUM71704089,422201642
Jaded,Miley Cyrus,Endless Summer Vacation,Sad Pop,Playlist,USSM12209778,2182389147
Stay,Rihanna,Unapologetic (Deluxe),Sad Pop,Playlist,USUM71214754,62376291
How to Save a Life - InVersions 2000s,jxdn,How to Save a Life - InVersions 2000s,Sad Pop,Playlist,USAT22406350,2888965792
Say Something,A Great Big World,Say Something,Sad Pop,Playlist,USSM11306713,72299954
Wish You The Best,Lewis Capaldi,Broken By Desire To Be Heavenly Sent,Sad Pop,Playlist,DEUM72206010,2281042527
She Will Be Loved,Maroon 5,Songs About Jane,Sad Pop,Playlist,USJAY0300082,1165303
Lose You To Love Me,Selena Gomez,Rare (Deluxe),Sad Pop,Playlist,USUM71918727,926219152
Same Mistake,James Blunt,All the Lost Souls,Sad Pop,Playlist,USAT20704137,3657905
When I Get There,P!nk,TRUSTFALL,Sad Pop,Playlist,USRC12204195,2148022507
Liability,Lorde,Melodrama,Sad Pop,Playlist,NZUM71700064,371625811
Falling,Harry Styles,Fine Line,Sad Pop,Playlist,USSM11912590,830336962
Best Days,Alessia Cara,In The Meantime,Sad Pop,Playlist,USUM72115832,1496671252
If I Ain't Got You - InVersions 2000s,Poppy Ajudha,If I Ain't Got You - InVersions 2000s,Sad Pop,Playlist,USZXT2454922,2883036052
Heartbreak Anniversary,GIVĒON,When It's All Said And Done... Take Time,Sad Pop,Playlist,USSM12000998,1264492132
The Voice Within,Christina Aguilera,Stripped,Sad Pop,Playlist,USRC10201065,967339
Not Like The Movies,Katy Perry,Teenage Dream: The Complete Confection,Sad Pop,Playlist,USCA21001257,17135119
if you only knew,Alexander Stewart,if you only knew,Sad Pop,Playlist,UKELY2300063,2554810312
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Sad Pop,Playlist,DEUM71807062,678686662
Lonely,Justin Bieber,Justice,Sad Pop,Playlist,USUM72019170,1280165262
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,Sad Pop,Playlist,USAT21206701,62724019
Let Her Go,Passenger,Let Her Go,Sad Pop,Playlist,GBMQN1100004,61752797
River Of Tears,Alessia Cara,Know-It-All (Deluxe),Sad Pop,Playlist,USUM71506813,120739020
Somewhere Only We Know - InVersions 2000s,Adèle Castillon,InVersions 2000s - Deezer Originals,Sad Pop,Playlist,FRDWM2400980,2892561742
Let It Go,James Bay,Chaos And The Calm,Sad Pop,Playlist,USUM71405265,96449044
Because of You,Kelly Clarkson,Breakaway,Sad Pop,Playlist,GBCTA0400265,546130
Impossible,James Arthur,Impossible,Sad Pop,Playlist,GBHMU1200535,62874022
why didn't you call???,Saint Harison,why didn't you call???,Sad Pop,Playlist,US23A1554316,1959494547
Photograph,Ed Sheeran,x (Deluxe Edition),Sad Pop,Playlist,GBAHS1400094,79875054
Apologize,Timbaland,Apologize (International Version),Sad Pop,Playlist,USUM70722793,912738
Thank You - InVersions 90s,Rachel Chinouriri,Thank You - InVersions 90s,Sad Pop,Playlist,GBAYE2200498,1806781297
Angels Like You,Miley Cyrus,Plastic Hearts,Sad Pop,Playlist,USRC12003754,1151489402
I'll Never Love Again (Film Version),Lady Gaga,A Star Is Born Soundtrack,Sad Pop,Playlist,USUM71813204,561856952
Take A Bow,Rihanna,Good Girl Gone Bad: Reloaded,Sad Pop,Playlist,USUM70809004,925119
Video Games,Lana Del Rey,Born To Die,Sad Pop,Playlist,GBUM71111621,18190273
Elastic Heart,Sia,1000 Forms Of Fear,Sad Pop,Playlist,USRC11400976,79587594
Lonely,Justin Bieber,Lonely,Sad Pop,Playlist,USUM72019170,1110767312
I Hate This Part,The Pussycat Dolls,Doll Domination,Sad Pop,Playlist,USUM70832599,619976932
Bleeding Love,Leona Lewis,Spirit,Sad Pop,Playlist,GBHMU0700049,365067
4 In The Morning,Gwen Stefani,The Sweet Escape,Sad Pop,Playlist,USUM70618695,1575425
I Miss You,Beyoncé,4,Sad Pop,Playlist,USSM11102903,66190259
I'm with You,Avril Lavigne,Let Go,Sad Pop,Playlist,USAR10200224,15587475
drivers license,Olivia Rodrigo,SOUR,Sad Pop,Playlist,USUG12004749,1378342592
My Everything,Ariana Grande,My Everything (Deluxe),Sad Pop,Playlist,USUM71409734,98408464
