Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Someone Like You,Adele,21,Saddest Songs Ever,Playlist,GBBKS1000351,8086136
The Scientist,Coldplay,A Rush of Blood to the Head,Saddest Songs Ever,Playlist,GBAYE0200772,3098840
Lonely,Justin Bieber,Justice,Saddest Songs Ever,Playlist,USUM72019170,1280165262
Another Love,Tom Odell,Long Way Down (Deluxe),Saddest Songs Ever,Playlist,GBARL1300107,65723649
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,Saddest Songs Ever,Playlist,USUM72401993,2801558062
Too Good At Goodbyes,Sam Smith,The Thrill Of It All (Special Edition),Saddest Songs Ever,Playlist,GBUM71704089,422202502
Daylight,David Kushner,Daylight,Saddest Songs Ever,Playlist,QZXDB2300005,2226972607
drivers license,Olivia Rodrigo,SOUR,Saddest Songs Ever,Playlist,USUG12004749,1378342592
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,Saddest Songs Ever,Playlist,USAT21206701,62724019
Falling,Harry Styles,Fine Line,Saddest Songs Ever,Playlist,USSM11912590,830336962
Stay,Rihanna,Unapologetic (Deluxe),Saddest Songs Ever,Playlist,USUM71214754,62376291
Glimpse of Us,Joji,Glimpse of Us,Saddest Songs Ever,Playlist,USWB12201789,1759539837
Back To Black,Amy Winehouse,Back To Black,Saddest Songs Ever,Playlist,GBUM70604698,2176856
If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys,Saddest Songs Ever,Playlist,USJAY0300452,629466
It'll Be Okay,Shawn Mendes,It'll Be Okay,Saddest Songs Ever,Playlist,USUM72122321,1573084512
Wish You The Best,Lewis Capaldi,Wish You The Best,Saddest Songs Ever,Playlist,DEUM72206010,2226982417
Everybody Hurts,R.E.M.,Automatic For The People,Saddest Songs Ever,Playlist,USWB19901548,121921372
Save Your Tears,The Weeknd,After Hours,Saddest Songs Ever,Playlist,USUG12000669,908604632
Kill Bill,SZA,SOS,Saddest Songs Ever,Playlist,USRC12204584,2055292027
Stan,Eminem,Curtain Call: The Hits,Saddest Songs Ever,Playlist,USIR10001280,1109730
Big Jet Plane (Radio Edit),Angus & Julia Stone,Big Jet Plane (Radio Edit),Saddest Songs Ever,Playlist,AUAP11000003,62978141
Somewhere Only We Know,Keane,Hopes And Fears,Saddest Songs Ever,Playlist,GBAAN0300664,2317363
lovely,Billie Eilish,lovely,Saddest Songs Ever,Playlist,USUM71804190,486928932
All Of Me,John Legend,All Of Me,Saddest Songs Ever,Playlist,USSM11303954,69405360
Goodbye My Lover,James Blunt,Back to Bedlam,Saddest Songs Ever,Playlist,USAT20401590,784331
Mad World,Gary Jules,Trading Snakeoil for Wolftickets,Saddest Songs Ever,Playlist,USHM90699796,9581200
THE LONELIEST,Måneskin,THE LONELIEST,Saddest Songs Ever,Playlist,ITB002200745,1951821737
The Drugs Don't Work,The Verve,Urban Hymns (Remastered 2016),Saddest Songs Ever,Playlist,GBUM71601819,398570672
Last Goodbye,Jeff Buckley,Grace,Saddest Songs Ever,Playlist,USSM19400913,108733458
Lose You To Love Me,Selena Gomez,Rare,Saddest Songs Ever,Playlist,USUM71918727,847637202
Killing Me Softly With His Song,Fugees,The Score (Expanded Edition),Saddest Songs Ever,Playlist,USSM19600055,15528008
If I Were a Boy,Beyoncé,If I Were A Boy,Saddest Songs Ever,Playlist,USSM10803202,2455091
I Have Nothing,Whitney Houston,The Bodyguard - Original Soundtrack Album,Saddest Songs Ever,Playlist,USAR10300965,7675404
She Will Be Loved,Maroon 5,Songs About Jane,Saddest Songs Ever,Playlist,USJAY0300082,1165303
you broke me first,Tate McRae,you broke me first,Saddest Songs Ever,Playlist,USRC12000832,929158322
Torn,Natalie Imbruglia,Left Of The Middle,Saddest Songs Ever,Playlist,GBARL9700412,992131
Don't Speak,No Doubt,The Singles Collection,Saddest Songs Ever,Playlist,USIR19500279,1176787
Un-Break My Heart,Toni Braxton,The Essential Toni Braxton,Saddest Songs Ever,Playlist,USLF29600015,567656
Knockin' On Heaven's Door,Bob Dylan,Rock Classics Of The 70's,Saddest Songs Ever,Playlist,USSM17301243,1067383
I'll Never Love Again (Film Version),Lady Gaga,A Star Is Born Soundtrack,Saddest Songs Ever,Playlist,USUM71813204,561856952
With Or Without You (Remastered 2007),U2,The Joshua Tree,Saddest Songs Ever,Playlist,GBUM70709792,912486
Cry Me a River,Justin Timberlake,Justified,Saddest Songs Ever,Playlist,USJI10200366,969494
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,Saddest Songs Ever,Playlist,USJ5G2335007,2365569495
