Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Parrot Cay,Deep Chills,Parrot Cay,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92000050,1187750182
Careless Whisper,Alex Grey,Careless Whisper,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92400314,3130358391
Jubel (Radio Edit),Klingande,"50 DJs Stars (Tous les Hits Clubbing, Electro, EDM, Dancefloor, House, Techno...)",Sax House 🎷 Saxophone Lounge,Playlist,FR9W11310765,107151214
Crete,B'Bach,Crete,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92100133,1532157752
Fly Me To The Moon,Coral Reef,Fly Me To The Moon,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92400157,2893242971
South Beach,BREEZY,South Beach,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92400031,2661737842
What's Love Got to Do with It,Skye,What's Love Got to Do with It,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500204,3328915241
C'est La Vie,Deep Chills,C'est La Vie,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500201,3338463361
Lovefool,summer sax,Lovefool,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500220,3338965671
As,Sunset Chasers,As,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92400260,3070104201
Ain't No Mountain High Enough,Emily Dawn,Ain't No Mountain High Enough,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500223,3345284931
Costa Rica,B'Bach,Costa Rica,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92300032,2202874837
Sexual Healing,Emily Dawn,Sexual Healing,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500162,3287697201
Sunrise,Coral Reef,Sunrise,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500094,3231146861
True Colors,Sunset Chasers,True Colors,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500215,3338964201
Paradise Island,Coral Reef,Paradise Island,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92200031,1685505177
When You Say Nothing At All,Alex Grey,When You Say Nothing At All,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500190,3321542491
Sunday Morning,summer sax,Sunday Morning,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92400146,2873362382
Real U,Natty Rico,Real U,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500165,3287690531
(I Just) Died In Your Arms,Saxify,(I Just) Died In Your Arms,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92400291,3106833831
Be Somebody,Pierse,Be Somebody,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92400329,3185292751
Kelele,Alex Grey,Kelele,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500257,3374706191
Every Breath You Take,Deep Chills,Every Breath You Take,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92000012,915074832
Madeira Moments,Tropic Thunder,Madeira Moments,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500255,3370499881
Siesta Key,Basp,Siesta Key,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500159,3345670141
Light of Day,Taigo,Light of Day,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500222,3345284901
Santorini Sunset,summer sax,Santorini Sunset,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92200128,1972144017
Little Lies,Sandy Beach,Little Lies,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92400259,3068412891
Lima,B'Bach,Lima,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500089,3241817701
Kiss Me,Coral Reef,Kiss Me,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92400175,2934415641
Hey Now Loralie,Jonas Wallin,Hey Now Loralie,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500111,3295096741
Vacation Vibes,summer sax,Vacation Vibes,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92400132,2847642352
Let's Stay Together,Emily Dawn,Let's Stay Together,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500104,3256658191
Taste of Summer,Nico Anuch,Taste of Summer,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500172,3295371391
My Sax Gone Wild,Charlie Boulala,My Sax Gone Wild,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500072,3229775771
The Boys Of Summer,BREEZY,The Boys Of Summer,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92400305,3124689531
Tenerife Tunes,Mo Jito,Tenerife Tunes,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92400133,2854029592
San Rafael,Natty Rico,San Rafael,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500129,3265842161
Sun Island,Five Corners,Sun Island,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500074,3295105521
The Logical Song,Alex Grey,The Logical Song,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92400181,2947721581
Memories,Keen Champ,Memories,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92400337,3207588361
Heaven Bliss,Five Corners,Heaven Bliss,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500158,3316170251
Pura Vida,summer sax,Pura Vida,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92300019,2150073527
Follow Me,Lively,Follow Me,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500115,3304916861
Napa Valley,Taigo,Napa Valley,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500157,3304913571
Blame,Deepend,Blame,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500091,3231629891
Golden Coast,Mr Bosh,Golden Coast,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500153,3295098681
Llèvame a la Playa,El Puffin,Llèvame a la Playa,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500078,3229776871
Don't Dream It's Over,Coral Reef,Don't Dream It's Over,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500065,3208352011
Palm Beach Sunset,Islnd,Palm Beach Sunset,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92300162,2513337791
Mango Bay,LIND,Mango Bay,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500085,3274480301
I Say a Little Prayer,Warm & Cold,I Say a Little Prayer,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500183,3299729641
Memories,AgusAlvarez,Memories,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500133,3316171301
Rodeo Drive,Five Corners,Rodeo Drive,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500156,3287693141
Dancing in the Moonlight,Mahona,Dancing in the Moonlight,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500119,3335632591
September Song,Coral Reef,September Song,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500077,3219360381
Morro Bay,Taigo,Morro Bay,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500105,3241810261
Me & You,Addy Ace,Me & You,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500121,3304917331
Mountain Creek,Deep Chills,Mountain Creek,Sax House 🎷 Saxophone Lounge,Playlist,NLYK92500036,3182948451
