Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Elastic Heart (Piano Version),Sia,1000 Forms Of Fear (Deluxe Version),Sleep Laurent 😂,Playlist,USRC11500873,99625818
Dear Old Nicki,Nicki Minaj,Pink Friday,Sleep Laurent 😂,Playlist,USCM51000731,7653926
People Help the People,Birdy,Birdy (Deluxe Version),Sleep Laurent 😂,Playlist,GBAHS1100351,14340429
Bird Set Free,Sia,This Is Acting (Deluxe Version),Sleep Laurent 😂,Playlist,USRC11502852,134533214
Skinny Love,Birdy,Birdy (Deluxe Version),Sleep Laurent 😂,Playlist,GBAHS1100350,14340428
Easy On Me,Adele,Easy On Me,Sleep Laurent 😂,Playlist,USSM12105970,1522223672
Love Lies,Khalid,Love Lies,Sleep Laurent 😂,Playlist,USRC11703646,460570702
I Miss You,Beyoncé,4,Sleep Laurent 😂,Playlist,USSM11102903,16015026
If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys,Sleep Laurent 😂,Playlist,USJAY0300452,629466
I'd Rather Go Blind (Album Version),Beyoncé,Music From The Motion Picture Cadillac Records,Sleep Laurent 😂,Playlist,USSM10804346,2654228
Shot Down,Khalid,American Teen,Sleep Laurent 😂,Playlist,USRC11700152,143172436
Let It Go,James Bay,Chaos And The Calm,Sleep Laurent 😂,Playlist,USUM71405265,96449044
Your Power,Billie Eilish,Happier Than Ever,Sleep Laurent 😂,Playlist,USUM72105934,1449740562
Lost Without You,Freya Ridings,Lost Without You,Sleep Laurent 😂,Playlist,UK8E21701401,580958312
Burn,USHER,Confessions (Expanded Edition),Sleep Laurent 😂,Playlist,USAR10400974,13783453
You Are The Reason,Calum Scott,Only Human (Deluxe),Sleep Laurent 😂,Playlist,USUM71710315,468232742
Let Her Go,Jasmine Thompson,Let Her Go,Sleep Laurent 😂,Playlist,GBKPL1361736,1560424372
Hello,Beyoncé,I AM...SASHA FIERCE,Sleep Laurent 😂,Playlist,USSM10804758,2485126
Bye Bye,Mariah Carey,E=MC2 (Deluxe Version),Sleep Laurent 😂,Playlist,USUM70809439,1225539572
Better in Time,Leona Lewis,Spirit,Sleep Laurent 😂,Playlist,GBHMU0700069,365070
Bleeding Love,Leona Lewis,Spirit,Sleep Laurent 😂,Playlist,GBHMU0700049,365067
I Lied,Nicki Minaj,The Pinkprint,Sleep Laurent 😂,Playlist,USCM51400360,91543326
Grand Piano,Nicki Minaj,The Pinkprint,Sleep Laurent 😂,Playlist,USCM51400359,91543354
Chandelier (Piano Version),Sia,Chandelier (Piano Version),Sleep Laurent 😂,Playlist,USRC11402032,84791265
Dancing in the Moonlight,Toploader,Dancing In The Moonlight: The Best Of Toploader,Sleep Laurent 😂,Playlist,GBBBL9902165,10434104
Nakati,Ya Levis,Nakati,Sleep Laurent 😂,Playlist,FR9W12035441,1164279482
Skinny Love,Def Manic,Retrospect,Sleep Laurent 😂,Playlist,QMPKX1835911,547251822
Love Story (Version Orchestrale),Indila,Mini World (Deluxe),Sleep Laurent 😂,Playlist,FRUM71400055,90270101
Without Me,Halsey,Manic,Sleep Laurent 😂,Playlist,USUM71900157,1088873922
For My Hand (feat. Ed Sheeran),Burna Boy,"Love, Damini",Sleep Laurent 😂,Playlist,USAT22204903,1814473477
Sure Thing,Miguel,All I Want Is You,Sleep Laurent 😂,Playlist,USJI10800160,7675649
Don't Judge Me,Chris Brown,Fortune (Expanded Edition),Sleep Laurent 😂,Playlist,USRC11200565,648151712
LA FAMA,ROSALÍA,LA FAMA (feat. The Weeknd),Sleep Laurent 😂,Playlist,USSM12107750,1549325122
Dance for You,Beyoncé,4,Sleep Laurent 😂,Playlist,USSM11102795,16015038
Payphone,Maroon 5,Overexposed,Sleep Laurent 😂,Playlist,USUM71203347,38934641
Own It (feat. Ed Sheeran & Burna Boy),Stormzy,Own It (feat. Ed Sheeran & Burna Boy),Sleep Laurent 😂,Playlist,GBAHS1901369,812034302
If You Wait,London Grammar,If You Wait (Deluxe Version),Sleep Laurent 😂,Playlist,GBCEN1300613,71171870
