Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
Easy On Me,Adele,Easy On Me,Soft Pop,Playlist,USSM12105970,1522223672
Wish You The Best,Lewis Capaldi,Wish You The Best,Soft Pop,Playlist,DEUM72206010,2226982417
Too Good At Goodbyes,Sam Smith,The Thrill Of It All,Soft Pop,Playlist,GBUM71704089,422201642
Anti-Hero,Taylor Swift,Midnights,Soft Pop,Playlist,USUG12205736,1976903157
Suddenly I See,KT Tunstall,Eye To The Telescope,Soft Pop,Playlist,GBGLM0400069,3120617
Eyes Closed,Ed Sheeran,Eyes Closed,Soft Pop,Playlist,GBAHS2201304,2196044807
Fingers Crossed,Lauren Spencer-Smith,Fingers Crossed,Soft Pop,Playlist,TCAFY2118876,1603457202
Put Your Records On,Corinne Bailey Rae,Corinne Bailey Rae,Soft Pop,Playlist,GBAYE0501671,3119484
TRUSTFALL,P!nk,TRUSTFALL,Soft Pop,Playlist,USRC12204190,2148022517
Oh My God,Adele,30,Soft Pop,Playlist,USSM12105973,1557137132
All Of Me,John Legend,All Of Me,Soft Pop,Playlist,USSM11303954,69405360
lovely,Billie Eilish,lovely,Soft Pop,Playlist,USUM71804190,486928932
We Belong Together,Mariah Carey,The Emancipation of Mimi,Soft Pop,Playlist,USIR20500195,2511970
How I'm Feeling Now,Lewis Capaldi,How I'm Feeling Now,Soft Pop,Playlist,DEUM72206981,2185136387
I Came For Love,James Blunt,The Stars Beneath My Feet (2004 - 2021),Soft Pop,Playlist,GBAHS2100475,1536549452
Irreplaceable,Beyoncé,B'Day Deluxe Edition,Soft Pop,Playlist,USSM10603620,551209
Unwritten,Natasha Bedingfield,The Sisterhood Of The Traveling Pants - Music From The Motion Picture,Soft Pop,Playlist,GBARL0400707,560504
For Tonight,GIVĒON,For Tonight,Soft Pop,Playlist,USSM12106837,1496219412
Emotion,Destiny's Child,Survivor,Soft Pop,Playlist,USSM10102783,4006940
Take A Bow,Rihanna,Good Girl Gone Bad: Reloaded,Soft Pop,Playlist,USUM70809004,925119
rock hudson,Kelly Clarkson,chemistry,Soft Pop,Playlist,USAT22302091,2304593045
1973,James Blunt,All the Lost Souls,Soft Pop,Playlist,USAT20703782,3657902
Perfect,Ed Sheeran,÷ (Deluxe),Soft Pop,Playlist,GBAHS1700024,142986206
This Love,Maroon 5,Songs About Jane,Soft Pop,Playlist,USJAY0300080,1165301
Haven't Met You Yet,Michael Bublé,Crazy Love,Soft Pop,Playlist,USRE10901437,4311272
Foundations,Kate Nash,Made of Bricks,Soft Pop,Playlist,GBUM70704139,954806
Grace Kelly,MIKA,Life In Cartoon Motion,Soft Pop,Playlist,USC7R0600006,1153469
Yellow,Coldplay,Parachutes,Soft Pop,Playlist,GBAYE0000267,3128096
Don't Lie,Black Eyed Peas,Monkey Business,Soft Pop,Playlist,USIR10500766,7375559
Fallin',Alicia Keys,Songs In A Minor (Expanded Edition),Soft Pop,Playlist,USJAY0100057,12343214
White Flag,Dido,Life For Rent,Soft Pop,Playlist,GBBXH0300035,2654326
No One,Alicia Keys,As I Am (Expanded Edition),Soft Pop,Playlist,USJAY0700190,2466262
Beautiful,Christina Aguilera,Stripped,Soft Pop,Playlist,USRC10201067,967334
Arcade,Duncan Laurence,Arcade,Soft Pop,Playlist,NL1TK2000069,1144025002
Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,Soft Pop,Playlist,USAT21001269,8011850
Jerome,Lizzo,Cuz I Love You,Soft Pop,Playlist,USAT21901462,666286252
Feel,Robbie Williams,Escapology,Soft Pop,Playlist,GBFFG0200002,3098217
Just Give Me a Reason (feat. Nate Ruess),P!nk,The Truth About Love,Soft Pop,Playlist,USRC11200786,60200391
Love Song,Sara Bareilles,Little Voice,Soft Pop,Playlist,USSM10700066,13132590
It's My Life,No Doubt,The Singles Collection,Soft Pop,Playlist,USIR10312339,1176776
Love Profusion,Madonna,American Life,Soft Pop,Playlist,USWB10300532,783915
Mirrors (Radio Edit),Justin Timberlake,Mirrors (Radio Edit),Soft Pop,Playlist,USRC11300246,65372358
Heartbreak Anniversary,GIVĒON,When It's All Said And Done... Take Time,Soft Pop,Playlist,USSM12000998,1264492132
You've Got The Love,Florence + The Machine,Between Two Lungs,Soft Pop,Playlist,GBUM70900237,7561784
You And I,Lady Gaga,Born This Way (International Special Edition Version),Soft Pop,Playlist,USUM71106457,11747945
It Ain't Over 'Til It's Over,Lenny Kravitz,Mama Said,Soft Pop,Playlist,USVI29100003,3151232
I Dare You,The xx,I See You,Soft Pop,Playlist,UK7MC1600068,139787521
New Soul,Yael Naim,Yael Naim,Soft Pop,Playlist,FR79W0700370,605635722
Smile,Lily Allen,"Alright, Still (Deluxe)",Soft Pop,Playlist,GBAYE0600734,3165194
